accX,accY,accZ,angleX,angleY,angleZ,label
-0.03751814,-0.02983073,0.006596849,0.023365596,-0.02855795,0.0037415496,stop
-0.039475176,-0.011458223,0.0020329803,-0.0364992,0.019089539,0.019013181,stop
-0.006042704,0.020541942,0.056704532,-0.0096211275,0.028863383,0.0019089539,stop
-0.003840558,0.032163292,0.035937633,0.038026363,0.0032070426,7.6358156E-5,stop
-0.003840558,0.032163292,0.035937633,0.013591751,-0.0065668016,0.0019089539,stop
-0.003892465,0.040000644,0.0025920405,0.013591751,-0.0065668016,0.0019089539,stop
-8.8676944E-4,0.045586277,-0.03538819,-0.045662176,0.04596761,-0.0011453723,stop
-8.8676944E-4,0.045586277,-0.03538819,-0.045662176,0.04596761,-0.0011453723,stop
-8.8676944E-4,0.045586277,-0.03538819,-0.045662176,0.04596761,-0.0011453723,stop
0.009775235,0.049266998,-0.02968296,-0.07925977,0.04230242,-0.006032294,stop
0.009775235,0.049266998,-0.02968296,-0.07925977,0.04230242,-0.006032294,stop
0.0090285605,0.043816,0.0015035953,-0.04016439,0.016646078,-0.010919216,stop
0.0090285605,0.043816,0.0015035953,-0.04016439,0.016646078,-0.010919216,stop
0.0090285605,0.043816,0.0015035953,-0.04016439,0.016646078,-0.010919216,stop
-0.014203389,0.036545005,0.0024902294,0.004428773,0.010537425,-0.006032294,stop
-0.014203389,0.036545005,0.0024902294,0.004428773,0.010537425,-0.006032294,stop
-0.035151914,0.039336774,-0.029276535,0.01786781,0.011148291,0.014126259,stop
-0.035151914,0.039336774,-0.029276535,0.01786781,0.011148291,0.014126259,stop
-0.035151914,0.039336774,-0.029276535,0.01786781,0.011148291,0.014126259,stop
-0.024505416,0.05913929,-0.087899424,-0.0096211275,0.012370021,0.022067508,stop
-0.024505416,0.05913929,-0.087899424,-0.0096211275,0.012370021,0.022067508,stop
-0.016280673,0.07555317,-0.11343974,-0.0664316,0.014813482,0.013515393,stop
-0.016280673,0.07555317,-0.11343974,-0.0664316,0.014813482,0.013515393,stop
-0.016280673,0.07555317,-0.11343974,-0.0664316,0.014813482,0.013515393,stop
-0.0038997168,0.095005825,-0.10032335,-0.08170322,0.0062613687,0.0019089539,stop
-0.0038997168,0.095005825,-0.10032335,-0.08170322,0.0062613687,0.0019089539,stop
-0.008262197,0.109148204,-0.061433997,-0.051159963,-4.5814895E-4,-0.0035888334,stop
-0.008262197,0.109148204,-0.061433997,-0.051159963,-4.5814895E-4,-0.0035888334,stop
-0.008262197,0.109148204,-0.061433997,-0.016340645,0.023365596,0.0019089539,stop
-0.022559319,0.12807249,-0.0764901,-0.016340645,0.023365596,0.0019089539,stop
-0.022559319,0.12807249,-0.0764901,-0.016340645,0.023365596,0.0019089539,stop
-0.033478327,0.14444323,-0.08918212,-0.053603426,0.063682705,0.015347989,stop
-0.033478327,0.14444323,-0.08918212,-0.053603426,0.063682705,0.015347989,stop
6.418514E-4,0.19806345,-0.15180224,-0.11530081,0.085673854,0.0092393365,stop
6.418514E-4,0.19806345,-0.15180224,-0.11530081,0.085673854,0.0092393365,stop
6.418514E-4,0.19806345,-0.15180224,-0.11530081,0.085673854,0.0092393365,stop
0.0026939153,0.2527781,-0.20265897,-0.12568553,0.05879578,-0.025579982,stop
0.0026939153,0.2527781,-0.20265897,-0.12568553,0.05879578,-0.025579982,stop
