accX,accY,accZ,angleX,angleY,angleZ,label
-0.031537414,-0.021193743,0.0569582,0.0012980887,0.0052687125,0.0061086523,stop
-0.020937622,-0.039191723,-0.006005287,0.015958855,0.0077121737,0.02076942,stop
0.02503419,-0.0065128803,-0.14152718,0.0019089539,-2.2907447E-4,0.021991149,stop
0.042617947,-0.008529425,-0.06369591,-0.021303926,3.8179077E-4,0.017715093,stop
0.049879164,0.007430315,0.09003353,-0.016417004,-0.003894266,0.017715093,stop
0.049879164,0.007430315,0.09003353,-0.016417004,-0.003894266,0.017715093,stop
0.07148558,0.010374546,-0.007299423,0.0037415496,-0.0020616702,0.016493361,stop
0.07148558,0.010374546,-0.007299423,0.0037415496,-0.0020616702,0.016493361,stop
0.07148558,0.010374546,-0.007299423,-0.0048105638,-0.005726862,0.015271631,stop
0.09800577,0.0025818348,-0.074459076,-0.0048105638,-0.005726862,0.015271631,stop
0.09800577,0.0025818348,-0.074459076,-0.0048105638,-0.005726862,0.015271631,stop
0.040903807,-0.005138159,-0.08909416,-0.0182496,0.0077121737,0.015271631,stop
0.040903807,-0.005138159,-0.08909416,-0.0182496,0.0077121737,0.015271631,stop
0.032081485,0.015883207,-0.17540264,-0.021914791,0.0064904434,0.017715093,stop
0.032081485,0.015883207,-0.17540264,-0.021914791,0.0064904434,0.017715093,stop
0.032081485,0.015883207,-0.17540264,-0.021914791,0.0064904434,0.017715093,stop
0.08974019,0.038740873,-0.19339561,-0.031077769,-0.019165898,0.016493361,stop
0.08974019,0.038740873,-0.19339561,-0.031077769,-0.019165898,0.016493361,stop
0.09741393,0.010539532,0.0830946,-0.0463494,-0.043600507,0.004276057,stop
0.09741393,0.010539532,0.0830946,-0.0463494,-0.043600507,0.004276057,stop
0.005821407,-0.040483713,0.11033726,-0.04024075,-0.010613783,-0.0018325958,stop
0.005821407,-0.040483713,0.11033726,-0.04024075,-0.010613783,-0.0018325958,stop
0.005821407,-0.040483713,0.11033726,-0.04024075,-0.010613783,-0.0018325958,stop
-0.011419952,0.010425568,0.08134937,-0.036575556,-0.0075594573,0.007941248,stop
-0.011419952,0.010425568,0.08134937,-0.036575556,-0.0075594573,0.007941248,stop
0.017623037,0.034834623,0.05487442,-0.023747386,-0.010613783,0.01038471,stop
0.017623037,0.034834623,0.05487442,-0.023747386,-0.010613783,0.01038471,stop
0.017623037,0.034834623,0.05487442,-0.023747386,-0.010613783,0.01038471,stop
0.05714476,0.015151262,0.017849922,-0.007254025,-0.02893974,0.004886922,stop
0.05714476,0.015151262,0.017849922,-0.007254025,-0.02893974,0.004886922,stop
