prediction,value,valid
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,stop,false
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
move,move,true
