accX,accY,accZ,angleX,angleY,angleZ,label
0.09666735,0.16041327,-0.120158195,0.059483003,-0.07261661,-0.063224554,stop
0.09666735,0.16041327,-0.120158195,0.059483003,-0.07261661,-0.063224554,stop
0.09666735,0.16041327,-0.120158195,0.05642868,-0.006032294,-0.07849618,stop
-0.12073475,0.13015556,0.0014123917,0.05642868,-0.006032294,-0.07849618,stop
-0.23215503,0.18751335,-0.09555626,0.075976364,0.038560867,-0.04734206,stop
-0.23215503,0.18751335,-0.09555626,0.075976364,0.038560867,-0.04734206,stop
-0.104200244,0.23469448,-0.17868614,0.06742425,0.042836927,-0.0125227375,stop
-0.104200244,0.23469448,-0.17868614,0.06742425,0.042836927,-0.0125227375,stop
-0.07277459,0.23341036,-0.0858984,0.051541757,0.04772385,0.004581489,stop
-0.07277459,0.23341036,-0.0858984,0.051541757,0.04772385,0.004581489,stop
-0.16971427,0.38005018,-0.21172237,0.049098294,0.02939789,0.0070249503,stop
-0.16971427,0.38005018,-0.21172237,0.049098294,0.02939789,0.0070249503,stop
-0.2574613,0.5398841,-0.42854595,0.091858864,-0.0066431593,0.003970624,stop
-0.2574613,0.5398841,-0.42854595,0.091858864,-0.0066431593,0.003970624,stop
-0.14888632,0.6926346,-0.5631876,0.09369145,-0.053068917,-0.0015271631,stop
-0.14888632,0.6926346,-0.5631876,0.09369145,-0.053068917,-0.0015271631,stop
-0.28921467,0.77694845,-0.53358746,0.08513934,-0.030466905,0.005192355,stop
-0.28921467,0.77694845,-0.53358746,0.08513934,-0.030466905,0.005192355,stop
-0.28921467,0.77694845,-0.53358746,0.03932445,0.0110719325,0.038179077,stop
-0.27838612,0.8698449,-0.8537693,0.03932445,0.0110719325,0.038179077,stop
-0.2528702,0.81644344,-0.69302034,-0.020540344,0.0025198192,0.060170226,stop
-0.2528702,0.81644344,-0.69302034,-0.020540344,0.0025198192,0.060170226,stop
-0.019531786,0.7511301,-0.39637756,-0.09506591,0.022678372,0.07422013,stop
-0.019531786,0.7511301,-0.39637756,-0.09506591,0.022678372,0.07422013,stop
0.029171646,0.58065987,-0.41374874,-0.085292056,0.023289237,0.05100725,stop
0.029171646,0.58065987,-0.41374874,-0.085292056,0.023289237,0.05100725,stop
-0.022982836,0.5177698,-0.32414818,-0.051083606,0.04589125,0.014966198,stop
-0.022982836,0.5177698,-0.32414818,-0.051083606,0.04589125,0.014966198,stop
0.05486864,0.5345192,-0.42434216,0.011224649,0.008017606,-0.005192355,stop
0.05486864,0.5345192,-0.42434216,0.011224649,0.008017606,-0.005192355,stop
0.31755453,0.5838146,-0.37575912,0.053985216,-0.0322995,-0.015577064,stop
0.31755453,0.5838146,-0.37575912,0.053985216,-0.0322995,-0.015577064,stop
0.31755453,0.5838146,-0.37575912,0.05459608,0.05627596,-0.024129177,stop
0.53195834,0.648026,-0.2746029,0.05459608,0.05627596,-0.024129177,stop
0.4924416,0.6892948,-0.6139598,0.08513934,0.09476047,-0.054061573,stop
0.4924416,0.6892948,-0.6139598,0.08513934,0.09476047,-0.054061573,stop
