accX,accY,accZ,angleX,angleY,angleZ,label
-0.27142,-0.58155036,-2.7229657,0.15103643,-0.22113322,0.09193522,move
-0.27142,-0.58155036,-2.7229657,0.15103643,-0.22113322,0.09193522,move
-0.3390249,-0.6176331,-2.7166371,0.27076602,-0.52778757,0.13897185,move
-0.3390249,-0.6176331,-2.7166371,0.27076602,-0.52778757,0.13897185,move
0.60021454,0.1643095,-2.0502262,0.3294091,-0.47708577,0.06566802,move
0.60021454,0.1643095,-2.0502262,0.3294091,-0.47708577,0.06566802,move
0.035550594,0.15195465,-1.9294372,0.3727805,-0.4007276,0.03390302,move
0.035550594,0.15195465,-1.9294372,0.3727805,-0.4007276,0.03390302,move
-0.38517916,0.20835161,-2.3671389,0.37827832,-0.41172317,0.15424347,move
-0.38517916,0.20835161,-2.3671389,0.37827832,-0.41172317,0.15424347,move
-0.10010004,0.63596296,-1.6124454,0.28115073,-0.5119051,0.3173445,move
-0.10010004,0.63596296,-1.6124454,0.28115073,-0.5119051,0.3173445,move
0.49178737,1.3113618,-0.39796066,0.27870727,-0.5015204,0.36071593,move
0.49178737,1.3113618,-0.39796066,0.27870727,-0.5015204,0.36071593,move
0.49178737,1.3113618,-0.39796066,0.37583485,-0.47952923,0.24953845,move
0.54759777,1.6409078,0.6913557,0.37583485,-0.47952923,0.24953845,move
0.1030547,1.4840331,1.1636944,0.48762318,-0.44226643,0.11881329,move
0.1030547,1.4840331,1.1636944,0.48762318,-0.44226643,0.11881329,move
-0.5665067,0.9367523,1.3993282,0.47723848,-0.3359759,0.13530666,move
-0.5665067,0.9367523,1.3993282,0.47723848,-0.3359759,0.13530666,move
-0.5665067,0.9367523,1.3993282,0.36056322,-0.11362094,0.33628133,move
-0.9580458,0.7452917,2.2317657,0.36056322,-0.11362094,0.33628133,move
-0.6330125,1.2464261,2.742858,0.45952338,0.008552114,0.6081163,move
-0.6330125,1.2464261,2.742858,0.45952338,0.008552114,0.6081163,move
-0.6330125,1.2464261,2.742858,0.6348417,0.08674286,0.7858781,move
0.19748074,1.8013363,0.89359283,0.6348417,0.08674286,0.7858781,move
1.148765,2.8697343,-1.1747208,0.4259258,0.028710667,0.75228053,move
1.148765,2.8697343,-1.1747208,0.4259258,0.028710667,0.75228053,move
1.813647,2.622982,-1.2576098,-0.22586742,-0.06841691,0.40408736,move
1.813647,2.622982,-1.2576098,-0.22586742,-0.06841691,0.40408736,move
1.813647,2.622982,-1.2576098,-0.8770498,-0.33658674,-0.11942416,move
1.4106635,0.88781595,1.9662285,-0.8770498,-0.33658674,-0.11942416,move
1.4106635,0.88781595,1.9662285,-0.96929044,-0.41905355,-0.41691554,move
-0.69614744,-1.1108136,4.669198,-0.96929044,-0.41905355,-0.41691554,move
-1.989289,-1.6955845,3.5964441,-0.48792863,0.02443461,-0.17989981,move
-1.989289,-1.6955845,3.5964441,-0.48792863,0.02443461,-0.17989981,move
-1.989289,-1.6955845,3.5964441,0.124769226,0.14355333,0.21838433,move
-0.84733295,-1.3638563,0.14770412,0.124769226,0.14355333,0.21838433,move
-0.2752356,-0.69978523,-2.8895144,0.15592335,0.064751714,0.23304509,move
-0.2752356,-0.69978523,-2.8895144,0.15592335,0.064751714,0.23304509,move
