accX,accY,accZ,angleX,angleY,angleZ,label
-0.48270178,-0.44626045,2.7230778,-0.6241516,0.17470746,0.13408493,moveLeft
-0.48270178,-0.44626045,2.7230778,-0.536187,0.32498032,0.10781772,moveLeft
-1.2603463,-1.3218436,3.7274466,-0.536187,0.32498032,0.10781772,moveLeft
-2.178169,-1.5973649,2.567893,-0.18982637,0.61758476,0.24770586,moveLeft
-2.178169,-1.5973649,2.567893,-0.18982637,0.61758476,0.24770586,moveLeft
-2.178169,-1.5973649,2.567893,-0.18982637,0.61758476,0.24770586,moveLeft
-1.9609375,-1.4590921,0.15764332,0.019089539,0.77640975,0.4914411,moveLeft
-1.9609375,-1.4590921,0.15764332,-0.059101213,0.6206391,0.66675943,moveLeft
-1.1477876,-0.9367285,-0.8758521,-0.059101213,0.6206391,0.66675943,moveLeft
-1.1477876,-0.9367285,-0.8758521,-0.15928312,0.3567453,0.7131852,moveLeft
-0.483801,-0.7111988,-0.6612325,-0.15928312,0.3567453,0.7131852,moveLeft
-0.4033758,-0.82411337,0.060011864,-0.20815234,0.25595254,0.66920286,moveLeft
-0.4033758,-0.82411337,0.060011864,-0.20815234,0.25595254,0.66920286,moveLeft
-0.4033758,-0.82411337,0.060011864,-0.19776763,0.43249258,0.6374379,moveLeft
-0.76236117,-1.280498,0.2386837,-0.19776763,0.43249258,0.6374379,moveLeft
-1.182437,-1.5343933,-0.12741375,-0.14462234,0.62796944,0.70341134,moveLeft
-1.182437,-1.5343933,-0.12741375,-0.14462234,0.62796944,0.70341134,moveLeft
-1.204648,-1.3556738,-0.67986536,-0.047494773,0.72204274,0.8671232,moveLeft
-1.204648,-1.3556738,-0.67986536,-0.047494773,0.72204274,0.8671232,moveLeft
-0.7244791,-0.6869006,-1.4027381,0.0355829,0.59742624,0.93676186,moveLeft
-0.7244791,-0.6869006,-1.4027381,0.0355829,0.59742624,0.93676186,moveLeft
-0.7244791,-0.6869006,-1.4027381,0.051465396,0.398895,0.8762862,moveLeft
