accX,accY,accZ,angleX,angleY,angleZ,label
-2.097317,-1.1344285,2.1339025,-0.37911823,0.57306796,0.0125227375,moveLeft
-1.268168,-0.9348898,0.35986805,-0.37911823,0.57306796,0.0125227375,moveLeft
-1.268168,-0.9348898,0.35986805,-0.1530981,0.45089492,0.24831672,moveLeft
-1.268168,-0.9348898,0.35986805,-0.1530981,0.45089492,0.24831672,moveLeft
-0.6855137,-1.0345397,0.3084321,-0.20318905,0.27985263,0.3173445,moveLeft
-0.6855137,-1.0345397,0.3084321,-0.25328,0.3018438,0.33200526,moveLeft
-0.68276,-1.2478433,0.644814,-0.25328,0.3018438,0.33200526,moveLeft
-0.5772455,-1.3632174,0.27767134,-0.13110696,0.39530617,0.3839288,moveLeft
-0.5772455,-1.3632174,0.27767134,-0.13110696,0.39530617,0.3839288,moveLeft
-0.592691,-1.3146243,-0.47201777,-0.13110696,0.39530617,0.3839288,moveLeft
-0.592691,-1.3146243,-0.47201777,0.020387627,0.41546473,0.41996986,moveLeft
-0.8414029,-1.267724,-1.2072644,0.020387627,0.41546473,0.41996986,moveLeft
-0.8414029,-1.267724,-1.2072644,0.17188221,0.3574325,0.4364632,moveLeft
-0.8414029,-1.267724,-1.2072644,0.17188221,0.3574325,0.4364632,moveLeft
-0.9940707,-1.0242305,-1.9502983,0.23724478,0.2224313,0.47739118,moveLeft
-0.5996239,-0.53792334,-1.7570219,0.17004961,0.19310978,0.48349985,moveLeft
-0.5996239,-0.53792334,-1.7570219,0.17004961,0.19310978,0.48349985,moveLeft
-0.5212136,-0.14396095,-1.4937186,0.12056953,0.30795243,0.39187005,moveLeft
-0.5212136,-0.14396095,-1.4937186,0.12056953,0.30795243,0.39187005,moveLeft
-1.0114567,-0.26413965,-1.7999959,0.12056953,0.30795243,0.39187005,moveLeft
-1.0114567,-0.26413965,-1.7999959,0.14256068,0.40813434,0.2855795,moveLeft
-1.5518123,-0.46578836,-2.1346965,0.14256068,0.40813434,0.2855795,moveLeft
-1.5518123,-0.46578836,-2.1346965,0.1651627,0.36231944,0.28985557,moveLeft
-1.5081221,-0.33039904,-1.70649,0.1651627,0.36231944,0.28985557,moveLeft
-1.5081221,-0.33039904,-1.70649,0.18532124,0.12652546,0.37965274,moveLeft
-1.1618655,-0.12585402,-0.6836858,0.18532124,0.12652546,0.37965274,moveLeft
-1.1618655,-0.12585402,-0.6836858,0.22319488,-0.024969118,0.4382958,moveLeft
-0.91693354,0.11458683,0.0050668716,0.22319488,-0.024969118,0.4382958,moveLeft
-0.91693354,0.11458683,0.0050668716,0.23907739,0.08071057,0.43890667,moveLeft
-0.8950405,0.29325676,0.0739584,0.20303634,0.45761442,0.41813725,moveLeft
-0.8950405,0.29325676,0.0739584,0.20303634,0.45761442,0.41813725,moveLeft
-1.0790818,0.42723894,-0.34051275,0.20303634,0.45761442,0.41813725,moveLeft
-1.0790818,0.42723894,-0.34051275,0.2738967,0.58711785,0.40469822,moveLeft
-1.0790818,0.42723894,-0.34051275,0.2738967,0.58711785,0.40469822,moveLeft
-1.1796709,0.54716635,-0.309031,0.37652206,0.29878947,0.43951756,moveLeft
-0.8324109,0.8203106,1.0020247,0.37652206,0.29878947,0.43951756,moveLeft
-0.8324109,0.8203106,1.0020247,0.349644,0.10942124,0.47311515,moveLeft
-1.0861112,0.7066703,2.0728478,0.32765284,0.24686591,0.45845437,moveLeft
-1.0861112,0.7066703,2.0728478,0.32765284,0.24686591,0.45845437,moveLeft
-1.49581,1.3697615,2.3512073,0.34903312,0.5706245,0.52320606,moveLeft
-1.49581,1.3697615,2.3512073,0.34903312,0.5706245,0.52320606,moveLeft
