accX,accY,accZ,angleX,angleY,angleZ,label
0.9460415,0.83485126,-1.2805142,-0.087201014,-0.14172074,-0.09743301,moveRight
1.1840394,1.0925202,-1.3720937,-0.087201014,-0.14172074,-0.09743301,moveRight
1.1840394,1.0925202,-1.3720937,-0.27473664,-0.15943582,-0.21044308,moveRight
1.1762524,1.1110535,-0.6975875,-0.27473664,-0.15943582,-0.21044308,moveRight
0.9457297,0.89410114,-0.1487279,-0.38224894,-0.031154128,-0.29168814,moveRight
0.9457297,0.89410114,-0.1487279,-0.38224894,-0.031154128,-0.29168814,moveRight
0.9799761,0.9562068,-0.19378519,-0.38224894,-0.031154128,-0.29168814,moveRight
0.9799761,0.9562068,-0.19378519,-0.37186423,0.059864793,-0.30390546,moveRight
0.5144049,0.5035434,-0.31260538,-0.28145617,0.03359759,-0.26053402,moveRight
0.5144049,0.5035434,-0.31260538,-0.28145617,0.03359759,-0.26053402,moveRight
0.3912198,0.49141598,-0.44736528,-0.205098,-0.027488936,-0.21166481,moveRight
0.3912198,0.49141598,-0.44736528,-0.205098,-0.027488936,-0.21166481,moveRight
0.3912198,0.49141598,-0.44736528,-0.13240504,-0.06963864,-0.14874569,moveRight
0.3192992,0.59401274,-0.5691948,-0.13240504,-0.06963864,-0.14874569,moveRight
0.3192992,0.59401274,-0.5691948,-0.04444045,-0.099571034,-0.10293079,moveRight
0.5163434,0.80354595,-0.60637283,-0.04444045,-0.099571034,-0.10293079,moveRight
0.5617013,0.8964157,-0.7249322,0.019089539,-0.09040806,-0.10781772,moveRight
0.5617013,0.8964157,-0.7249322,0.019089539,-0.09040806,-0.10781772,moveRight
0.5617013,0.8964157,-0.7249322,0.05390886,-0.089186326,-0.1255328,moveRight
0.56246525,0.94219875,-0.8582463,0.05390886,-0.089186326,-0.1255328,moveRight
0.56246525,0.94219875,-0.8582463,0.08445212,-0.1301143,-0.13041973,moveRight
0.88130426,1.02385,-0.7629647,0.08445212,-0.1301143,-0.13041973,moveRight
1.3058411,1.1531334,-0.6260481,0.11438452,-0.13561209,-0.18661933,moveRight
1.3058411,1.1531334,-0.6260481,0.11438452,-0.13561209,-0.18661933,moveRight
1.3058411,1.1531334,-0.6260481,0.12843442,-0.076358154,-0.29535335,moveRight
1.2237064,0.9824939,-0.6294708,0.12843442,-0.076358154,-0.29535335,moveRight
1.2237064,0.9824939,-0.6294708,0.12660182,-0.009773844,-0.35338554,moveRight
0.75089055,0.8696599,-0.6956396,0.12660182,-0.009773844,-0.35338554,moveRight
0.6070056,0.8800173,-0.9428334,0.12904528,0.034208454,-0.33261612,moveRight
0.6070056,0.8800173,-0.9428334,0.12904528,0.034208454,-0.33261612,moveRight
0.6070056,0.8800173,-0.9428334,0.12904528,0.0012217305,-0.30390546,moveRight
0.7915498,1.076263,-1.1675096,0.12904528,0.0012217305,-0.30390546,moveRight
0.7915498,1.076263,-1.1675096,0.0917825,-0.12156218,-0.30634892,moveRight
0.82615787,1.1994786,-0.75722647,0.0917825,-0.12156218,-0.30634892,moveRight
0.8650744,1.16184,-0.03311968,0.056963183,-0.14355333,-0.31123585,moveRight
0.8650744,1.16184,-0.03311968,0.056963183,-0.14355333,-0.31123585,moveRight
0.71806926,1.0062189,0.17772913,0.123547494,-0.087964594,-0.28802297,moveRight
0.71806926,1.0062189,0.17772913,0.123547494,-0.087964594,-0.28802297,moveRight
0.71806926,1.0062189,0.17772913,0.17913623,-0.118507855,-0.25137106,moveRight
0.77763844,1.1482949,0.27514982,0.17913623,-0.118507855,-0.25137106,moveRight
0.39442897,1.3839025,0.40118313,0.19135354,-0.12889257,-0.23487769,moveRight
0.39442897,1.3839025,0.40118313,0.19135354,-0.12889257,-0.23487769,moveRight
0.41726196,1.5616016,0.3905325,0.15836681,-0.21135938,-0.20861048,moveRight
0.41726196,1.5616016,0.3905325,0.15836681,-0.21135938,-0.20861048,moveRight
0.64153427,1.6516004,1.2689147,0.045356743,-0.47219884,-0.22876903,moveRight
0.64153427,1.6516004,1.2689147,0.045356743,-0.47219884,-0.22876903,moveRight
0.5459353,1.818542,2.754805,0.019089539,-0.58032197,-0.31856623,moveRight
0.5459353,1.818542,2.754805,0.019089539,-0.58032197,-0.31856623,moveRight
-0.2918393,1.3797088,2.6052828,0.11804971,-0.22174409,-0.42180246,moveRight
-0.2918393,1.3797088,2.6052828,0.11804971,-0.22174409,-0.42180246,moveRight
-0.65135986,0.6467371,1.2121863,0.19318613,0.004886922,-0.36010507,moveRight
-0.65135986,0.6467371,1.2121863,0.19318613,0.004886922,-0.36010507,moveRight
0.08126342,0.5846429,0.5671129,0.17058411,-0.12889257,-0.18051068,moveRight
0.08126342,0.5846429,0.5671129,0.17058411,-0.12889257,-0.18051068,moveRight
1.598604,0.72963095,0.5436115,0.05513059,-0.34574974,-0.15485434,moveRight
1.598604,0.72963095,0.5436115,0.05513059,-0.34574974,-0.15485434,moveRight
1.9293066,0.074374676,1.1193275,-0.17760907,-0.28221974,-0.36071593,moveRight
1.9293066,0.074374676,1.1193275,-0.17760907,-0.28221974,-0.36071593,moveRight
1.9293066,0.074374676,1.1193275,-0.2771801,0.014660766,-0.54458636,moveRight
0.8466162,-0.88075495,1.4026031,-0.2771801,0.014660766,-0.54458636,moveRight
0.8466162,-0.88075495,1.4026031,-0.2771801,0.014660766,-0.54458636,moveRight
0.059357584,-1.3844366,0.49236298,-0.14034629,0.2828306,-0.56291234,moveRight
-0.5774667,-1.654551,-0.3705349,0.05085453,0.36285394,-0.5036584,moveRight
-0.5774667,-1.654551,-0.3705349,0.05085453,0.36285394,-0.5036584,moveRight
-0.5794364,-1.7580972,-1.4015255,0.31719178,0.2284636,-0.38820487,moveRight
-0.5794364,-1.7580972,-1.4015255,0.31719178,0.2284636,-0.38820487,moveRight
-0.41221333,-1.3053145,-2.220912,0.5004513,-0.20769419,-0.27152961,moveRight
-0.41221333,-1.3053145,-2.220912,0.5004513,-0.20769419,-0.27152961,moveRight
0.27107406,-0.9726958,-2.4346485,0.4644103,-0.65118235,-0.21410827,moveRight
0.27107406,-0.9726958,-2.4346485,0.4644103,-0.65118235,-0.21410827,moveRight
0.60296565,-1.01541,-2.3509789,0.17913623,-0.8026769,-0.27152961,moveRight
0.60296565,-1.01541,-2.3509789,0.17913623,-0.8026769,-0.27152961,moveRight
0.8821401,-1.0547123,-0.9079299,-0.37003163,-0.743423,-0.35216382,moveRight
0.8821401,-1.0547123,-0.9079299,-0.37003163,-0.743423,-0.35216382,moveRight
0.93676835,-1.0041852,0.3741684,-0.49281552,-0.49357912,-0.4175264,moveRight
0.93676835,-1.0041852,0.3741684,-0.49281552,-0.49357912,-0.4175264,moveRight
0.68304485,-0.6310177,0.47643805,-0.35842517,-0.26633725,-0.43218717,moveRight
0.68304485,-0.6310177,0.47643805,-0.35842517,-0.26633725,-0.43218717,moveRight
0.76368225,-0.2960353,-0.45222235,-0.111635625,-0.18570304,-0.4297437,moveRight
0.76368225,-0.2960353,-0.45222235,-0.111635625,-0.18570304,-0.4297437,moveRight
