accX,accY,accZ,angleX,angleY,angleZ,label
2.7898545,0.8373141,1.3486452,0.037491854,-0.4348597,-0.5684101,moveRight
2.7898545,0.8373141,1.3486452,0.037491854,-0.4348597,-0.5684101,moveRight
2.7164533,0.32898998,2.1961045,-0.16959146,-0.46601382,-0.6808093,moveRight
2.7164533,0.32898998,2.1961045,-0.16959146,-0.46601382,-0.6808093,moveRight
2.5500124,-0.09828377,2.7808447,-0.3271947,-0.2906955,-0.6918049,moveRight
2.5500124,-0.09828377,2.7808447,-0.3271947,-0.2906955,-0.6918049,moveRight
2.669972,-0.4592557,2.496284,-0.36079228,-0.18440494,-0.65148777,moveRight
2.669972,-0.4592557,2.496284,-0.36079228,-0.18440494,-0.65148777,moveRight
3.0803924,-0.92640066,2.6316257,-0.35834882,-0.2888629,-0.6227771,moveRight
3.0803924,-0.92640066,2.6316257,-0.35834882,-0.2888629,-0.6227771,moveRight
3.450293,-1.1808577,3.1671433,-0.18486309,-0.42691845,-0.5879578,moveRight
3.450293,-1.1808577,3.1671433,-0.18486309,-0.42691845,-0.5879578,moveRight
3.2121599,-1.1932044,2.1133814,0.12667818,-0.32307136,-0.53786683,moveRight
3.2121599,-1.1932044,2.1133814,0.12667818,-0.32307136,-0.53786683,moveRight
3.0593607,-0.78102255,0.30250072,0.29039007,-0.10377073,-0.4529566,moveRight
3.0593607,-0.78102255,0.30250072,0.29039007,-0.10377073,-0.4529566,moveRight
2.9555454,-0.42155933,-0.7413969,0.25007296,-0.0139735425,-0.43463063,moveRight
2.9555454,-0.42155933,-0.7413969,0.25007296,-0.0139735425,-0.43463063,moveRight
3.2861578,0.0050616264,-0.7778635,0.15844317,-0.29497156,-0.49388456,moveRight
3.2861578,0.0050616264,-0.7778635,0.15844317,-0.29497156,-0.49388456,moveRight
3.3810859,-0.06011629,-0.62850714,0.05093089,-0.45685086,-0.61483586,moveRight
3.3810859,-0.06011629,-0.62850714,0.05093089,-0.45685086,-0.61483586,moveRight
3.03492,-0.60127497,0.058713436,-0.16775887,-0.37743837,-0.6960809,moveRight
3.03492,-0.60127497,0.058713436,-0.16775887,-0.37743837,-0.6960809,moveRight
2.7734962,-1.0281782,1.3701625,-0.24411702,-0.26137397,-0.6704246,moveRight
2.7734962,-1.0281782,1.3701625,-0.24411702,-0.26137397,-0.6704246,moveRight
2.9254265,-0.9844971,1.8535728,-0.0687987,-0.2467132,-0.5537493,moveRight
2.9254265,-0.9844971,1.8535728,-0.0687987,-0.2467132,-0.5537493,moveRight
3.2744398,-0.5357976,1.0502687,0.1474476,-0.2570979,-0.4877759,moveRight
3.2744398,-0.5357976,1.0502687,0.1474476,-0.2570979,-0.4877759,moveRight
3.1010697,-0.20229149,-0.09902048,0.1914299,-0.18929186,-0.48288897,moveRight
3.1010697,-0.20229149,-0.09902048,0.1914299,-0.18929186,-0.48288897,moveRight
3.059091,0.09574747,-0.5973096,0.13217597,-0.09399689,-0.4578435,moveRight
3.059091,0.09574747,-0.5973096,0.13217597,-0.09399689,-0.4578435,moveRight
3.0181527,0.24575138,-0.6839299,0.1511128,-0.08055785,-0.44073927,moveRight
3.0181527,0.24575138,-0.6839299,0.1511128,-0.08055785,-0.44073927,moveRight
2.9267173,0.37911367,-1.0509791,0.22197317,-0.12454015,-0.4266894,moveRight
2.9267173,0.37911367,-1.0509791,0.22197317,-0.12454015,-0.4266894,moveRight
2.9841132,0.59817505,-1.2491488,0.23113614,-0.1923462,-0.40530908,moveRight
2.9841132,0.59817505,-1.2491488,0.23113614,-0.1923462,-0.40530908,moveRight
3.0162659,0.85519075,-1.0236025,0.19814941,-0.24976753,-0.40530908,moveRight
3.0162659,0.85519075,-1.0236025,0.19814941,-0.24976753,-0.40530908,moveRight
3.0470886,0.9791999,-0.74259233,0.1914299,-0.29924762,-0.4089743,moveRight
3.0470886,0.9791999,-0.74259233,0.1914299,-0.29924762,-0.4089743,moveRight
2.9752228,0.947072,-0.42214823,0.14317155,-0.30230194,-0.42119157,moveRight
2.9752228,0.947072,-0.42214823,0.14317155,-0.30230194,-0.42119157,moveRight
2.8198113,0.85801554,0.5356283,0.04604397,-0.23571762,-0.41691554,moveRight
2.8198113,0.85801554,0.5356283,0.04604397,-0.23571762,-0.41691554,moveRight
2.7422965,0.85149956,1.1837664,0.06253733,-0.13309227,-0.36865717,moveRight
2.7422965,0.85149956,1.1837664,0.06253733,-0.13309227,-0.36865717,moveRight
2.7854753,0.9616933,1.193891,0.17188221,-0.11415544,-0.3173445,moveRight
2.7854753,0.9616933,1.193891,0.17188221,-0.11415544,-0.3173445,moveRight
3.0013344,1.0456834,1.2802777,0.2671772,-0.18318321,-0.2648101,moveRight
3.0013344,1.0456834,1.2802777,0.2671772,-0.18318321,-0.2648101,moveRight
3.1021566,1.114912,1.6251168,0.33131805,-0.23327416,-0.2171626,moveRight
3.1021566,1.114912,1.6251168,0.33131805,-0.23327416,-0.2171626,moveRight
2.9811494,1.1597996,2.0128531,0.41256312,-0.23205243,-0.19028452,moveRight
2.9811494,1.1597996,2.0128531,0.41256312,-0.23205243,-0.19028452,moveRight
2.3918395,1.562314,1.7473979,0.5457317,-0.18929186,-0.13225232,moveRight
2.3918395,1.562314,1.7473979,0.5457317,-0.18929186,-0.13225232,moveRight
2.0067794,2.0510292,0.10719633,0.5634468,-0.15997034,-0.046120327,moveRight
