accX,accY,accZ,angleX,angleY,angleZ
-0.17975831,0.37741566,0.6112871,0.029474247,-0.19792034,0.09621128
-0.17975831,0.37741566,0.6112871,0.029474247,-0.19792034,0.09621128
-0.61286914,0.16954994,0.6023531,0.12721269,-0.17898351,0.07360926
-0.61286914,0.16954994,0.6023531,0.12721269,-0.17898351,0.07360926
-0.67146695,0.077358246,0.4267063,0.12843442,-0.10934488,0.15363261
-0.67146695,0.077358246,0.4267063,0.12843442,-0.10934488,0.15363261
-0.47556734,0.24909115,0.19200993,0.08078693,0.06658431,0.20738874
-0.47556734,0.24909115,0.19200993,0.08078693,0.06658431,0.20738874
-0.16984558,0.4973464,-0.4247961,0.03436117,0.19975294,0.19333886
-0.16984558,0.4973464,-0.4247961,0.03436117,0.19975294,0.19333886
-0.42558748,0.28974342,-0.7584152,0.0032070426,0.1001819,0.1432479
-0.42558748,0.28974342,-0.7584152,0.0032070426,0.1001819,0.1432479
-0.6646775,0.1370573,-0.5730705,-0.0346666,0.017715093,0.1328632
-0.6646775,0.1370573,-0.5730705,-0.0346666,0.017715093,0.1328632
-0.8767643,-0.062633514,-0.16659927,-0.059101213,6.11E-04,0.15668693
-0.8767643,-0.062633514,-0.16659927,-0.059101213,6.11E-04,0.15668693
-1.2021267,-0.1438055,-0.087926865,-0.063988134,0.10262536,0.21960606
-1.2021267,-0.1438055,-0.087926865,-0.063988134,0.10262536,0.21960606
-1.2751372,0.013094902,-0.5479307,-0.06337727,0.172264,0.31245756
-1.2751372,0.013094902,-0.5479307,-0.06337727,0.172264,0.31245756
-1.0795054,0.13046741,-0.41641712,-0.07498371,0.09285152,0.37415496
-1.0795054,0.13046741,-0.41641712,-0.07498371,0.09285152,0.37415496
-0.8376815,0.22497177,-0.15580177,-0.09025534,0.032375857,0.3827071
-0.8376815,0.22497177,-0.15580177,-0.09025534,0.032375857,0.3827071
-0.9330257,0.06944227,0.27939606,-0.123242065,0.06414085,0.36682457
-0.9330257,0.06944227,0.27939606,-0.123242065,0.06414085,0.36682457
-1.0071824,-0.018729687,0.7683687,-0.118966006,0.19853121,0.40530908
-1.0071824,-0.018729687,0.7683687,-0.118966006,0.19853121,0.40530908
-1.0897827,-0.04354906,0.50122833,0.011148291,0.344528,0.48899764
-1.0897827,-0.04354906,0.50122833,0.011148291,0.344528,0.48899764
-1.0652907,-0.01603508,-0.29919052,0.13332134,0.39950588,0.6044512
-1.0652907,-0.01603508,-0.29919052,0.13332134,0.39950588,0.6044512
-1.0934764,0.025465012,-0.6770544,0.08323039,0.43860126,0.7370089
-1.0934764,0.025465012,-0.6770544,0.08323039,0.43860126,0.7370089
-1.0399528,0.081606865,-0.9652519,-0.06154467,0.5296202,0.8353582
-1.0399528,0.081606865,-0.9652519,-0.06154467,0.5296202,0.8353582
-0.8132309,0.045188427,-0.9155741,-0.18982637,0.43188173,0.93370754
-0.8132309,0.045188427,-0.9155741,-0.18982637,0.43188173,0.93370754
-0.67279655,-0.02476263,0.17204285,-0.26618454,0.32253686,0.9941832
-0.67279655,-0.02476263,0.17204285,-0.26618454,0.32253686,0.9941832
-0.6288638,-0.3412943,0.57446957,-0.23808473,0.36896262,1.0980303
-0.6288638,-0.3412943,0.57446957,-0.23808473,0.36896262,1.0980303
-0.36740458,-0.43624878,0.5679989,-0.25213462,0.41538838,1.2061534
-0.36740458,-0.43624878,0.5679989,-0.25213462,0.41538838,1.2061534
-0.3613003,-0.39246988,0.4198656,-0.36392298,0.6053675,1.3051136
-0.3613003,-0.39246988,0.4198656,-0.36392298,0.6053675,1.3051136
-0.5691597,-0.4673009,0.32299328,-0.4213443,0.70371675,1.4010195
-0.5691597,-0.4673009,0.32299328,-0.4213443,0.70371675,1.4010195
-0.6135977,-0.54477,0.2756958,-0.34132096,0.6310238,1.5311338
-0.6135977,-0.54477,0.2756958,-0.34132096,0.6310238,1.5311338
-0.63543046,-0.54568887,0.1591835,-0.20021108,0.6310238,1.6551393
-0.63543046,-0.54568887,0.1591835,-0.20021108,0.6310238,1.6551393
-0.80309016,-0.49050498,-0.57477,-0.11407909,0.73792523,1.7608191
-0.80309016,-0.49050498,-0.57477,-0.11407909,0.73792523,1.7608191
-0.70349574,-0.4206481,-0.8269067,-0.1611157,0.82833326,1.8377881
-0.70349574,-0.4206481,-0.8269067,-0.1611157,0.82833326,1.8377881
-0.97003853,-0.6107409,-0.6954222,-0.27412578,0.86315256,1.8683313
-0.97003853,-0.6107409,-0.6954222,-0.27412578,0.86315256,1.8683313
-1.5309995,-1.0230739,0.0038175583,-0.35537085,0.89552844,1.924531
-1.5309995,-1.0230739,0.0038175583,-0.35537085,0.89552844,1.924531
-1.5321535,-0.98996806,-0.0121946335,-0.34254268,0.9999864,2.0546453
-1.5321535,-0.98996806,-0.0121946335,-0.34254268,0.9999864,2.0546453
