accX,accY,accZ,angleX,angleY,angleZ,label
-0.23515892,-1.1735044,1.3741856,-0.20868684,1.560837,1.9092593,stopLeft
-0.23515892,-1.1735044,1.3741856,-0.20868684,1.560837,1.9092593,stopLeft
-0.3735999,-1.1703405,1.1238189,-0.19769126,1.5626696,1.9636264,stopLeft
-0.3735999,-1.1703405,1.1238189,-0.19769126,1.5626696,1.9636264,stopLeft
-0.46897542,-1.152883,0.46169567,-0.21784982,1.5724435,2.0015,stopLeft
-0.46897542,-1.152883,0.46169567,-0.21784982,1.5724435,2.0015,stopLeft
-0.4440373,-1.5527196,0.684186,-0.35651624,1.4918092,2.0161607,stopLeft
-0.4440373,-1.5527196,0.684186,-0.35651624,1.4918092,2.0161607,stopLeft
-0.6329838,-2.0591645,1.9692378,-0.46891543,1.4356097,2.0436497,stopLeft
-0.6329838,-2.0591645,1.9692378,-0.46891543,1.4356097,2.0436497,stopLeft
-0.9893819,-2.4081202,2.5938015,-0.42432228,1.5541176,2.1120665,stopLeft
-0.9893819,-2.4081202,2.5938015,-0.42432228,1.5541176,2.1120665,stopLeft
-1.2016599,-2.4123778,2.2452888,-0.2862667,1.7312684,2.233018,stopLeft
-1.2016599,-2.4123778,2.2452888,-0.2862667,1.7312684,2.233018,stopLeft
-1.0063289,-1.9676065,1.3492613,-0.17386752,1.764866,2.349693,stopLeft
-1.0063289,-1.9676065,1.3492613,-0.17386752,1.764866,2.349693,stopLeft
-0.7743844,-1.61553,1.3521891,-0.13110696,1.5712217,2.3753495,stopLeft
-0.7743844,-1.61553,1.3521891,-0.13110696,1.5712217,2.3753495,stopLeft
-0.58616394,-1.3509245,2.2709599,-0.10789407,1.4301119,2.323426,stopLeft
-0.58616394,-1.3509245,2.2709599,-0.10789407,1.4301119,2.323426,stopLeft
-0.878415,-1.4454565,2.7860236,-3.8179077E-4,1.4673747,2.2018638,stopLeft
-0.878415,-1.4454565,2.7860236,-3.8179077E-4,1.4673747,2.2018638,stopLeft
-0.878415,-1.4454565,2.7860236,0.10590876,1.7056121,2.1041253,stopLeft
-1.2642388,-1.5666671,2.4605126,0.10590876,1.7056121,2.1041253,stopLeft
-1.278644,-1.4104066,2.2031374,0.1614975,1.7269924,2.0778582,stopLeft
-1.278644,-1.4104066,2.2031374,0.1614975,1.7269924,2.0778582,stopLeft
-0.8645846,-1.1357427,2.195342,0.2616794,1.6488017,2.0308216,stopLeft
-0.8645846,-1.1357427,2.195342,0.2616794,1.6488017,2.0308216,stopLeft
-0.7002944,-0.9685712,1.8965654,0.33131805,1.6115389,1.915368,stopLeft
-0.7002944,-0.9685712,1.8965654,0.33131805,1.6115389,1.915368,stopLeft
-0.74024993,-1.014967,1.7702761,0.28244883,1.6677384,1.7663169,stopLeft
-0.74024993,-1.014967,1.7702761,0.28244883,1.6677384,1.7663169,stopLeft
-0.95024896,-1.2507849,1.8312798,0.18287778,1.7838029,1.63437,stopLeft
-0.95024896,-1.2507849,1.8312798,0.18287778,1.7838029,1.63437,stopLeft
-1.4887332,-1.6154795,1.9114013,0.11323915,1.9120846,1.5555683,stopLeft
-1.4887332,-1.6154795,1.9114013,0.11323915,1.9120846,1.5555683,stopLeft
-1.5336516,-1.704534,1.9606185,0.13889548,1.8968129,1.593442,stopLeft
-1.5336516,-1.704534,1.9606185,0.13889548,1.8968129,1.593442,stopLeft
-1.1582727,-1.6134434,1.6981177,0.23357959,1.7990745,1.6380352,stopLeft
-1.1582727,-1.6134434,1.6981177,0.23357959,1.7990745,1.6380352,stopLeft
-0.8611419,-1.6029878,1.2262287,0.26656634,1.7129425,1.629483,stopLeft
-0.8611419,-1.6029878,1.2262287,0.26656634,1.7129425,1.629483,stopLeft
-0.80960053,-1.6913743,1.191114,0.17249307,1.7043904,1.5861117,stopLeft
-0.80960053,-1.6913743,1.191114,0.17249307,1.7043904,1.5861117,stopLeft
-0.8064313,-1.9287462,1.3487105,0.0613156,1.7385988,1.566564,stopLeft
-0.8064313,-1.9287462,1.3487105,0.0613156,1.7385988,1.566564,stopLeft
-0.95435244,-2.1215043,1.6135659,0.014278975,1.7538705,1.5909985,stopLeft
