accX,accY,accZ,angleX,angleY,angleZ,label
1.8929443,0.044352055,2.9385405,-0.51175237,-0.11911872,-0.59223384,stopRight
1.8365546,-0.59105396,2.5904837,0.12110403,-0.2669481,-0.627664,stopRight
1.8365546,-0.59105396,2.5904837,0.12110403,-0.2669481,-0.627664,stopRight
1.700448,-0.64185286,0.840641,0.42959097,-0.23090707,-0.63621616,stopRight
1.5875993,-0.58320665,-0.45372534,0.42959097,-0.23090707,-0.63621616,stopRight
1.5875993,-0.58320665,-0.45372534,0.36178493,-0.1441642,-0.6453791,stopRight
1.9008121,-0.41179276,-0.7013254,0.36178493,-0.1441642,-0.6453791,stopRight
1.9008121,-0.41179276,-0.7013254,0.17730364,-0.23335053,-0.66920286,stopRight
2.961011,-0.13838768,0.7668762,0.17730364,-0.23335053,-0.66920286,stopRight
2.961011,-0.13838768,0.7668762,0.10277808,-0.5290093,-0.79381937,stopRight
3.0394344,-0.35871887,1.6090174,0.10277808,-0.5290093,-0.79381937,stopRight
3.0394344,-0.35871887,1.6090174,0.17730364,-0.58032197,-1.0711522,stopRight
3.0394344,-0.35871887,1.6090174,0.17730364,-0.58032197,-1.0711522,stopRight
2.1228943,-0.9826169,1.37356,0.29031372,-0.44043383,-1.244027,stopRight
1.6190603,-1.2076058,0.36409283,0.29031372,-0.44043383,-1.244027,stopRight
1.6190603,-1.2076058,0.36409283,0.3911065,-0.4007276,-1.2415836,stopRight
1.6172674,-1.099391,-0.5937371,0.3911065,-0.4007276,-1.2415836,stopRight
1.6172674,-1.099391,-0.5937371,0.39721513,-0.6035349,-1.2183707,stopRight
1.6265066,-0.8578701,-0.84126806,0.39721513,-0.6035349,-1.2183707,stopRight
1.6265066,-0.8578701,-0.84126806,0.1693624,-0.7049385,-1.2525792,stopRight
1.2530241,-0.78390455,-0.11671972,0.1693624,-0.7049385,-1.2525792,stopRight
1.2530241,-0.78390455,-0.11671972,-0.1067487,-0.7415904,-1.352761,stopRight
1.2530241,-0.78390455,-0.11671972,-0.1067487,-0.7415904,-1.352761,stopRight
0.66802233,-0.74243116,0.5109954,-0.1910481,-0.88025683,-1.4511104,stopRight
0.08601487,-1.2295179,0.5918741,-0.1910481,-0.88025683,-1.4511104,stopRight
0.08601487,-1.2295179,0.5918741,-0.21975878,-1.1270463,-1.5402967,stopRight
-0.63738513,-1.8379467,1.0664787,-0.21975878,-1.1270463,-1.5402967,stopRight
-0.63738513,-1.8379467,1.0664787,-0.27351493,-1.3634512,-1.4865406,stopRight
-0.5870579,-1.9659681,1.732687,-0.27351493,-1.3634512,-1.4865406,stopRight
-0.5870579,-1.9659681,1.732687,-0.31016684,-1.4025466,-1.320996,stopRight
-0.5870579,-1.9659681,1.732687,-0.31016684,-1.4025466,-1.320996,stopRight
0.20524728,-1.4520478,2.2121649,-0.24969117,-1.1948525,-1.1914927,stopRight
0.20524728,-1.4520478,2.2121649,-0.24969117,-1.1948525,-1.1914927,stopRight
0.5114567,-1.0129004,1.5130959,-0.0346666,-0.9755518,-1.2153164,stopRight
0.5114567,-1.0129004,1.5130959,0.20051652,-1.0616838,-1.2819008,stopRight
0.124768615,-0.94927835,0.46982765,0.20051652,-1.0616838,-1.2819008,stopRight
-0.15747881,-0.85514927,-0.32065344,0.20051652,-1.0616838,-1.2819008,stopRight
-0.15747881,-0.85514927,-0.32065344,0.3379612,-1.2712106,-1.321607,stopRight
-0.15747881,-0.85514927,-0.32065344,0.28053987,-1.4135422,-1.3949108,stopRight
-0.13465542,-0.6571269,-0.15603447,0.28053987,-1.4135422,-1.3949108,stopRight
-0.13465542,-0.6571269,-0.15603447,0.28053987,-1.4135422,-1.3949108,stopRight
0.0011120439,-0.7585039,0.032702446,0.16875152,-1.3213016,-1.4932601,stopRight
0.0011120439,-0.7585039,0.032702446,0.16875152,-1.3213016,-1.4932601,stopRight
-0.051517844,-0.9627743,0.34108543,0.049632803,-1.3848315,-1.6404786,stopRight
0.096232615,-1.1654253,1.0661831,0.049632803,-1.3848315,-1.6404786,stopRight
0.096232615,-1.1654253,1.0661831,-0.02611449,-1.473407,-1.7589865,stopRight
0.6497212,-1.2244964,1.4995384,-0.02611449,-1.473407,-1.7589865,stopRight
0.6497212,-1.2244964,1.4995384,-0.013897184,-1.4996742,-1.9226984,stopRight
0.6497212,-1.2244964,1.4995384,-0.010231993,-1.3909402,-2.165212,stopRight
0.48527357,-1.4590836,1.368228,-0.010231993,-1.3909402,-2.165212,stopRight
0.48527357,-1.4590836,1.368228,-0.010231993,-1.3909402,-2.165212,stopRight
0.086925566,-1.884716,1.3665819,-0.012064588,-1.3610078,-2.3521366,stopRight
0.086925566,-1.884716,1.3665819,-0.012064588,-1.3610078,-2.3521366,stopRight
0.118827015,-1.8734856,1.3598385,0.06856962,-1.3988814,-2.4278839,stopRight
-0.22058439,-2.0291152,1.2885742,0.06856962,-1.3988814,-2.4278839,stopRight
-0.22058439,-2.0291152,1.2885742,0.26099217,-1.5534303,-2.414445,stopRight
0.5496235,-1.7840502,0.5153065,0.26099217,-1.5534303,-2.414445,stopRight
0.5496235,-1.7840502,0.5153065,0.28970283,-1.6071864,-2.43216,stopRight
0.9218887,-1.770746,0.22005463,0.28970283,-1.6071864,-2.43216,stopRight
0.9218887,-1.770746,0.22005463,0.111941054,-1.5925257,-2.5738807,stopRight
0.7528525,-2.1129413,0.7297201,0.111941054,-1.5925257,-2.5738807,stopRight
0.7528525,-2.1129413,0.7297201,-0.08475755,-1.7415768,-2.7956247,stopRight
0.51506156,-2.6934721,1.5824203,-0.08475755,-1.7415768,-2.7956247,stopRight
0.51506156,-2.6934721,1.5824203,-0.08475755,-2.0048597,-2.8933632,stopRight
0.30044922,-3.0823958,2.5642338,-0.08475755,-2.0048597,-2.8933632,stopRight
0.30044922,-3.0823958,2.5642338,0.0025961774,-2.2107213,-2.9092457,stopRight
0.51281214,-3.1844327,3.3015146,0.0025961774,-2.2107213,-2.9092457,stopRight
0.51281214,-3.1844327,3.3015146,0.059406646,-2.2143865,-2.9263499,stopRight
0.61585814,-3.1269872,3.6151876,0.059406646,-2.2143865,-2.9263499,stopRight
0.61585814,-3.1269872,3.6151876,0.09239337,-2.094046,-3.0069842,stopRight
0.31706426,-3.3755417,3.3305635,0.09239337,-2.094046,-3.0069842,stopRight
0.31706426,-3.3755417,3.3305635,0.0954477,-1.958434,-3.1267138,stopRight
-0.1338184,-3.7601032,3.1562023,0.0954477,-1.958434,-3.1267138,stopRight
-0.1338184,-3.7601032,3.1562023,0.074067414,-1.9724839,-3.2042937,stopRight
-0.58767426,-3.9755044,3.6400404,0.074067414,-1.9724839,-3.2042937,stopRight
-0.58767426,-3.9755044,3.6400404,0.104610674,-2.1135938,-3.189022,stopRight
0.12479103,-3.9895992,4.538104,0.104610674,-2.1135938,-3.189022,stopRight
0.12479103,-3.9895992,4.538104,0.26526824,-2.3683245,-3.0949488,stopRight
1.4783795,-3.6380844,4.4935274,0.44913867,-2.3536637,-3.1004465,stopRight
1.4783795,-3.6380844,4.4935274,0.44913867,-2.3536637,-3.1004465,stopRight
1.7837337,-3.7837646,3.5237885,0.44913867,-2.3536637,-3.1004465,stopRight
1.7837337,-3.7837646,3.5237885,0.46502116,-1.9822577,-3.3008103,stopRight
0.32951456,-4.2422776,1.9790306,0.46502116,-1.9822577,-3.3008103,stopRight
0.32951456,-4.2422776,1.9790306,0.37827832,-1.5076154,-3.4651332,stopRight
-0.22422376,-4.4313393,0.9767008,0.37827832,-1.5076154,-3.4651332,stopRight
-0.22422376,-4.4313393,0.9767008,0.2780964,-1.2651019,-3.39244,stopRight
-0.27492404,-4.0161796,0.13168621,0.2780964,-1.2651019,-3.39244,stopRight
-0.27492404,-4.0161796,0.13168621,0.25610524,-1.4984524,-3.2849278,stopRight
-0.27492404,-4.0161796,0.13168621,0.25610524,-1.4984524,-3.2849278,stopRight
0.33027622,-3.5256197,0.6826725,0.1815797,-1.8985692,-3.16642,stopRight
0.9406318,-3.1343355,1.9481344,0.1815797,-1.8985692,-3.16642,stopRight
0.9406318,-3.1343355,1.9481344,0.13148874,-2.1673498,-3.1425962,stopRight
0.7436372,-3.3968527,2.7812881,0.13148874,-2.1673498,-3.1425962,stopRight
