accX,accY,accZ,angleX,angleY,angleZ,label
0.14541401,-0.82543516,0.45128345,0.11446088,-1.6443729,-1.1749994,stopRight
0.14541401,-0.82543516,0.45128345,0.11446088,-1.6443729,-1.1749994,stopRight
-0.13535407,-0.8705263,0.8808799,0.09063713,-1.7024051,-1.2550226,stopRight
-0.13535407,-0.8705263,0.8808799,0.09063713,-1.7024051,-1.2550226,stopRight
-0.8229609,-1.0706725,0.7316685,0.094913185,-1.4983761,-1.3332134,stopRight
-1.141553,-1.0252523,0.22801161,0.094913185,-1.4983761,-1.3332134,stopRight
-1.141553,-1.0252523,0.22801161,0.09063713,-1.4098006,-1.3185526,stopRight
-1.141553,-1.0252523,0.22801161,0.09063713,-1.4098006,-1.3185526,stopRight
-1.209085,-0.88533735,0.14947939,0.12851077,-1.5448018,-1.2904528,stopRight
-1.209085,-0.88533735,0.14947939,0.12851077,-1.5448018,-1.2904528,stopRight
-0.65162563,-0.4970026,0.29363346,0.18043432,-1.8148043,-1.2721269,stopRight
-0.65162563,-0.4970026,0.29363346,0.18043432,-1.8148043,-1.2721269,stopRight
0.10360037,-0.30703068,0.5118704,0.13523029,-1.8807777,-1.3545936,stopRight
0.10360037,-0.30703068,0.5118704,0.13523029,-1.8807777,-1.3545936,stopRight
0.39907327,-0.33609772,0.6989937,-0.01198823,-1.7995327,-1.5311338,stopRight
0.22605653,-0.77536535,1.1892285,-0.01198823,-1.7995327,-1.5311338,stopRight
0.22605653,-0.77536535,1.1892285,-0.19646953,-1.725007,-1.7107282,stopRight
-0.2885586,-1.1967616,2.030737,-0.19646953,-1.725007,-1.7107282,stopRight
-0.2885586,-1.1967616,2.030737,-0.2514474,-1.6883552,-1.8048013,stopRight
-0.2885586,-1.1967616,2.030737,-0.2514474,-1.6883552,-1.8048013,stopRight
-0.5944357,-1.2945452,2.0841813,-0.11033753,-1.6327665,-1.8054122,stopRight
-0.5886463,-1.1149273,1.1840658,-0.11033753,-1.6327665,-1.8054122,stopRight
-0.5886463,-1.1149273,1.1840658,0.05337435,-1.6126078,-1.7785342,stopRight
-0.5886463,-1.1149273,1.1840658,0.05337435,-1.6126078,-1.7785342,stopRight
-0.60639733,-0.9298568,0.44044542,0.08086329,-1.657201,-1.7907515,stopRight
-0.60639733,-0.9298568,0.44044542,0.08086329,-1.657201,-1.7907515,stopRight
