accelX,accelY,accelZ,label
0.139,0.938,0.551,1
0.193,0.986,0.716,1
0.31,0.93,0.708,1
0.253,0.812,0.758,1
0.189,0.705,0.883,1
0.185,0.698,0.885,1
0.116,0.74,1.277,1
-0.077,0.883,1.163,1
-0.049,0.848,0.951,1
0.065,0.798,0.721,1
0.171,0.736,0.874,1
0.368,0.508,1.373,1
0.397,0.255,1.965,1
0.222,-0.108,2.757,1
0.142,-0.344,3.018,1
0.135,-0.633,3.265,1
0.103,-0.866,3.54,1
0.143,-1.224,4.098,1
0.285,-1.329,4.448,1
0.472,-1.475,4.666,1
0.7,-1.515,4.435,1
1.079,-1.396,3.627,0
1.506,-1.195,2.432,0
1.87,-0.945,0.491,0
2.006,-0.744,-0.984,0
2.173,-0.442,-2.698,0
2.208,-0.353,-3.476,0
1.951,-0.254,-3.956,0
2.015,-0.222,-4.049,0
1.974,-0.233,-3.64,0
1.801,-0.358,-3.109,0
1.677,-0.55,-2.252,0
1.552,-0.802,-1.418,0
1.407,-1.048,-0.704,0
1.331,-1.127,-0.384,0
1.158,-1.28,0.02,0
1.001,-1.427,0.301,0
0.866,-1.476,0.633,0
0.816,-1.382,0.836,0
0.754,-1.236,0.96,0
0.754,-1.085,0.811,0
0.827,-0.858,0.359,0
0.865,-0.695,-0.031,0
0.98,-0.494,-0.628,0
1.072,-0.34,-0.851,0
1.244,-0.043,-0.797,0
1.324,0.088,-0.68,0
1.223,0.179,-0.518,0
1.048,0.174,-0.464,0
0.737,0.096,-0.389,0
0.551,0.044,-0.384,0
0.516,0.038,-0.31,0
0.581,0.089,-0.157,0
0.729,0.234,-0.063,0
0.902,0.368,-0.082,0
1.186,0.552,-0.226,0
1.349,0.644,-0.297,0
1.346,0.632,-0.294,0
1.287,0.731,-0.324,0
1.149,0.672,-0.24,0
1.106,0.644,-0.057,0
1.112,0.713,0.089,0
1.071,0.705,0.076,0
0.964,0.604,0.06,0
0.909,0.625,-0.023,0
0.862,0.678,-0.317,0
0.94,0.701,-0.51,0
0.875,0.78,-0.457,0
0.883,0.809,-0.417,1
0.831,0.811,-0.127,1
0.658,0.78,0.129,1
0.436,0.656,0.34,1
0.413,0.514,0.424,1
0.408,0.491,0.431,1
0.656,0.547,0.709,1
0.797,0.524,0.828,1
0.87,0.443,0.873,1
0.895,0.318,0.909,1
0.875,0.236,0.984,1
0.798,0.336,0.976,1
0.564,0.587,0.894,1
0.565,0.552,0.906,1
0.025,0.683,-0.218,1
-0.004,0.883,-0.96,1
0.107,0.937,-1.407,1
0.385,0.663,-1.622,1
0.556,0.287,-1.169,1
0.847,-0.242,0.384,1
0.919,-0.576,2.067,1
0.585,-0.939,4.001,0
0.238,-1.08,4.855,0
0.03,-1.191,5.073,0
0.068,-1.194,4.413,0
0.249,-1.165,2.788,0
0.473,-1.078,1.457,0
0.577,-1.053,0.555,0
0.555,-1.15,0.197,0
0.34,-1.208,0.062,0
0.192,-1.183,-0.105,0
0.376,-1.232,-0.489,0
0.527,-1.15,-0.804,0
0.664,-1.025,-1.187,0
0.695,-0.999,-1.383,0
0.693,-0.982,-1.577,0
0.811,-0.967,-1.59,0
0.722,-1.038,-1.405,0
0.494,-1.114,-1.079,0
0.226,-1.286,-0.496,0
0.055,-1.403,-0.092,0
0.121,-1.396,0.162,0
0.248,-1.251,0.271,0
0.505,-1.057,0.264,0
0.64,-0.915,0.159,0
0.654,-0.746,-0.13,0
0.55,-0.693,-0.403,0
0.503,-0.643,-0.759,0
0.586,-0.558,-0.895,0
0.658,-0.512,-0.795,0
0.685,-0.465,-0.55,0
0.654,-0.405,-0.407,0
0.592,-0.384,-0.29,0
0.441,-0.431,-0.159,0
0.44,-0.401,-0.102,0
0.656,-0.203,-0.215,0
0.93,-0.025,-0.281,0
