accelX,accelY,accelZ,label
-0.806,1.64,0.423,1
-0.838,1.46,0.793,1
-0.302,0.906,1.232,1
0.152,0.166,2.276,1
0.259,-0.628,4.104,1
0.302,-1.437,5.961,1
0.167,-1.629,6.085,1
-0.204,-1.456,4.096,1
-0.524,-1.237,1.8,1
-0.8,-0.933,-0.952,1
-0.683,-0.547,-2.716,1
-0.275,-0.12,-3.38,1
0.012,0.206,-2.792,1
0.02,0.169,-1.256,1
-0.078,-0.017,-0.286,1
-0.011,-0.214,0.391,1
0.015,-0.421,0.597,1
0.016,-0.546,0.255,1
-0.028,-0.504,-0.455,1
-0.01,-0.447,-1.201,1
0.087,-0.306,-1.814,1
0.081,-0.311,-1.813,0
0.384,0.035,-2.253,0
0.348,0.116,-2.371,0
0.184,0.081,-2.407,0
-0.042,0.066,-2.339,0
-0.016,0.16,-2.256,0
-0.122,0.272,-1.961,0
-0.266,0.303,-1.765,0
-0.64,0.279,-1.707,0
-0.794,0.294,-1.636,0
-0.8,0.361,-1.524,0
-0.499,0.48,-1.474,0
-0.107,0.699,-0.866,0
-0.084,0.65,-0.452,0
-0.201,0.515,-0.457,0
-0.338,0.33,-0.395,0
-0.354,0.142,-0.122,0
-0.294,0.022,0.44,0
-0.351,-0.087,1.23,0
-0.488,-0.192,1.709,0
-0.514,-0.038,1.991,0
-0.412,0.093,1.94,0
-0.241,0.251,1.651,0
-0.145,0.321,1.508,0
-0.229,0.272,1.441,0
-0.506,0.195,1.608,0
-0.659,0.219,1.631,0
-0.789,0.382,1.469,0
-0.553,0.395,0.918,0
-0.272,0.348,0.676,1
-0.259,0.324,0.684,1
0.036,0.335,1.148,1
-0.19,0.245,2.002,1
-0.334,0.255,2.374,1
-0.617,0.554,2.05,1
-0.446,0.706,0.935,1
-0.182,0.665,0.341,1
0.096,0.534,-0.41,1
0.293,0.378,-0.345,1
0.139,-0.105,0.538,1
-0.034,-0.645,1.522,1
0.017,-0.831,2.2,1
0.115,-0.832,2.579,1
0.332,-0.627,2.162,1
0.369,-0.564,1.169,1
0.209,-0.542,0.232,1
