accelX,accelY,accelZ,label
-0.242,1.191,0.139,1
-0.328,1.687,0.249,0
-0.508,1.862,0.508,0
-0.504,1.438,0.532,0
-0.599,1.001,0.884,0
-0.718,0.547,1.985,0
-0.668,0.303,2.82,0
-0.648,0.017,3.623,0
-0.747,-0.094,4.105,0
-0.985,-0.165,3.846,0
-0.944,-0.087,2.895,0
-0.587,0.228,1.362,0
-0.307,0.572,0.33,0
-0.188,0.938,-0.734,0
-0.214,0.933,-1.211,0
-0.403,0.67,-1.325,0
-0.54,0.48,-1.152,0
-0.586,0.202,-0.743,0
-0.583,0.221,-0.749,0
-0.706,-0.238,-0.154,0
-0.535,-0.391,-0.093,0
-0.154,-0.329,-0.531,0
0.024,-0.324,-0.983,0
0.011,-0.345,-1.284,0
-0.34,-0.495,-1.346,0
-0.332,-0.49,-1.347,0
-0.809,-0.668,-1.327,0
-0.974,-0.707,-1.207,0
-0.873,-0.629,-1.198,0
-0.685,-0.439,-1.313,0
-0.599,-0.243,-1.154,0
-0.205,0.146,-0.889,0
0.056,0.421,-1.07,0
0.069,0.42,-1.07,0
-0.063,0.547,-2.14,0
-0.382,0.422,-2.391,0
-0.757,0.264,-2.261,0
-1.027,0.18,-1.88,0
-1.07,0.156,-1.472,0
-0.986,0.251,-1.145,0
-0.795,0.44,-1.235,0
-0.576,0.637,-1.429,0
-0.266,0.72,-1.657,0
0.311,0.998,-1.539,0
0.43,1.118,-0.994,0
0.325,1.052,-0.175,0
0.091,0.91,0.71,0
-0.506,0.583,1.59,0
-0.778,0.464,1.525,0
-1.049,0.361,1.202,0
-1.247,0.223,1.097,0
-1.396,0.164,1.302,0
-1.457,0.194,1.667,0
-1.079,0.352,1.923,0
-0.774,0.579,1.799,0
-0.76,0.551,1.809,0
-0.683,1.84,0.61,0
-0.682,1.798,0.625,1
-0.427,1.942,-1.046,0
-0.741,1.868,-1.002,0
-0.954,1.67,-0.293,0
-0.71,1.29,0.959,0
-0.222,0.805,1.942,0
0.102,0.08,3.491,0
-0.1,-0.487,4.924,0
-0.496,-1.181,6.366,0
-0.864,-1.458,6.457,0
-1.415,-1.314,5.21,0
-1.363,-0.899,2.932,0
-0.791,-0.297,-0.415,0
