tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,201,null,null,null,null
1,401,null,null,null,null
2,602,1.911,1.920,10.575,null
3,802,1.911,1.920,10.575,null
4,1002,1.911,1.920,10.575,null
5,1201,2.505,1.920,9.272,null
6,1403,2.505,1.920,9.272,null
7,1603,2.505,1.920,9.272,null
8,1802,2.758,1.866,9.031,null
9,2003,2.758,1.877,9.031,null
10,2204,2.758,1.877,9.031,null
11,2402,2.599,1.833,11.503,null
12,2603,2.534,1.903,11.503,null
13,2802,2.534,1.903,11.503,null
14,3002,2.534,1.751,11.503,null
15,3205,2.784,1.638,10.732,null
16,3404,2.784,1.638,10.732,null
17,3603,2.784,1.638,10.732,null
18,3802,3.070,1.644,10.152,null
19,4003,3.070,1.644,10.152,null
20,4204,3.070,1.644,10.152,null
21,4403,3.070,1.648,9.826,null
22,4604,3.070,1.648,9.826,null
23,4804,3.070,1.648,9.826,null
24,5002,3.246,1.561,9.712,null
25,5203,3.246,1.561,9.712,null
26,5404,3.246,1.561,9.712,null
27,5603,3.246,1.582,9.712,null
28,5804,3.472,1.582,9.373,null
29,6004,3.472,1.582,9.373,null
30,6202,3.472,1.582,9.110,null
31,6404,3.123,1.598,8.905,null
32,6603,3.123,1.598,8.905,null
33,6803,3.123,1.598,8.905,null
34,7002,3.431,1.465,9.216,null
35,7203,3.431,1.465,9.216,null
36,7403,3.431,1.465,9.216,null
37,7602,3.431,1.465,8.988,null
38,7804,3.431,1.465,8.988,null
39,8003,3.431,1.465,8.988,null
40,8202,2.968,1.465,9.044,null
41,8403,2.968,1.465,9.044,null
42,8603,2.968,1.465,9.044,null
43,8802,3.088,1.461,8.623,null
44,9004,3.187,1.500,8.623,null
45,9204,3.187,1.500,8.623,null
46,9402,3.187,1.500,8.301,null
47,9603,3.500,1.532,8.052,null
48,9803,3.500,1.532,8.052,null
49,10002,3.216,1.532,8.052,null
50,10203,3.006,1.558,8.651,null
51,10402,3.006,1.558,8.651,null
52,10602,3.006,1.558,8.651,null
53,10802,3.191,1.451,10.010,null
54,11003,3.191,1.451,10.010,null
55,11202,3.191,1.451,10.010,null
56,11402,3.504,1.491,8.628,null
57,11603,3.504,1.491,8.628,null
58,11803,3.504,1.491,8.628,null
59,12002,3.504,1.569,8.628,null
60,12203,3.293,1.569,8.526,null
61,12402,3.293,1.569,8.526,null
62,12602,3.293,1.569,8.526,null
63,12804,3.433,1.458,9.382,null
64,13002,3.433,1.458,9.382,null
65,13202,3.433,1.458,9.382,null
66,13402,3.631,1.498,9.360,null
67,13602,3.631,1.498,9.360,null
68,13803,3.631,1.498,9.360,null
69,14004,3.631,1.498,9.360,null
70,14202,3.631,1.498,9.360,null
71,14402,3.631,1.498,9.360,null
72,14602,3.631,1.498,9.360,null
73,14803,3.631,1.498,9.360,null
74,15003,3.631,1.498,9.360,null
75,15202,3.797,1.498,9.342,null
76,15402,3.797,1.530,9.342,null
77,15602,3.797,1.530,9.342,null
78,15803,3.356,1.530,9.342,null
79,16003,3.110,1.556,8.397,null
80,16203,3.110,1.556,8.397,null
81,16402,3.110,1.556,8.397,null
82,16602,3.279,1.449,10.029,null
83,16802,3.279,1.449,10.029,null
