rssi,rssiKarman,distance
-66,-66.000,4.507
-69,-66.600,4.791
-66,-66.480,4.733
-69,-66.984,4.982
-66,-66.787,4.883
-81,-69.630,6.522
-79,-71.504,7.894
-71,-71.403,7.813
-66,-70.322,6.999
-80,-72.258,8.524
-72,-72.206,8.479
-71,-71.965,8.274
-66,-70.772,7.327
-66,-69.818,6.648
-74,-70.654,7.240
-75,-71.523,7.910
-68,-70.819,7.362
-66,-69.855,6.674
-66,-69.084,6.170
-79,-71.067,7.551
-79,-72.654,8.875
-69,-71.923,8.238
-70,-71.538,7.922
-66,-70.431,7.077
-79,-72.145,8.426
-69,-71.516,7.903
-66,-70.413,7.064
-66,-69.530,6.456
-76,-70.824,7.366
-69,-70.459,7.097
-66,-69.567,6.481
-69,-69.454,6.407
-78,-71.163,7.625
-70,-70.930,7.446
-66,-69.944,6.735
-66,-69.156,6.215
-70,-69.324,6.323
-69,-69.260,6.281
-67,-68.808,5.999
-66,-68.246,5.665
-77,-69.997,6.771
-69,-69.798,6.635
-66,-69.038,6.141
-66,-68.430,5.772
-75,-69.744,6.599
-69,-69.595,6.500
-66,-68.876,6.041
-66,-68.301,5.697
-78,-70.241,6.941
-69,-69.993,6.768
-67,-69.394,6.368
-75,-70.515,7.138
-69,-70.212,6.921
-68,-69.770,6.616
-78,-71.416,7.824
-75,-72.133,8.416
-69,-71.506,7.896
-68,-70.805,7.352
-66,-69.844,6.666
-75,-70.875,7.404
-79,-72.500,8.737
-67,-71.400,7.811
-67,-70.520,7.141
-66,-69.616,6.513
-82,-72.093,8.382
-79,-73.474,9.648
-67,-72.179,8.456
-81,-73.944,10.120
-80,-75.155,11.449
-69,-73.924,10.100
-69,-72.939,9.136
-66,-71.551,7.932
-66,-70.441,7.084
-75,-71.353,7.773
-67,-70.482,7.114
-67,-69.786,6.627
-67,-69.229,6.261
-78,-70.983,7.486
-67,-70.186,6.903
-67,-69.549,6.469
-70,-69.639,6.529
-67,-69.111,6.187
-76,-70.489,7.119
-79,-72.191,8.466
-69,-71.553,7.934
-67,-70.642,7.231
-74,-71.314,7.743
-77,-72.451,8.693
-68,-71.561,7.940
-68,-70.849,7.385
-75,-71.679,8.036
-68,-70.943,7.456
-66,-69.955,6.742
-75,-70.964,7.471
-68,-70.371,7.034
-66,-69.497,6.435
-66,-68.797,5.992
-68,-68.638,5.896
-68,-68.510,5.820
-66,-68.008,5.530
-76,-69.607,6.507
-67,-69.085,6.171
-66,-68.468,5.795
-66,-67.975,5.511
-67,-67.780,5.402
-66,-67.424,5.210
-76,-69.139,6.204
-68,-68.911,6.062
-68,-68.729,5.951
-67,-68.383,5.745
-75,-69.707,6.574
-67,-69.165,6.221
-67,-68.732,5.953
-77,-70.386,7.044
-68,-69.909,6.710
avg(rssi),avg(rssiKalman),avg(distance)
-70.35652173913043,-70.22056521739131,7.019052173913042
stdev(rssi),stdev(rssiKalman),stdev(distance)
4.795271773316105,1.5928504399370214,1.1562017940576939
