rssi,rssiKarman,distance
-66,-66.000,4.965
-68,-66.400,5.201
-68,-66.720,5.397
-70,-67.376,5.823
-73,-68.501,6.633
-68,-68.401,6.557
-74,-69.521,7.465
-69,-69.416,7.375
-76,-70.733,8.590
-75,-71.587,9.483
-71,-71.469,9.355
-71,-71.375,9.254
-73,-71.700,9.609
-78,-72.960,11.118
-70,-72.368,10.381
-74,-72.695,10.781
-70,-72.156,10.129
-71,-71.925,9.861
-71,-71.740,9.652
-70,-71.392,9.271
-77,-72.513,10.557
-71,-72.211,10.194
-70,-71.769,9.685
-73,-72.015,9.965
-72,-72.012,9.962
-72,-72.009,9.959
-71,-71.808,9.729
-71,-71.646,9.548
-70,-71.317,9.191
-75,-72.053,10.010
-71,-71.843,9.769
-73,-72.074,10.034
-71,-71.859,9.787
-76,-72.688,10.773
-80,-74.150,12.761
-71,-73.520,11.863
-71,-73.016,11.190
-71,-72.613,10.680
-75,-73.090,11.287
-71,-72.672,10.753
-71,-72.338,10.345
-79,-73.670,12.071
-71,-73.136,11.347
-74,-73.309,11.577
-71,-72.847,10.974
-72,-72.678,10.760
-74,-72.942,11.095
-79,-74.154,12.767
-72,-73.723,12.145
-73,-73.578,11.944
-72,-73.263,11.515
-79,-74.410,13.151
-71,-73.728,12.152
-75,-73.983,12.516
-71,-73.386,11.680
-71,-72.909,11.052
-70,-72.327,10.332
-72,-72.262,10.254
-75,-72.809,10.926
-76,-73.447,11.764
-70,-72.758,10.861
-74,-73.006,11.178
-71,-72.605,10.670
-71,-72.284,10.281
-72,-72.227,10.213
-74,-72.582,10.641
-72,-72.465,10.499
-71,-72.172,10.149
-73,-72.338,10.345
-70,-71.870,9.800
-71,-71.696,9.604
-74,-72.157,10.131
-72,-72.126,10.094
-73,-72.300,10.300
-73,-72.440,10.469
-69,-71.752,9.667
-77,-72.802,10.916
-72,-72.641,10.715
-70,-72.113,10.079
-72,-72.091,10.053
-73,-72.272,10.267
-74,-72.618,10.686
-72,-72.494,10.534
-71,-72.195,10.176
-70,-71.756,9.671
-75,-72.405,10.426
-71,-72.124,10.092
-69,-71.499,9.387
-71,-71.399,9.280
-72,-71.520,9.410
-70,-71.216,9.084
-73,-71.573,9.467
-69,-71.058,8.920
-69,-70.646,8.504
-71,-70.717,8.574
-79,-72.374,10.388
-73,-72.499,10.540
-69,-71.799,9.719
-70,-71.439,9.323
-69,-70.951,8.810
-70,-70.761,8.618
-69,-70.409,8.274
-69,-70.127,8.008
-70,-70.102,7.985
-70,-70.081,7.966
-71,-70.265,8.137
-71,-70.412,8.277
-68,-69.930,7.827
-71,-70.144,8.023
-68,-69.715,7.635
-68,-69.372,7.337
-71,-69.698,7.619
-70,-69.758,7.673
-67,-69.206,7.198
-71,-69.565,7.503
-69,-69.452,7.406
-68,-69.162,7.161
-71,-69.529,7.472
-69,-69.423,7.381
-74,-70.339,8.207
avg(rssi),avg(rssiKalman),avg(distance)
-71.76666666666667,-71.62200833333335,9.671616666666665
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.6793448618811455,1.5788759266000671,1.609242555693689
