rssi,rssiKarman,distance
-58,-58.000,1.032
-56,-57.600,0.974
-57,-57.480,0.958
-56,-57.184,0.918
-50,-55.747,0.748
-50,-54.598,0.634
-56,-54.878,0.660
-50,-53.903,0.574
-57,-54.522,0.627
-51,-53.818,0.567
-51,-53.254,0.523
-49,-52.403,0.463
-56,-53.123,0.514
-56,-53.698,0.558
-50,-52.958,0.502
-50,-52.367,0.461
-49,-51.693,0.419
-56,-52.555,0.474
-56,-53.244,0.523
-50,-52.595,0.476
-50,-52.076,0.442
-57,-53.061,0.509
-56,-53.649,0.554
-51,-53.119,0.513
-49,-52.295,0.456
-49,-51.636,0.415
-58,-52.909,0.498
-58,-53.927,0.576
-51,-53.342,0.530
-51,-52.873,0.496
-49,-52.099,0.444
-49,-51.479,0.406
-57,-52.583,0.476
-51,-52.267,0.454
-49,-51.613,0.414
-51,-51.491,0.407
-49,-50.992,0.379
-57,-52.194,0.450
-57,-53.155,0.516
-51,-52.724,0.485
-51,-52.379,0.462
-50,-51.903,0.431
-49,-51.323,0.397
-57,-52.458,0.467
-51,-52.167,0.448
-49,-51.533,0.409
-57,-52.627,0.478
-50,-52.101,0.444
-57,-53.081,0.511
-51,-52.665,0.481
-51,-52.332,0.459
-50,-51.865,0.429
-57,-52.892,0.497
-57,-53.714,0.559
-51,-53.171,0.517
-58,-54.137,0.594
-57,-54.710,0.645
-51,-53.968,0.580
-50,-53.174,0.517
-57,-53.939,0.577
-50,-53.151,0.516
-51,-52.721,0.485
-49,-51.977,0.436
-50,-51.582,0.412
-49,-51.065,0.383
-51,-51.052,0.382
-51,-51.042,0.381
-49,-50.633,0.360
-56,-51.707,0.419
-51,-51.565,0.411
-49,-51.052,0.382
-58,-52.442,0.466
-31,-48.153,0.252
-29,-44.323,0.146
-57,-46.858,0.210
-57,-48.887,0.280
-51,-49.309,0.298
-59,-51.247,0.393
-58,-52.598,0.477
-51,-52.278,0.455
-54,-52.623,0.478
-50,-52.098,0.444
-57,-53.079,0.510
-51,-52.663,0.481
-49,-51.930,0.433
-57,-52.944,0.501
-57,-53.755,0.562
-51,-53.204,0.520
-51,-52.763,0.488
-56,-53.411,0.535
-51,-52.929,0.500
-49,-52.143,0.446
-56,-52.914,0.499
-51,-52.531,0.472
-57,-53.425,0.536
-57,-54.140,0.594
-52,-53.712,0.559
-52,-53.370,0.532
-50,-52.696,0.483
-56,-53.357,0.531
-53,-53.285,0.526
-52,-53.028,0.507
-49,-52.223,0.452
-57,-53.178,0.518
-52,-52.942,0.501
-49,-52.154,0.447
-51,-51.923,0.433
-57,-52.939,0.500
-51,-52.551,0.473
-57,-53.441,0.538
-57,-54.153,0.595
-51,-53.522,0.544
-51,-53.018,0.506
-49,-52.214,0.451
-57,-53.171,0.517
-57,-53.937,0.577
-51,-53.350,0.531
-57,-54.080,0.589
-51,-53.464,0.539
-49,-52.571,0.475
-49,-51.857,0.429
-57,-52.885,0.497
-56,-53.508,0.543
-51,-53.007,0.505
-49,-52.205,0.450
-56,-52.964,0.502
-56,-53.571,0.548
-56,-54.057,0.587
-50,-53.246,0.523
-49,-52.397,0.463
-56,-53.117,0.513
-56,-53.694,0.557
-51,-53.155,0.516
-51,-52.724,0.485
-56,-53.379,0.533
-49,-52.503,0.470
-49,-51.803,0.425
-56,-52.642,0.480
-51,-52.314,0.458
-52,-52.251,0.453
-50,-51.801,0.425
-56,-52.641,0.479
-51,-52.313,0.457
-49,-51.650,0.416
-57,-52.720,0.485
-51,-52.376,0.462
-51,-52.101,0.444
-49,-51.481,0.406
-50,-51.185,0.389
-57,-52.348,0.460
-56,-53.078,0.510
-49,-52.262,0.454
-49,-51.610,0.414
-56,-52.488,0.469
-50,-51.990,0.437
-49,-51.392,0.401
-60,-53.114,0.513
-54,-53.291,0.526
avg(rssi),avg(rssiKalman),avg(distance)
-52.55696202531646,-52.67617721518987,0.4928987341772151
stdev(rssi),stdev(rssiKalman),stdev(distance)
4.180263559745686,1.510943897788949,0.10811440201216638
