rssi,rssiKarman,distance
-63,-63.000,1.428
-65,-63.400,1.507
-69,-64.520,1.752
-64,-64.416,1.728
-65,-64.533,1.755
-68,-65.226,1.927
-63,-64.781,1.815
-66,-65.025,1.876
-66,-65.220,1.926
-68,-65.776,2.076
-68,-66.221,2.204
-64,-65.777,2.076
-65,-65.621,2.033
-67,-65.897,2.110
-67,-66.118,2.173
-67,-66.294,2.226
-66,-66.235,2.208
-67,-66.388,2.254
-66,-66.311,2.231
-66,-66.248,2.212
-66,-66.199,2.197
-65,-65.959,2.127
-68,-66.367,2.248
-67,-66.494,2.286
-64,-65.995,2.138
-66,-65.996,2.138
-67,-66.197,2.197
-67,-66.357,2.245
-67,-66.486,2.284
-67,-66.589,2.316
-66,-66.471,2.279
-66,-66.377,2.251
-68,-66.701,2.351
-67,-66.761,2.370
-65,-66.409,2.260
-65,-66.127,2.176
-67,-66.302,2.228
-67,-66.441,2.270
-65,-66.153,2.184
-65,-65.922,2.117
-67,-66.138,2.179
-67,-66.310,2.231
-65,-66.048,2.153
-65,-65.839,2.093
-66,-65.871,2.102
-65,-65.697,2.054
-66,-65.757,2.070
-66,-65.806,2.084
-65,-65.645,2.039
-68,-66.116,2.173
-67,-66.293,2.225
-65,-66.034,2.149
-66,-66.027,2.147
-67,-66.222,2.204
-67,-66.377,2.251
-65,-66.102,2.169
-65,-65.882,2.105
-67,-66.105,2.170
-64,-65.684,2.050
-66,-65.747,2.068
-67,-65.998,2.139
-67,-66.198,2.197
-64,-65.759,2.071
-68,-66.207,2.200
-67,-66.366,2.247
-67,-66.492,2.286
-65,-66.194,2.196
-64,-65.755,2.070
-66,-65.804,2.083
-68,-66.243,2.210
-64,-65.795,2.081
-66,-65.836,2.092
-67,-66.069,2.159
-66,-66.055,2.155
-66,-66.044,2.152
-67,-66.235,2.208
-66,-66.188,2.194
-65,-65.950,2.125
-67,-66.160,2.186
-67,-66.328,2.236
-66,-66.263,2.216
-68,-66.610,2.322
-64,-66.088,2.165
-67,-66.270,2.219
-67,-66.416,2.263
-66,-66.333,2.237
-65,-66.066,2.158
-67,-66.253,2.213
-67,-66.403,2.258
-67,-66.522,2.295
-67,-66.618,2.325
-65,-66.294,2.226
-66,-66.235,2.208
-67,-66.388,2.254
-65,-66.111,2.171
-67,-66.288,2.224
-67,-66.431,2.267
-64,-65.945,2.123
-65,-65.756,2.070
-67,-66.005,2.141
-66,-66.004,2.140
-67,-66.203,2.198
-65,-65.962,2.128
-67,-66.170,2.189
-67,-66.336,2.238
-67,-66.469,2.279
-67,-66.575,2.312
-66,-66.460,2.276
-67,-66.568,2.309
-66,-66.454,2.274
-66,-66.364,2.247
-64,-65.891,2.108
-67,-66.113,2.172
-67,-66.290,2.224
-67,-66.432,2.267
-64,-65.946,2.124
-65,-65.757,2.070
-67,-66.005,2.141
-65,-65.804,2.084
-67,-66.043,2.152
-67,-66.235,2.208
-64,-65.788,2.079
-66,-65.830,2.091
-67,-66.064,2.158
-67,-66.251,2.213
-65,-66.001,2.140
-66,-66.001,2.139
-64,-65.601,2.027
-67,-65.881,2.105
-67,-66.104,2.170
-67,-66.284,2.223
-65,-66.027,2.147
-64,-65.621,2.033
-66,-65.697,2.054
-67,-65.958,2.127
-66,-65.966,2.129
-66,-65.973,2.131
-67,-66.178,2.191
-66,-66.143,2.181
-66,-66.114,2.172
-67,-66.291,2.225
-64,-65.833,2.092
-64,-65.466,1.991
-66,-65.573,2.020
-67,-65.859,2.099
-67,-66.087,2.164
-65,-65.869,2.102
-65,-65.696,2.053
-67,-65.956,2.127
-67,-66.165,2.187
-66,-66.132,2.178
-68,-66.506,2.290
avg(rssi),avg(rssiKalman),avg(distance)
-66.11184210526316,-66.0195855263158,2.149440789473683
stdev(rssi),stdev(rssiKalman),stdev(distance)
1.195107031681481,0.5011021988954759,0.1322279099824394
