rssi,rssiKarman,distance
-73,-73.000,8.816
-65,-71.400,7.013
-67,-70.520,6.184
-62,-68.816,4.846
-62,-67.453,3.988
-68,-67.562,4.051
-67,-67.450,3.986
-62,-66.360,3.411
-62,-65.488,3.011
-68,-65.990,3.235
-62,-65.192,2.886
-62,-64.554,2.634
-68,-65.243,2.907
-67,-65.594,3.057
-62,-64.876,2.758
-62,-64.300,2.541
-61,-63.640,2.312
-68,-64.512,2.619
-61,-63.810,2.368
-61,-63.248,2.186
-60,-62.598,1.992
-67,-63.479,2.259
-62,-63.183,2.165
-61,-62.746,2.034
-67,-63.597,2.297
-61,-63.078,2.133
-62,-62.862,2.068
-67,-63.690,2.328
-67,-64.352,2.559
-61,-63.681,2.325
-60,-62.945,2.093
-68,-63.956,2.419
-61,-63.365,2.222
-61,-62.892,2.077
-69,-64.114,2.474
-61,-63.491,2.263
-62,-63.193,2.168
-60,-62.554,1.979
-66,-63.243,2.184
-62,-62.995,2.108
-62,-62.796,2.049
-62,-62.637,2.003
-67,-63.509,2.269
-61,-63.007,2.112
-61,-62.606,1.994
-67,-63.485,2.261
-67,-64.188,2.500
-61,-63.550,2.282
-60,-62.840,2.062
-61,-62.472,1.956
-67,-63.378,2.226
-62,-63.102,2.140
-62,-62.882,2.074
-61,-62.505,1.965
-61,-62.204,1.883
-67,-63.163,2.159
-61,-62.731,2.030
-60,-62.185,1.877
-67,-63.148,2.154
-62,-62.918,2.085
-62,-62.735,2.031
-60,-62.188,1.878
-66,-62.950,2.094
-61,-62.560,1.981
-61,-62.248,1.894
-67,-63.198,2.170
-62,-62.959,2.097
-61,-62.567,1.983
-68,-63.654,2.316
-66,-64.123,2.477
-61,-63.498,2.265
-61,-62.999,2.109
-60,-62.399,1.936
-67,-63.319,2.208
-61,-62.855,2.066
-61,-62.484,1.959
-62,-62.387,1.932
-61,-62.110,1.857
-60,-61.688,1.749
-61,-61.550,1.714
-66,-62.440,1.947
-62,-62.352,1.923
-62,-62.282,1.903
-61,-62.025,1.835
-60,-61.620,1.732
-67,-62.696,2.020
-61,-62.357,1.924
-61,-62.086,1.851
-61,-61.868,1.794
-61,-61.695,1.750
-61,-61.556,1.716
-67,-62.645,2.005
-67,-63.516,2.271
-61,-63.013,2.113
-61,-62.610,1.995
-60,-62.088,1.851
-67,-63.070,2.131
-61,-62.656,2.008
-61,-62.325,1.915
-61,-62.060,1.844
-67,-63.048,2.124
-67,-63.838,2.378
-61,-63.271,2.193
-61,-62.817,2.055
-60,-62.253,1.896
-67,-63.203,2.171
-67,-63.962,2.421
-61,-63.370,2.224
-61,-62.896,2.078
-61,-62.517,1.969
-67,-63.413,2.238
-67,-64.131,2.480
-61,-63.504,2.267
-60,-62.804,2.051
-60,-62.243,1.893
-65,-62.794,2.048
-62,-62.635,2.002
-62,-62.508,1.966
-69,-63.807,2.367
-62,-63.445,2.248
-69,-64.556,2.635
-69,-65.445,2.992
-63,-64.956,2.790
-63,-64.565,2.638
-63,-64.252,2.523
-63,-64.001,2.434
-69,-65.001,2.808
-61,-64.201,2.505
-62,-63.761,2.352
-65,-64.009,2.437
-61,-63.407,2.236
-61,-62.926,2.087
-62,-62.740,2.033
-69,-63.992,2.431
-67,-64.594,2.649
-60,-63.675,2.323
-69,-64.740,2.705
-62,-64.192,2.502
-68,-64.954,2.789
-61,-64.163,2.491
-64,-64.130,2.480
-62,-63.704,2.333
-61,-63.163,2.159
-64,-63.331,2.212
-61,-62.865,2.069
-72,-64.692,2.687
-72,-66.153,3.311
-61,-65.123,2.858
-61,-64.298,2.540
-61,-63.639,2.311
-70,-64.911,2.772
-62,-64.329,2.551
-62,-63.863,2.386
-61,-63.290,2.199
-67,-64.032,2.445
-60,-63.226,2.179
-61,-62.781,2.044
-61,-62.425,1.943
-67,-63.340,2.214
-62,-63.072,2.131
-67,-63.857,2.385
-67,-64.486,2.609
-61,-63.789,2.361
-60,-63.031,2.119
-60,-62.425,1.943
-66,-63.140,2.152
-62,-62.912,2.083
-66,-63.529,2.275
-41,-59.024,1.194
-67,-60.619,1.501
-68,-62.095,1.853
-62,-62.076,1.848
-60,-61.661,1.742
-68,-62.929,2.088
-69,-64.143,2.484
-62,-63.714,2.336
-61,-63.171,2.162
-67,-63.937,2.412
-61,-63.350,2.218
-66,-63.880,2.392
avg(rssi),avg(rssiKalman),avg(distance)
-63.333333333333336,-63.536016666666626,2.3538388888888884
stdev(rssi),stdev(rssiKalman),stdev(distance)
3.5761556018843588,1.6055213534515478,0.7969425335750302
