rssi,rssiKarman,distance
-76,-76.000,5.455
-75,-75.800,5.297
-64,-73.440,3.746
-64,-71.552,2.840
-72,-71.642,2.877
-71,-71.513,2.824
-63,-69.811,2.199
-63,-68.448,1.801
-69,-68.559,1.830
-72,-69.247,2.025
-60,-67.398,1.543
-63,-66.518,1.357
-71,-67.414,1.547
-63,-66.532,1.359
-63,-65.825,1.225
-71,-66.860,1.426
-64,-66.288,1.312
-75,-68.031,1.694
-75,-69.424,2.078
-60,-67.540,1.576
-63,-66.632,1.379
-77,-68.705,1.870
-73,-69.564,2.121
-67,-69.051,1.967
-67,-68.641,1.852
-73,-69.513,2.105
-70,-69.610,2.136
-60,-67.688,1.611
-73,-68.751,1.883
-72,-69.400,2.071
-64,-68.320,1.767
-73,-69.256,2.028
-59,-67.205,1.500
-64,-66.564,1.366
-64,-66.051,1.267
-73,-67.441,1.553
-60,-65.953,1.249
-65,-65.762,1.214
-64,-65.410,1.153
-71,-66.528,1.359
-60,-65.222,1.122
-64,-64.978,1.082
-71,-66.182,1.291
-60,-64.946,1.077
-63,-64.557,1.017
-63,-64.245,0.972
-71,-65.596,1.185
-60,-64.477,1.005
-59,-63.382,0.856
-65,-63.705,0.898
-70,-64.964,1.080
-68,-65.571,1.181
-60,-64.457,1.003
-69,-65.366,1.146
-64,-65.093,1.100
-64,-64.874,1.066
-69,-65.699,1.203
-69,-66.359,1.325
-60,-65.088,1.100
-65,-65.070,1.097
-67,-65.456,1.161
-60,-64.365,0.989
-65,-64.492,1.008
-65,-64.593,1.023
-68,-65.275,1.130
-68,-65.820,1.224
-64,-65.456,1.161
-65,-65.365,1.145
-69,-66.092,1.274
-69,-66.673,1.388
-64,-66.139,1.283
-64,-65.711,1.205
-69,-66.369,1.327
-64,-65.895,1.238
-64,-65.516,1.171
-72,-66.813,1.417
-59,-65.250,1.126
-63,-64.800,1.054
-66,-65.040,1.092
-62,-64.432,0.999
-64,-64.346,0.986
-60,-63.477,0.868
-59,-62.581,0.761
-62,-62.465,0.748
-66,-63.172,0.830
-60,-62.538,0.756
-63,-62.630,0.767
-63,-62.704,0.775
-59,-61.963,0.695
-62,-61.971,0.696
-68,-63.176,0.831
-60,-62.541,0.757
-63,-62.633,0.767
-69,-63.906,0.925
-60,-63.125,0.825
-63,-63.100,0.821
-68,-64.080,0.949
-69,-65.064,1.096
-59,-63.851,0.917
-63,-63.681,0.895
-60,-62.945,0.803
-63,-62.956,0.804
-68,-63.965,0.933
-68,-64.772,1.050
-64,-64.617,1.026
-77,-67.094,1.476
-77,-69.075,1.974
-60,-67.260,1.513
-62,-66.208,1.296
-62,-65.366,1.146
-73,-66.893,1.433
-60,-65.515,1.171
-63,-65.012,1.088
-68,-65.609,1.187
-71,-66.687,1.391
-63,-65.950,1.248
-70,-66.760,1.406
-61,-65.608,1.187
-61,-64.686,1.037
-63,-64.349,0.987
avg(rssi),avg(rssiKalman),avg(distance)
-65.675,-66.06334166666663,1.3791999999999995
stdev(rssi),stdev(rssiKalman),stdev(distance)
4.780450641240147,2.5452214720132353,0.715709689748574
