rssi,rssiKarman,distance
-66,-66,1.995
-62,-62,1.259
-61,-61,1.122
-67,-62,1.259
-61,-62,1.259
-62,-62,1.259
-67,-63,1.413
-67,-64,1.585
-60,-63,1.413
-60,-62,1.259
-62,-62,1.259
-68,-63,1.413
-62,-63,1.413
-62,-63,1.413
-66,-63,1.413
-66,-64,1.585
-61,-63,1.413
-61,-62,1.259
-62,-62,1.259
-63,-62,1.259
-67,-63,1.413
-66,-64,1.585
-60,-63,1.413
-62,-63,1.413
-65,-63,1.413
-61,-62,1.259
-63,-62,1.259
-65,-63,1.413
-62,-63,1.413
-61,-62,1.259
-63,-62,1.259
-65,-63,1.413
-67,-63,1.413
-62,-63,1.413
-62,-63,1.413
-63,-63,1.413
-67,-63,1.413
-62,-63,1.413
-66,-64,1.585
-61,-63,1.413
-62,-63,1.413
-61,-62,1.259
-62,-62,1.259
-66,-63,1.413
-67,-64,1.585
-62,-63,1.413
-62,-63,1.413
-66,-63,1.413
-66,-64,1.585
-61,-63,1.413
-62,-63,1.413
-66,-63,1.413
-62,-63,1.413
-67,-64,1.585
-62,-63,1.413
-62,-63,1.413
-62,-63,1.413
-67,-63,1.413
-61,-63,1.413
-61,-62,1.259
-62,-62,1.259
-67,-63,1.413
-61,-63,1.413
-62,-62,1.259
-66,-63,1.413
-67,-64,1.585
-62,-63,1.413
-62,-63,1.413
-62,-63,1.413
-65,-63,1.413
-66,-63,1.413
-61,-63,1.413
-61,-62,1.259
-62,-62,1.259
-66,-63,1.413
-60,-62,1.259
-62,-62,1.259
-61,-62,1.259
-65,-62,1.259
-61,-62,1.259
-61,-62,1.259
-66,-62,1.259
-68,-63,1.413
-61,-63,1.413
-62,-63,1.413
-67,-63,1.413
-62,-63,1.413
-62,-63,1.413
-62,-62,1.259
-67,-63,1.413
-60,-63,1.413
-62,-62,1.259
-68,-63,1.413
-61,-63,1.413
-62,-63,1.413
-68,-64,1.585
-61,-63,1.413
-62,-63,1.413
-61,-62,1.259
-68,-63,1.413
-67,-64,1.585
-61,-63,1.413
-62,-63,1.413
-62,-63,1.413
-65,-63,1.413
-67,-64,1.585
-60,-63,1.413
-61,-62,1.259
-62,-62,1.259
-62,-62,1.259
-64,-62,1.259
-66,-63,1.413
-60,-62,1.259
-60,-62,1.259
avg(rssi),avg(rssiKalman),avg(distance)
-63.280701754385966,-62.78947368421053,1.3835175438596483
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.4938829441494907,0.6942582083301522,0.11484216724018897
