rssi,rssiKarman,distance
-59,-59,2.209
-59,-59.000,2.209
-56,-58.400,2.078
-60,-58.720,2.147
-58,-58.576,2.116
-60,-58.861,2.178
-58,-58.689,2.140
-64,-59.751,2.385
-60,-59.801,2.397
-58,-59.441,2.311
-63,-60.152,2.485
-57,-59.522,2.330
-57,-59.018,2.213
-60,-59.214,2.258
-57,-58.771,2.159
-61,-59.217,2.259
-62,-59.774,2.390
-57,-59.219,2.259
-64,-60.175,2.490
-64,-60.940,2.692
-64,-61.552,2.865
-57,-60.642,2.611
-61,-60.713,2.631
-57,-59.971,2.439
-64,-60.777,2.648
-64,-61.421,2.827
-58,-60.737,2.637
-60,-60.590,2.598
-59,-60.272,2.515
-59,-60.017,2.451
-59,-59.814,2.400
-58,-59.451,2.313
-59,-59.361,2.292
-59,-59.289,2.275
-58,-59.031,2.216
-58,-58.825,2.170
-57,-58.460,2.091
-60,-58.768,2.158
-58,-58.614,2.124
-58,-58.491,2.098
-61,-58.993,2.208
-58,-58.795,2.164
-60,-59.036,2.217
-59,-59.028,2.216
-58,-58.823,2.170
-60,-59.058,2.223
-59,-59.047,2.220
-59,-59.037,2.218
-57,-58.630,2.128
-60,-58.904,2.188
-60,-59.123,2.237
-59,-59.098,2.232
-59,-59.079,2.227
-58,-58.863,2.179
-59,-58.890,2.185
-59,-58.912,2.190
-58,-58.730,2.149
-57,-58.384,2.075
-60,-58.707,2.144
-59,-58.766,2.157
-60,-59.013,2.212
-59,-59.010,2.212
-59,-59.008,2.211
-58,-58.806,2.166
-60,-59.045,2.220
-60,-59.236,2.263
-58,-58.989,2.207
-58,-58.791,2.163
-60,-59.033,2.217
-58,-58.826,2.171
-60,-59.061,2.223
-62,-59.649,2.360
-62,-60.119,2.476
-58,-59.695,2.371
-59,-59.556,2.338
-60,-59.645,2.359
-59,-59.516,2.329
-60,-59.613,2.352
-60,-59.690,2.370
-60,-59.752,2.385
-59,-59.602,2.349
-60,-59.681,2.368
-58,-59.345,2.288
-60,-59.476,2.319
-60,-59.581,2.344
-59,-59.465,2.316
-60,-59.572,2.342
-60,-59.657,2.362
-58,-59.326,2.284
-59,-59.261,2.269
-60,-59.409,2.303
-58,-59.127,2.238
-59,-59.101,2.232
-60,-59.281,2.274
-59,-59.225,2.261
-60,-59.380,2.297
-59,-59.304,2.279
-59,-59.243,2.265
-59,-59.195,2.254
-60,-59.356,2.291
-60,-59.485,2.321
-58,-59.188,2.252
-60,-59.350,2.290
-59,-59.280,2.273
-60,-59.424,2.307
-58,-59.139,2.241
-59,-59.111,2.235
-60,-59.289,2.275
-58,-59.031,2.216
-59,-59.025,2.215
-60,-59.220,2.259
-60,-59.376,2.296
-58,-59.101,2.232
-58,-58.881,2.183
-59,-58.905,2.188
-60,-59.124,2.237
-60,-59.299,2.278
-58,-59.039,2.218
-59,-59.031,2.216
-60,-59.225,2.261
-58,-58.980,2.205
-59,-58.984,2.206
-58,-58.787,2.162
-58,-58.630,2.128
-60,-58.904,2.188
-60,-59.123,2.237
-60,-59.298,2.278
-58,-59.039,2.218
-58,-58.831,2.172
-60,-59.065,2.224
-60,-59.252,2.267
-59,-59.201,2.255
-60,-59.361,2.292
-60,-59.489,2.322
-58,-59.191,2.253
-60,-59.353,2.290
-58,-59.082,2.228
-58,-58.866,2.179
-60,-59.093,2.230
-60,-59.274,2.272
-58,-59.019,2.214
-58,-58.815,2.168
-59,-58.852,2.176
-60,-59.082,2.228
-60,-59.266,2.270
-60,-59.412,2.304
-58,-59.130,2.239
-60,-59.304,2.279
-60,-59.443,2.311
-60,-59.555,2.338
-58,-59.244,2.265
-60,-59.395,2.300
-60,-59.516,2.329
-60,-59.613,2.352
-58,-59.290,2.276
-60,-59.432,2.309
-60,-59.546,2.336
-57,-59.037,2.218
-57,-58.629,2.128
-58,-58.503,2.100
-58,-58.403,2.079
-59,-58.522,2.104
-60,-58.818,2.169
-58,-58.654,2.133
-58,-58.523,2.105
-62,-59.219,2.259
-62,-59.775,2.391
-60,-59.820,2.402
-58,-59.456,2.314
-58,-59.165,2.247
-61,-59.532,2.332
-61,-59.825,2.403
-58,-59.460,2.315
-58,-59.168,2.248
-59,-59.135,2.240
-60,-59.308,2.280
-59,-59.246,2.265
-60,-59.397,2.301
-60,-59.518,2.329
-58,-59.214,2.258
-59,-59.171,2.248
-60,-59.337,2.287
-59,-59.270,2.271
-60,-59.416,2.305
-60,-59.533,2.333
-58,-59.226,2.261
-58,-58.981,2.205
-60,-59.185,2.251
-59,-59.148,2.243
-60,-59.318,2.282
-58,-59.055,2.222
-58,-58.844,2.174
-58,-58.675,2.137
-60,-58.940,2.196
-61,-59.352,2.290
-58,-59.082,2.228
-61,-59.465,2.317
-58,-59.172,2.248
-58,-58.938,2.195
-60,-59.150,2.243
-58,-58.920,2.191
-61,-59.336,2.286
-58,-59.069,2.225
-58,-58.855,2.177
-58,-58.684,2.139
-58,-58.547,2.110
-60,-58.838,2.173
-59,-58.870,2.180
-58,-58.696,2.142
-60,-58.957,2.200
-61,-59.366,2.293
-61,-59.692,2.371
-57,-59.154,2.244
-57,-58.723,2.148
-60,-58.979,2.205
avg(rssi),avg(rssiKalman),avg(distance)
-59.23720930232558,-59.23763255813952,2.266344186046512
stdev(rssi),stdev(rssiKalman),stdev(distance)
1.4255187967590823,0.48615857290572884,0.11721116960491196
