tick,time,Beacon #1,Beacon #2,Beacon #3
0,203,6.117,42.354,null
1,403,6.117,16.937,3.938
2,602,6.117,16.937,3.938
3,802,6.117,13.537,3.938
4,1005,6.117,13.537,1.966
5,1203,6.117,13.537,1.966
6,1404,6.117,13.537,1.966
7,1605,6.117,10.014,1.966
8,1804,6.117,10.014,1.966
9,2004,6.117,10.014,1.966
10,2203,6.503,9.646,2.207
11,2404,6.503,9.646,2.207
12,2603,6.503,9.646,2.207
13,2803,6.691,8.806,2.107
14,3003,6.845,8.806,2.107
15,3204,6.845,8.806,2.107
16,3403,6.831,8.806,2.078
17,3603,6.831,7.099,2.078
18,3805,6.831,7.099,2.078
19,4003,6.831,7.099,2.307
20,4203,6.682,9.022,2.509
21,4403,6.682,9.022,2.509
22,4603,7.268,9.022,2.509
23,4803,7.935,8.179,2.204
24,5003,7.935,8.179,2.204
25,5203,7.935,8.179,2.204
26,5402,8.007,5.494,2.154
27,5603,8.007,5.494,2.154
28,5803,8.007,5.494,2.154
29,6002,7.138,6.216,2.677
30,6203,7.138,6.860,2.677
31,6404,7.138,6.860,2.677
32,6603,6.781,6.569,2.677
33,6803,6.781,6.346,2.459
34,7003,6.781,6.346,2.459
35,7203,6.781,6.346,2.459
36,7403,6.509,5.352,2.351
37,7603,6.509,5.352,2.351
38,7804,6.509,5.352,2.351
39,8003,5.915,7.615,2.547
40,8204,5.915,7.615,2.547
41,8404,5.915,7.615,2.547
42,8604,6.460,6.784,2.363
43,8803,6.460,6.784,2.363
44,9004,6.460,6.784,2.363
45,9210,6.390,5.762,2.278
46,9404,6.335,5.762,2.278
47,9604,6.335,5.762,2.278
48,9803,6.335,5.762,2.541
49,10003,6.040,6.327,2.541
50,10203,6.040,6.327,2.541
51,10403,6.307,6.327,2.541
52,10604,7.378,6.327,2.171
53,10804,7.378,6.327,2.171
54,11003,7.378,6.327,2.171
55,11204,7.301,5.449,2.178
56,11404,7.301,5.449,2.178
57,11603,7.301,5.449,2.178
58,11803,6.766,6.174,2.696
59,12003,6.766,6.824,2.696
60,12203,6.766,6.824,2.696
61,12403,8.893,6.542,2.416
62,12604,8.893,6.542,2.416
63,12803,8.893,6.542,2.416
64,13004,8.893,6.542,2.416
65,13204,8.085,5.829,2.319
66,13404,8.085,5.829,2.319
67,13603,8.085,8.321,2.319
68,13803,7.492,9.790,2.461
69,14003,7.492,9.790,2.461
70,14203,7.492,9.790,2.461
71,14404,8.468,8.383,2.246
72,14604,8.468,8.383,2.246
73,14805,8.468,8.383,2.246
74,15003,8.435,6.687,2.246
75,15203,8.435,6.687,2.246
76,15403,8.435,6.687,2.246
77,15603,8.239,6.569,2.456
78,15803,8.085,6.569,2.456
79,16003,8.085,6.569,2.456
80,16203,8.085,6.569,2.243
81,16403,8.466,6.218,2.243
82,16603,8.466,6.218,2.243
83,16803,8.784,6.218,2.243
84,17003,8.784,5.266,2.134
85,17203,8.784,5.266,2.134
86,17404,8.784,5.266,2.134
87,17603,9.263,5.266,2.357
88,17804,9.263,5.266,2.357
89,18003,9.263,5.266,2.357
90,18203,9.831,5.209,2.079
91,18402,9.831,5.209,2.079
92,18604,9.831,5.209,2.079
93,18803,9.900,4.665,2.079
94,19004,9.900,4.665,2.079
95,19204,9.900,4.665,2.079
96,19403,10.160,5.565,2.255
97,19604,10.160,6.279,2.407
98,19803,10.160,6.279,2.407
99,20003,10.160,6.279,2.407
100,20203,9.758,5.997,2.207
101,20403,9.758,5.997,2.207
102,20604,9.758,5.997,2.207
103,20803,10.676,5.221,2.156
104,21003,10.676,5.221,2.156
105,21204,10.676,5.221,2.156
106,21403,10.676,5.389,2.377
107,21603,10.676,5.389,2.377
108,21803,10.676,5.389,2.377
109,22003,10.575,5.389,2.135
110,22203,10.710,5.416,2.135
111,22404,10.710,5.416,2.135
112,22602,10.710,4.812,2.052
113,22803,10.179,4.378,2.052
114,23003,10.179,4.378,2.052
115,23203,10.179,4.378,2.052
