rssi,rssiKarman,distance
-64,-64,3.938
-62,-62.000,3.124
-64,-62.400,3.272
-65,-62.920,3.475
-61,-62.536,3.324
-41,-58.229,2.018
-41,-54.783,1.354
-42,-52.226,1.007
-43,-50.381,0.813
-62,-52.705,1.065
-64,-54.964,1.383
-64,-56.771,1.705
-64,-58.217,2.016
-64,-59.374,2.305
-61,-59.699,2.393
-64,-60.559,2.644
-64,-61.247,2.863
-41,-57.198,1.791
-62,-58.158,2.002
-64,-59.327,2.292
-65,-60.461,2.614
-61,-60.569,2.647
-64,-61.255,2.866
-62,-61.404,2.916
-64,-61.923,3.096
-64,-62.339,3.249
-64,-62.671,3.377
-62,-62.537,3.324
-64,-62.829,3.439
-64,-63.064,3.534
-65,-63.451,3.696
-61,-62.961,3.492
-61,-62.569,3.337
-63,-62.655,3.370
-60,-62.124,3.169
-64,-62.499,3.310
-61,-62.199,3.197
-65,-62.759,3.411
-64,-63.008,3.511
-65,-63.406,3.677
-65,-63.725,3.815
-61,-63.180,3.582
-64,-63.344,3.650
-43,-59.275,2.279
-64,-60.220,2.542
-64,-60.976,2.775
-61,-60.981,2.776
-65,-61.785,3.047
-65,-62.428,3.283
-61,-62.142,3.176
-60,-61.714,3.022
-65,-62.371,3.261
-61,-62.097,3.159
-65,-62.677,3.379
-61,-62.342,3.250
-65,-62.874,3.457
-65,-63.299,3.631
-62,-63.039,3.524
-62,-62.831,3.440
-65,-63.265,3.617
-65,-63.612,3.765
-62,-63.290,3.627
-65,-63.632,3.774
-65,-63.905,3.895
-66,-64.324,4.089
-62,-63.859,3.875
-64,-63.888,3.887
-64,-63.910,3.898
-66,-64.328,4.091
-67,-64.862,4.352
-62,-64.290,4.073
-65,-64.432,4.140
-66,-64.746,4.294
-62,-64.196,4.029
-65,-64.357,4.105
-67,-64.886,4.364
-63,-64.509,4.177
-65,-64.607,4.225
-65,-64.685,4.264
-66,-64.948,4.396
-63,-64.559,4.202
-65,-64.647,4.245
-67,-65.118,4.483
-63,-64.694,4.268
-65,-64.755,4.298
-67,-65.204,4.528
-66,-65.363,4.612
-67,-65.691,4.790
-63,-65.153,4.501
-62,-64.522,4.184
-62,-64.018,3.946
-66,-64.414,4.132
-66,-64.731,4.287
-61,-63.985,3.932
-41,-59.388,2.309
-44,-56.310,1.616
-61,-57.248,1.802
-65,-58.799,2.156
-65,-60.039,2.489
-62,-60.431,2.605
-65,-61.345,2.896
-61,-61.276,2.873
-64,-61.821,3.060
-65,-62.457,3.294
-61,-62.165,3.184
-61,-61.932,3.100
-64,-62.346,3.252
-65,-62.877,3.458
-64,-63.101,3.549
-64,-63.281,3.624
-67,-64.025,3.950
-68,-64.820,4.331
-68,-65.456,4.662
-64,-65.165,4.507
-67,-65.532,4.703
-69,-66.225,5.096
-64,-65.780,4.840
-67,-66.024,4.979
-68,-66.419,5.212
-68,-66.736,5.407
-64,-66.188,5.075
-65,-65.951,4.937
-67,-66.161,5.058
-68,-66.528,5.278
-64,-66.023,4.978
-68,-66.418,5.212
-63,-65.735,4.815
-68,-66.188,5.074
-65,-65.950,4.936
-65,-65.760,4.829
-67,-66.008,4.970
-67,-66.206,5.085
-67,-66.365,5.180
-64,-65.892,4.903
-65,-65.714,4.803
-68,-66.171,5.064
-68,-66.537,5.284
-63,-65.829,4.868
-67,-66.064,5.002
-68,-66.451,5.231
-63,-65.761,4.829
-67,-66.009,4.970
-65,-65.807,4.855
-68,-66.245,5.108
-68,-66.596,5.320
-63,-65.877,4.895
-63,-65.302,4.579
-67,-65.641,4.763
-68,-66.113,5.031
-68,-66.490,5.255
-64,-65.992,4.961
-67,-66.194,5.078
-66,-66.155,5.055
-60,-64.924,4.383
-62,-64.339,4.096
-65,-64.471,4.159
-65,-64.577,4.211
-61,-63.862,3.876
-64,-63.889,3.888
-68,-64.711,4.277
-65,-64.769,4.305
-64,-64.615,4.229
-62,-64.092,3.981
-66,-64.474,4.161
-65,-64.579,4.212
-65,-64.663,4.253
-64,-64.531,4.188
-64,-64.424,4.137
-65,-64.540,4.192
-65,-64.632,4.237
-63,-64.305,4.080
-64,-64.244,4.051
-66,-64.595,4.220
-66,-64.876,4.359
-63,-64.501,4.174
-65,-64.601,4.222
-64,-64.481,4.164
-65,-64.585,4.214
-65,-64.668,4.255
-64,-64.534,4.190
-65,-64.627,4.235
-63,-64.302,4.079
-64,-64.241,4.050
-65,-64.393,4.122
-63,-64.115,3.991
-65,-64.292,4.074
-63,-64.033,3.954
-65,-64.227,4.043
-65,-64.381,4.116
-65,-64.505,4.176
-63,-64.204,4.033
-65,-64.363,4.108
-63,-64.091,3.980
-65,-64.272,4.065
-65,-64.418,4.134
-63,-64.134,4.000
-65,-64.308,4.081
-65,-64.446,4.147
-63,-64.157,4.011
-65,-64.325,4.090
-65,-64.460,4.154
-63,-64.168,4.016
-64,-64.135,4.000
-66,-64.508,4.177
-64,-64.406,4.128
-64,-64.325,4.089
-65,-64.460,4.154
-65,-64.568,4.206
-63,-64.254,4.056
-65,-64.403,4.127
-65,-64.523,4.184
-44,-60.418,2.601
-43,-56.935,1.737
-66,-58.748,2.143
-63,-59.598,2.365
-65,-60.679,2.681
-66,-61.743,3.032
-64,-62.194,3.195
-64,-62.555,3.332
-65,-63.044,3.526
-65,-63.435,3.689
-65,-63.748,3.825
-63,-63.599,3.760
-65,-63.879,3.884
-64,-63.903,3.894
-66,-64.323,4.088
-62,-63.858,3.874
-65,-64.086,3.978
-68,-64.869,4.356
-64,-64.695,4.269
-68,-65.356,4.608
-71,-66.485,5.252
-71,-67.388,5.831
avg(rssi),avg(rssiKalman),avg(distance)
-63.54077253218884,-63.448261802575104,3.837158798283262
stdev(rssi),stdev(rssiKalman),stdev(distance)
4.915536663554413,2.5953387806594788,0.916574611093696
