tick,time,Beacon #1,Beacon #2,Beacon #3
0,202,null,null,null
1,402,0.937,2.939,5.493
2,602,0.937,2.939,5.493
3,803,0.937,2.939,5.493
4,1003,1.024,2.649,7.591
5,1202,1.024,2.649,7.591
6,1403,1.024,2.649,7.591
7,1602,1.024,3.601,7.925
8,1803,1.024,3.601,8.894
9,2003,1.024,3.601,8.894
10,2202,1.024,3.458,8.077
11,2403,1.067,3.458,8.077
12,2603,1.067,3.458,8.077
13,2802,1.067,3.458,8.077
14,3002,1.135,3.458,10.615
15,3202,1.135,3.458,10.615
16,3403,1.135,3.458,10.615
17,3602,1.061,3.619,12.182
18,3803,1.061,3.619,12.182
19,4002,1.061,3.619,12.182
20,4204,1.039,3.358,9.843
21,4404,1.039,3.358,9.843
22,4602,1.039,3.358,9.843
23,4802,1.111,2.914,11.164
24,5003,1.111,2.914,11.164
25,5203,1.111,2.914,11.164
26,5402,1.013,2.914,11.388
27,5603,0.969,3.413,11.388
28,5802,0.969,3.413,11.388
29,6003,0.991,3.312,11.388
30,6203,1.009,3.234,9.326
31,6403,1.009,3.234,9.326
32,6603,1.009,3.234,9.326
33,6802,1.086,3.012,11.424
34,7003,1.086,3.012,11.424
35,7203,1.086,3.012,11.424
36,7402,1.024,3.620,11.600
37,7602,1.024,3.620,11.600
38,7803,1.024,3.620,11.600
39,8002,1.006,3.472,9.723
40,8203,1.006,3.472,8.219
41,8403,1.006,3.472,8.219
42,8603,1.116,3.188,9.928
43,8803,1.116,3.188,9.928
44,9002,1.116,3.188,9.928
45,9202,1.116,3.188,10.367
46,9401,1.016,3.481,11.327
47,9603,1.016,3.481,11.327
48,9803,1.016,3.481,11.327
49,10002,1.016,3.481,11.327
50,10203,1.016,3.481,11.327
51,10403,1.016,3.481,11.327
52,10602,1.092,3.194,11.215
53,10802,1.092,3.194,11.215
54,11002,1.092,3.194,11.215
55,11202,1.092,3.194,12.050
56,11402,1.092,3.194,12.050
57,11603,1.092,3.194,12.050
58,11802,1.059,3.142,12.050
59,12002,1.059,3.142,9.498
60,12203,1.059,3.142,9.498
61,12402,1.064,3.142,9.498
62,12602,1.064,2.943,10.007
63,12802,1.064,2.943,10.007
64,13003,1.064,2.943,10.007
65,13203,1.008,3.475,10.433
66,13402,1.008,3.475,10.433
67,13603,1.008,3.475,10.433
68,13802,1.011,3.204,8.696
69,14002,1.011,3.204,8.696
70,14203,1.011,3.204,8.696
71,14402,1.088,3.068,9.579
72,14603,1.088,3.068,9.579
73,14803,1.088,3.068,9.579
74,15003,1.088,3.289,10.075
75,15202,1.025,3.289,10.075
76,15403,1.025,3.289,10.075
77,15601,1.025,3.289,8.456
78,15805,1.037,3.133,8.456
79,16002,1.037,3.133,8.456
80,16202,1.037,3.133,8.456
81,16402,1.110,2.937,9.886
82,16602,1.110,2.937,9.886
83,16801,1.110,2.937,9.886
84,17001,1.012,3.176,9.790
85,17201,1.012,3.176,9.790
86,17401,1.012,3.176,9.790
87,17601,1.026,3.047,8.264
88,17801,1.026,3.047,8.264
89,18002,1.026,3.047,8.264
90,18202,1.101,2.871,8.264
91,18401,1.101,2.871,9.197
92,18603,1.101,2.871,9.197
93,18803,1.101,2.871,9.197
94,19002,1.005,2.871,9.493
95,19201,1.005,2.871,9.493
96,19401,1.005,2.871,9.493
97,19602,0.991,2.821,8.509
98,19802,0.991,2.821,8.509
99,20003,0.991,2.821,8.509
100,20202,1.070,2.700,9.672
101,20403,1.070,2.700,9.672
102,20603,1.070,2.700,9.672
103,20802,0.983,2.893,10.153
104,21002,0.946,3.138,10.153
105,21202,0.946,3.138,10.153
106,21402,0.972,3.097,8.979
107,21603,0.972,2.986,8.979
108,21803,0.972,2.986,8.979
109,22001,0.972,2.986,10.097
110,22203,1.054,2.900,10.795
111,22403,1.054,2.900,10.795
112,22602,1.054,2.900,10.795
113,22802,0.971,3.144,11.633
114,23003,0.971,3.144,11.633
115,23202,0.971,3.144,11.633
116,23402,0.993,3.102,10.012
117,23603,0.993,3.102,10.012
118,23802,0.993,3.102,10.012
119,24002,1.072,2.990,12.216
120,24203,1.072,2.990,12.216
121,24403,1.072,2.990,12.216
122,24601,0.984,3.307,12.216
123,24802,0.919,3.307,12.572
124,25003,0.919,3.307,12.572
125,25202,0.950,3.307,10.371
126,25402,0.950,3.230,8.890
127,25602,0.950,3.230,8.890
128,25802,0.950,3.230,8.890
129,26002,1.035,2.903,10.017
130,26203,1.035,2.903,10.017
131,26402,1.035,2.903,10.017
132,26602,0.985,3.229,10.017
133,26802,0.985,3.229,10.017
134,27002,0.985,3.229,10.017
135,27202,0.975,3.169,8.647
136,27402,0.975,3.122,8.647
137,27603,0.975,3.122,8.647
138,27801,0.975,2.928,9.796
139,28002,1.057,2.928,9.796
140,28203,1.057,2.928,9.796
141,28402,1.057,3.168,9.796
142,28603,0.973,3.374,10.642
143,28802,0.973,3.374,10.642
144,29002,0.973,3.374,10.642
145,29204,0.995,3.211,8.834
146,29402,0.995,3.211,8.834
147,29602,0.995,3.211,8.834
148,29802,1.042,2.994,9.192
149,30002,1.042,2.994,9.192
150,30203,1.042,2.994,9.192
151,30402,0.991,3.495,10.014
152,30603,0.991,3.495,10.014
153,30802,0.991,3.495,10.014
154,31002,1.009,3.495,8.645
155,31203,1.024,3.290,7.686
156,31402,1.024,3.290,7.686
157,31601,1.036,3.290,8.678
158,31803,1.046,3.053,9.825
159,32002,1.046,3.053,9.825
160,32202,1.046,3.053,9.825
161,32402,0.965,4.596,10.008
162,32602,0.965,4.596,10.008
163,32802,0.965,4.596,10.008
164,33001,0.983,4.427,8.641
165,33202,0.983,4.427,8.641
166,33402,0.983,4.427,8.641
167,33603,1.003,3.872,9.791
168,33802,1.003,3.478,9.791
169,34003,1.003,3.478,9.791
170,34202,0.933,3.732,10.253
171,34403,0.881,3.732,10.253
172,34603,0.881,3.732,10.253
173,34802,0.881,3.558,10.253
174,35003,0.892,3.425,8.575
175,35203,0.892,3.425,8.575
176,35402,0.928,3.425,8.575
177,35602,0.986,3.153,9.221
178,35802,0.986,3.153,9.221
179,36003,0.986,3.153,9.221
180,36202,0.986,3.153,10.238
181,36403,0.986,3.153,10.238
182,36603,0.986,3.153,10.238
183,36802,0.976,3.155,8.799
184,37003,0.976,3.155,8.799
185,37203,0.976,3.155,8.799
186,37401,1.027,3.155,9.934
187,37603,1.027,3.031,10.947
188,37802,1.027,3.031,10.947
189,38002,1.027,3.031,11.210
190,38203,0.951,3.092,11.426
191,38402,0.951,3.092,11.426
192,38602,0.951,3.092,11.426
193,38802,0.976,2.982,9.607
194,39002,0.976,2.982,9.607
195,39202,0.976,2.982,9.607
196,39402,1.063,2.823,11.580
197,39603,1.063,2.823,11.580
198,39803,1.063,2.823,11.580
199,40002,1.063,2.823,11.726
200,40202,1.007,2.823,11.726
201,40402,1.007,2.823,11.726
202,40602,0.992,2.921,10.076
203,40803,1.010,2.921,8.925
204,41002,1.010,2.921,8.925
205,41202,1.025,2.921,8.925
206,41402,1.037,2.665,10.322
207,41602,1.037,2.665,10.322
208,41802,1.037,2.665,10.322
209,42002,0.987,3.347,10.988
210,42203,0.987,3.347,10.988
211,42402,0.987,3.347,10.988
212,42602,1.006,3.112,9.311
213,42803,1.006,3.112,9.311
214,43003,1.006,3.112,9.311
215,43202,1.052,2.776,9.587
216,43404,1.052,2.776,9.587
217,43602,1.052,2.776,9.587
218,43802,0.998,2.776,10.082
219,44002,0.929,3.116,10.496
220,44203,0.929,3.116,10.496
221,44402,0.931,3.080,10.496
222,44603,0.931,3.051,10.496
223,44802,0.931,3.051,10.496
224,45003,0.931,3.051,10.496
225,45202,1.120,2.875,12.255
226,45403,1.120,2.875,12.255
227,45602,1.120,2.875,12.255
228,45802,1.019,2.875,12.282
229,46002,1.019,2.875,12.282
230,46204,1.019,2.875,12.282
231,46402,1.002,2.888,10.178
232,46603,1.002,2.888,8.525
233,46803,1.002,2.888,8.525
234,47002,1.080,2.751,9.429
235,47203,1.081,2.751,10.499
236,47402,1.081,2.751,10.499
237,47602,1.081,2.751,10.499
238,47802,1.020,4.119,11.138
239,48002,1.020,4.119,11.138
240,48202,1.020,4.119,9.670
241,48403,1.033,3.850,8.406
242,48603,1.033,3.850,8.406
243,48802,1.033,3.850,8.406
244,49002,1.109,3.463,9.075
245,49203,1.109,3.181,9.075
246,49403,1.109,3.181,9.075
247,49601,0.939,3.386,9.197
248,49803,0.939,3.558,9.197
249,50003,0.939,3.558,9.197
250,50201,0.939,3.337,9.197
251,50402,0.939,3.253,8.523
252,50602,0.939,3.253,8.523
253,50801,0.967,3.026,8.523
254,51002,1.049,2.856,8.695
255,51202,1.049,2.856,8.695
256,51402,1.049,2.856,8.695
257,51603,0.996,2.856,9.324
258,51802,0.996,2.856,9.324
259,52003,0.996,2.856,9.324
260,52202,1.013,2.872,7.948
261,52402,1.013,2.872,7.948
262,52602,1.013,2.872,7.948
263,52802,1.058,2.739,7.948
264,53003,1.058,2.739,7.948
265,53203,1.058,2.739,7.948
266,53402,1.058,2.739,7.948
267,53603,0.974,2.739,7.948
268,53803,0.974,2.739,7.948
269,54002,0.974,2.739,7.948
270,54203,0.995,2.739,7.948
271,54403,0.995,2.739,7.948
272,54603,0.995,2.739,7.948
273,54801,0.995,2.739,7.948
274,55002,0.995,2.739,7.948
275,55202,0.995,2.739,7.948
276,55401,0.955,2.739,8.677
277,55603,0.955,2.739,8.677
278,55803,0.955,2.739,8.677
279,56003,0.955,2.739,8.677
280,56203,0.955,2.739,8.677
281,56403,0.955,2.739,8.677
282,56603,0.955,2.739,8.677
283,56803,0.955,2.739,10.368
284,57003,0.955,2.739,10.368
285,57203,0.955,2.739,10.368
286,57402,0.955,3.164,10.734
287,57602,0.955,3.164,10.734
288,57802,0.955,3.164,10.734
289,58003,0.955,3.118,8.895
290,58203,0.955,3.118,8.895
291,58402,0.955,3.118,8.895
292,58602,0.980,3.081,8.078
293,58803,0.980,3.081,8.078
294,59003,0.980,3.081,8.078
295,59202,1.030,3.081,8.791
296,59402,1.104,3.081,8.791
297,59603,1.104,3.081,8.791
298,59802,1.007,4.752,9.406
299,60003,0.936,4.752,9.406
300,60203,0.936,4.752,9.406
301,60402,0.936,4.316,8.222
302,60602,0.964,3.894,8.222
303,60802,0.964,3.894,8.222
304,61002,0.964,3.894,8.222
305,61203,1.017,3.494,9.160
306,61403,1.017,3.494,9.160
307,61603,1.017,3.494,9.160
308,61802,0.972,3.960,9.976
309,62003,0.972,3.960,9.976
310,62202,0.972,3.960,9.976
311,62402,0.993,3.557,7.463
312,62606,0.993,3.557,7.463
313,62802,0.993,3.557,7.463
