rssi,rssiKarman,distance
-76,-76.000,5.455
-65,-73.800,3.950
-66,-72.240,3.141
-70,-71.792,2.942
-66,-70.634,2.482
-66,-69.707,2.166
-68,-69.366,2.060
-71,-69.692,2.162
-66,-68.954,1.940
-66,-68.363,1.778
-67,-68.091,1.709
-67,-67.872,1.655
-43,-62.898,0.797
-69,-64.118,0.954
-73,-65.895,1.238
-70,-66.716,1.397
-66,-66.573,1.367
-66,-66.458,1.345
-65,-66.166,1.288
-70,-66.933,1.442
-69,-67.347,1.532
-66,-67.077,1.473
-67,-67.062,1.469
-68,-67.249,1.510
-69,-67.600,1.590
-65,-67.080,1.473
-68,-67.264,1.513
-72,-68.211,1.739
-66,-67.769,1.630
-66,-67.415,1.547
-68,-67.532,1.574
-71,-68.226,1.743
-70,-68.580,1.836
-66,-68.064,1.702
-66,-67.652,1.602
-70,-68.121,1.716
-66,-67.697,1.613
-66,-67.358,1.534
-78,-69.486,2.097
-65,-68.589,1.838
-66,-68.071,1.704
-66,-67.657,1.603
-70,-68.125,1.717
-70,-68.500,1.815
-67,-68.200,1.736
-68,-68.160,1.726
-67,-67.928,1.668
-65,-67.343,1.531
-68,-67.474,1.561
-70,-67.979,1.681
-66,-67.583,1.586
-64,-66.867,1.428
-68,-67.093,1.476
-69,-67.475,1.561
-66,-67.180,1.495
-68,-67.344,1.531
-78,-69.475,2.094
-66,-68.780,1.891
-69,-68.824,1.903
-69,-68.859,1.913
-67,-68.487,1.811
-70,-68.790,1.893
-69,-68.832,1.905
-66,-68.266,1.753
-67,-68.012,1.689
-69,-68.210,1.739
-66,-67.768,1.630
-67,-67.614,1.593
-69,-67.891,1.660
-68,-67.913,1.665
-69,-68.131,1.719
-67,-67.904,1.663
-69,-68.124,1.717
-69,-68.299,1.762
-66,-67.839,1.647
-67,-67.671,1.607
-67,-67.537,1.575
-69,-67.830,1.645
-69,-68.064,1.702
-67,-67.851,1.650
-67,-67.681,1.609
-69,-67.945,1.672
-66,-67.556,1.580
-68,-67.645,1.600
-69,-67.916,1.665
