tick,time,Beacon #1,Beacon #2,Beacon #3
0,202,0.810,null,null
1,401,0.834,2.939,null
2,602,0.834,2.939,null
3,802,0.834,2.939,null
4,1002,0.716,2.649,2.801
5,1202,0.716,2.649,2.801
6,1401,0.716,2.649,2.801
7,1603,0.716,2.776,2.611
8,1802,0.716,2.776,2.611
9,2004,0.716,2.776,2.611
10,2201,0.712,2.808,2.509
11,2402,0.753,2.833,2.509
12,2603,0.753,2.833,2.509
13,2803,0.699,2.640,2.565
14,3002,0.699,2.640,2.474
15,3202,0.699,2.640,2.474
16,3402,0.834,2.640,2.474
17,3602,0.834,2.697,2.474
18,3803,0.834,2.697,2.474
19,4002,0.829,2.697,2.468
20,4202,0.850,2.744,2.468
21,4402,0.850,2.744,2.468
22,4604,0.850,2.744,2.468
23,4803,0.793,2.444,2.464
24,5003,0.793,2.444,2.464
25,5203,0.793,2.444,2.464
26,5402,0.950,2.612,2.342
27,5603,0.950,2.612,2.342
28,5804,0.950,2.612,2.342
29,6002,0.950,2.612,2.363
30,6203,0.950,2.674,2.363
31,6402,0.950,2.674,2.363
32,6602,0.868,2.674,2.363
33,6802,0.868,2.520,2.379
34,7001,0.868,2.520,2.379
35,7203,0.868,2.520,2.379
36,7402,1.162,2.599,2.329
37,7602,1.162,2.599,2.329
38,7803,1.162,2.599,2.329
39,8001,1.020,2.664,2.353
40,8203,1.020,2.664,2.353
41,8403,1.020,2.664,2.353
42,8602,0.919,2.513,2.438
43,8803,0.845,2.513,2.438
44,9004,0.845,2.513,2.438
45,9202,1.028,2.661,2.375
46,9403,1.028,2.661,2.326
47,9603,1.028,2.661,2.326
48,9803,0.952,2.715,2.326
49,10003,0.922,2.758,2.326
50,10203,0.922,2.758,2.326
51,10402,0.922,2.758,2.350
52,10602,0.847,2.452,2.369
53,10803,0.847,2.452,2.369
54,11002,0.847,2.452,2.369
55,11202,1.206,2.609,2.321
56,11402,1.206,2.609,2.321
57,11603,1.206,2.609,2.321
58,11802,1.045,2.672,2.410
59,12003,1.045,2.672,2.410
60,12203,1.045,2.672,2.410
61,12402,1.045,2.672,2.418
62,12603,1.045,2.519,2.418
63,12802,1.045,2.519,2.418
64,13002,1.219,2.519,2.359
65,13203,1.380,2.598,2.359
66,13403,1.380,2.598,2.359
67,13603,1.380,2.598,2.359
68,13802,1.240,2.663,2.391
69,14002,1.240,2.663,2.391
70,14202,1.240,2.663,2.391
71,14402,1.074,2.512,2.402
72,14603,1.074,2.512,2.402
73,14803,1.074,2.512,2.402
74,15002,1.246,2.592,2.405
75,15203,1.246,2.658,2.405
76,15403,1.246,2.658,2.405
77,15602,1.143,2.712,2.350
78,15803,1.143,2.712,2.369
79,16003,1.143,2.712,2.369
80,16203,1.143,2.712,2.369
81,16403,1.143,2.549,2.384
82,16603,1.143,2.549,2.384
83,16802,1.143,2.549,2.384
84,17003,1.461,2.683,2.333
85,17202,1.461,2.683,2.333
86,17403,1.461,2.683,2.333
87,17602,1.181,2.732,2.356
88,17803,1.181,2.732,2.356
89,18003,1.181,2.732,2.356
90,18202,0.928,2.437,2.374
91,18403,0.928,2.437,2.374
92,18603,0.928,2.437,2.374
93,18802,1.109,2.530,2.325
94,19004,1.279,2.530,2.325
95,19203,1.279,2.530,2.325
96,19401,1.133,2.530,2.325
97,19602,1.133,2.607,2.349
98,19802,1.133,2.607,2.349
99,20002,1.133,2.607,2.349
100,20202,1.133,2.470,2.433
101,20403,1.133,2.470,2.433
102,20602,1.133,2.470,2.433
103,20803,1.301,2.557,2.371
104,21002,1.301,2.557,2.371
105,21205,1.301,2.557,2.371
106,21402,1.149,2.630,2.371
107,21602,1.149,2.689,2.452
108,21803,1.149,2.689,2.452
109,22002,1.010,2.598,2.451
110,22203,1.010,2.598,2.451
111,22402,1.010,2.598,2.451
112,22602,1.010,2.595,2.385
113,22802,1.153,2.592,2.272
114,23003,1.153,2.592,2.272
115,23202,1.153,2.592,2.306
116,23402,0.963,2.592,2.334
117,23603,0.963,2.592,2.334
118,23803,0.963,2.592,2.334
119,24002,0.877,2.356,2.420
120,24203,0.877,2.356,2.420
121,24402,0.877,2.356,2.420
122,24601,1.029,2.528,2.315
123,24803,1.029,2.528,2.315
124,25003,1.029,2.528,2.315
