rssi,rssiKarman,distance
-66,-66.000,3.240
-69,-66.600,3.530
-71,-67.480,4.003
-67,-67.384,3.949
-67,-67.307,3.906
-67,-67.246,3.871
-69,-67.597,4.071
-72,-68.477,4.617
-67,-68.182,4.426
-66,-67.745,4.158
-69,-67.996,4.310
-67,-67.797,4.189
-65,-67.238,3.867
-70,-67.790,4.185
-67,-67.632,4.091
-69,-67.906,4.255
-67,-67.725,4.146
-67,-67.580,4.061
-67,-67.464,3.994
-68,-67.571,4.056
-68,-67.657,4.106
-67,-67.525,4.029
-70,-68.020,4.325
-67,-67.816,4.201
-65,-67.253,3.875
-65,-66.802,3.634
-71,-67.642,4.097
-67,-67.514,4.023
-44,-62.811,2.053
-49,-60.049,1.383
-67,-61.439,1.687
-66,-62.351,1.922
-70,-63.881,2.393
-71,-65.305,2.933
-68,-65.844,3.168
-65,-65.675,3.093
-71,-66.740,3.601
-66,-66.592,3.526
-67,-66.674,3.567
-66,-66.539,3.499
-70,-67.231,3.863
-66,-66.985,3.730
-66,-66.788,3.626
-71,-67.630,4.090
-66,-67.304,3.904
-66,-67.043,3.761
-66,-66.835,3.650
-65,-66.468,3.464
-66,-66.374,3.418
-67,-66.499,3.479
-71,-67.400,3.958
-67,-67.320,3.913
-66,-67.056,3.768
-70,-67.645,4.099
-66,-67.316,3.910
-66,-67.053,3.766
-66,-66.842,3.654
-70,-67.474,4.000
-71,-68.179,4.424
-66,-67.743,4.157
-66,-67.394,3.955
-70,-67.916,4.261
-66,-67.532,4.033
-66,-67.226,3.861
-70,-67.781,4.179
-70,-68.225,4.453
-66,-67.780,4.179
-67,-67.624,4.087
-66,-67.299,3.901
-70,-67.839,4.214
-66,-67.471,3.998
-69,-67.777,4.177
-66,-67.422,3.970
-67,-67.337,3.922
-70,-67.870,4.233
-65,-67.296,3.899
-66,-67.037,3.757
-66,-66.829,3.648
-70,-67.463,3.994
-66,-67.171,3.830
-66,-66.937,3.704
-71,-67.749,4.161
-66,-67.399,3.957
-66,-67.120,3.802
-67,-67.096,3.789
-70,-67.677,4.117
-66,-67.341,3.925
-67,-67.273,3.887
-66,-67.018,3.748
-66,-66.815,3.640
-70,-67.452,3.987
-70,-67.961,4.289
-66,-67.569,4.055
-66,-67.255,3.877
-66,-67.004,3.740
-70,-67.603,4.075
-66,-67.283,3.892
-66,-67.026,3.752
-70,-67.621,4.085
-67,-67.497,4.013
-70,-67.997,4.311
-67,-67.798,4.190
-69,-68.038,4.336
-66,-67.631,4.091
-70,-68.105,4.377
-66,-67.684,4.122
-66,-67.347,3.928
-66,-67.078,3.779
-66,-66.862,3.665
-69,-67.290,3.896
-67,-67.232,3.864
-66,-66.985,3.730
-66,-66.788,3.626
-67,-66.831,3.648
-67,-66.865,3.666
-65,-66.492,3.476
avg(rssi),avg(rssiKalman),avg(distance)
-67.10344827586206,-67.08654310344828,3.831250000000001
stdev(rssi),stdev(rssiKalman),stdev(distance)
3.3202080074660816,1.208894353732749,0.5052909519481716
