tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,202,13.693,47.754,3.256,null
1,1224,13.576,47.754,3.020,2.434
2,1688,12.410,47.754,2.489,2.027
3,2155,12.410,47.754,2.498,2.102
4,2614,12.549,32.625,2.443,2.227
5,3064,12.549,32.009,2.443,2.227
6,3512,12.549,32.009,2.283,2.267
7,3953,12.660,30.848,2.273,2.366
8,4397,13.310,30.848,2.273,2.366
9,4836,13.310,27.826,2.323,2.313
10,5266,13.310,27.826,2.138,2.206
11,5692,12.178,34.098,2.157,2.315
12,6119,13.470,34.098,2.228,2.315
13,6560,13.987,28.746,2.286,2.273
14,6998,13.987,28.746,2.031,2.273
15,7427,13.987,28.746,2.031,2.176
16,7861,13.987,30.337,2.102,2.225
17,8293,13.205,26.180,2.249,2.246
18,8729,13.205,23.268,2.249,2.246
19,9162,13.188,23.268,2.083,2.086
20,9587,17.051,28.740,2.166,2.086
21,10010,17.051,28.740,2.166,2.086
22,10433,16.336,22.477,2.292,2.155
23,10869,16.336,22.477,2.169,2.085
24,11297,16.336,22.477,2.169,2.085
25,11728,21.849,26.133,2.128,2.213
26,12163,21.849,23.235,2.204,2.130
27,12589,21.849,23.235,2.204,2.130
28,12994,21.849,23.235,2.204,2.066
29,13394,20.596,26.836,2.155,2.197
30,13800,20.596,26.836,2.155,2.197
31,14201,20.596,23.733,2.171,2.118
32,14608,20.509,23.733,2.026,2.116
33,15012,20.509,23.733,1.965,2.116
34,15419,20.509,27.295,1.965,2.239
35,15831,17.966,27.295,1.965,2.239
36,16237,17.612,21.747,2.153,2.204
37,16645,16.393,21.747,1.955,2.061
38,17056,16.393,21.747,1.955,2.061
39,17461,20.293,21.747,2.059,2.130
40,17861,17.814,21.747,2.146,2.188
41,18260,17.814,21.747,2.146,2.188
42,18673,17.814,21.747,2.007,2.111
43,19081,16.757,21.747,2.007,2.235
44,19488,16.757,25.452,2.000,2.235
45,19891,15.956,22.749,2.097,2.273
46,20291,15.956,22.749,2.097,2.176
47,20695,16.017,22.749,1.970,2.163
48,21097,15.389,26.386,2.021,2.279
49,21497,15.389,26.386,2.021,2.279
50,21900,14.278,23.415,2.192,2.166
51,22304,14.278,23.415,2.093,2.155
52,22714,14.278,23.415,2.093,2.155
53,23121,14.038,28.319,2.154,2.155
54,23527,13.266,28.319,2.154,2.146
55,23932,13.236,28.319,2.225,2.138
56,24339,13.212,28.319,2.066,2.072
57,24736,13.212,28.319,2.066,2.072
58,25142,17.056,28.319,2.047,2.140
59,25549,16.184,24.777,2.083,2.141
60,25954,16.184,24.777,2.083,2.141
61,26357,16.200,24.777,1.960,2.141
62,26764,15.530,29.629,2.012,2.260
63,27161,15.530,32.597,2.012,2.361
64,27572,14.382,24.363,2.107,2.308
