rssi,rssiKarman,distance
-85,-85.000,27.422
-77,-83.400,22.439
-75,-81.720,18.178
-73,-79.976,14.609
-75,-78.981,12.896
-74,-77.985,11.382
-70,-76.388,9.317
-77,-76.510,9.461
-69,-75.008,7.838
-80,-76.007,8.882
-69,-74.605,7.452
-79,-75.484,8.319
-74,-75.187,8.016
-78,-75.750,8.601
-70,-74.600,7.447
-78,-75.280,8.109
-70,-74.224,7.104
-77,-74.779,7.616
-78,-75.423,8.256
-70,-74.339,7.207
-69,-73.271,6.304
-77,-74.017,6.922
-73,-73.813,6.748
-73,-73.651,6.611
-69,-72.721,5.884
-69,-71.976,5.360
-78,-73.181,6.233
-73,-73.145,6.205
-73,-73.116,6.183
-68,-72.093,5.439
-78,-73.274,6.307
-73,-73.219,6.263
-68,-72.175,5.495
-79,-73.540,6.521
-73,-73.432,6.433
-74,-73.546,6.525
-68,-72.437,5.678
-73,-72.549,5.759
-68,-71.639,5.138
-68,-70.912,4.690
-78,-72.329,5.602
-72,-72.263,5.556
-69,-71.611,5.120
-78,-72.889,6.009
-73,-72.911,6.026
-76,-73.529,6.511
-71,-73.023,6.111
-70,-72.418,5.665
-74,-72.735,5.894
-75,-73.188,6.239
-77,-73.950,6.864
-68,-72.760,5.913
-79,-74.008,6.914
-74,-74.007,6.913
-69,-73.005,6.097
-79,-74.204,7.086
-69,-73.163,6.220
-68,-72.131,5.464
-79,-73.505,6.491
-74,-73.604,6.572
-76,-74.083,6.979
-69,-73.066,6.144
-74,-73.253,6.290
-74,-73.402,6.409
-74,-73.522,6.505
-79,-74.618,7.463
-74,-74.494,7.348
-69,-73.395,6.403
-79,-74.516,7.369
-74,-74.413,7.274
-69,-73.330,6.351
-69,-72.464,5.698
-69,-71.771,5.224
-74,-72.217,5.524
-69,-71.574,5.096
-69,-71.059,4.778
-80,-72.847,5.978
-74,-73.078,6.153
-69,-72.262,5.555
-79,-73.610,6.577
-74,-73.688,6.642
-76,-74.150,7.039
-69,-73.120,6.186
-79,-74.296,7.168
-76,-74.637,7.481
-69,-73.510,6.495
-68,-72.408,5.657
-79,-73.726,6.674
-74,-73.781,6.720
-69,-72.825,5.961
-69,-72.060,5.416
-79,-73.448,6.445
-74,-73.558,6.535
-74,-73.647,6.608
-69,-72.717,5.881
-74,-72.974,6.074
-69,-72.179,5.498
-79,-73.543,6.523
-74,-73.635,6.598
-69,-72.708,5.874
-69,-71.966,5.353
-79,-73.373,6.385
-74,-73.498,6.486
-69,-72.599,5.795
-79,-73.879,6.803
-74,-73.903,6.824
-69,-72.923,6.035
-67,-71.738,5.202
-79,-73.190,6.241
-74,-73.352,6.369
-74,-73.482,6.473
-69,-72.585,5.785
-69,-71.868,5.288
-79,-73.295,6.323
-68,-72.236,5.537
-77,-73.189,6.239
-68,-72.151,5.478
-76,-72.921,6.033
-73,-72.937,6.045
-72,-72.749,5.905
-74,-72.999,6.093
-73,-73.000,6.093
-72,-72.800,5.942
-70,-72.240,5.540
-73,-72.392,5.646
avg(rssi),avg(rssiKalman),avg(distance)
-73.28,-73.68347999999996,6.936175999999998
stdev(rssi),stdev(rssiKalman),stdev(distance)
3.9549462701786497,2.0393200537434053,2.866896426630025
