rssi,rssiKarman,distance
-61,-61.000,0.339
-60,-60.800,0.325
-64,-61.440,0.373
-64,-61.952,0.416
-60,-61.562,0.383
-60,-61.249,0.358
-64,-61.799,0.403
-60,-61.440,0.373
-60,-61.152,0.351
-60,-60.921,0.334
-60,-60.737,0.321
-64,-61.390,0.369
-60,-61.112,0.348
-64,-61.689,0.393
-65,-62.351,0.454
-60,-61.881,0.410
-60,-61.505,0.378
-64,-62.004,0.421
-64,-62.403,0.459
-60,-61.923,0.414
-60,-61.538,0.381
-64,-62.030,0.423
-60,-61.624,0.388
-60,-61.299,0.362
-59,-60.840,0.328
-59,-60.472,0.303
-60,-60.377,0.297
-64,-61.102,0.347
-66,-62.081,0.428
-59,-61.465,0.375
-59,-60.972,0.337
-60,-60.778,0.323
-64,-61.422,0.371
-59,-60.938,0.335
-60,-60.750,0.322
-66,-61.800,0.403
-60,-61.440,0.373
-60,-61.152,0.351
-60,-60.922,0.334
-59,-60.537,0.307
-65,-61.430,0.372
-60,-61.144,0.350
-60,-60.915,0.333
-66,-61.932,0.415
-60,-61.546,0.381
-60,-61.237,0.357
-60,-60.989,0.338
-60,-60.791,0.324
-64,-61.433,0.372
-59,-60.946,0.335
-60,-60.757,0.322
-60,-60.606,0.312
-64,-61.285,0.361
-60,-61.028,0.341
-60,-60.822,0.327
-64,-61.458,0.374
-60,-61.166,0.352
-59,-60.733,0.320
-64,-61.386,0.369
-66,-62.309,0.450
-60,-61.847,0.407
-60,-61.478,0.376
-59,-60.982,0.338
-60,-60.786,0.324
-64,-61.429,0.372
-60,-61.143,0.350
-64,-61.714,0.396
-60,-61.371,0.367
-60,-61.097,0.346
-64,-61.678,0.392
-60,-61.342,0.365
-60,-61.074,0.345
-59,-60.659,0.315
-60,-60.527,0.306
-64,-61.222,0.356
-65,-61.977,0.419
-60,-61.582,0.384
-59,-61.066,0.344
-60,-60.852,0.329
-64,-61.482,0.376
-60,-61.186,0.353
-60,-60.948,0.336
-64,-61.559,0.383
-60,-61.247,0.358
-59,-60.798,0.325
-60,-60.638,0.314
-64,-61.310,0.363
-66,-62.248,0.444
-60,-61.799,0.403
-60,-61.439,0.373
-60,-61.151,0.350
-64,-61.721,0.396
-64,-62.177,0.437
-59,-61.541,0.381
-64,-62.033,0.424
-60,-61.626,0.388
-60,-61.301,0.362
-60,-61.041,0.342
-64,-61.633,0.389
-66,-62.506,0.469
-60,-62.005,0.421
-64,-62.404,0.459
-60,-61.923,0.414
-60,-61.539,0.381
-59,-61.031,0.342
-59,-60.625,0.313
-60,-60.500,0.305
-64,-61.200,0.354
-65,-61.960,0.417
-60,-61.568,0.383
-60,-61.254,0.358
-60,-61.003,0.340
-60,-60.803,0.325
-64,-61.442,0.373
-64,-61.954,0.416
-60,-61.563,0.383
-60,-61.250,0.358
-61,-61.200,0.354
avg(rssi),avg(rssiKalman),avg(distance)
-61.347457627118644,-61.3406440677966,0.36701694915254257
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.2222950369506265,0.477011663955458,0.03824452615110871
