rssi,rssiKarman,distance
-81,-81.000,97.554
-79,-80.600,88.691
-73,-79.080,61.758
-73,-77.864,46.232
-75,-77.291,40.337
-74,-76.633,34.486
-74,-76.106,30.422
-74,-75.685,27.518
-75,-75.548,26.635
-75,-75.438,25.948
-76,-75.551,26.652
-80,-76.441,32.942
-79,-76.952,37.212
-80,-77.562,43.024
-75,-77.050,38.082
-78,-77.240,39.846
-77,-77.192,39.393
-78,-77.353,40.939
-80,-77.883,46.439
-77,-77.706,44.527
-75,-77.165,39.143
-77,-77.132,38.836
-80,-77.706,44.520
-77,-77.564,43.049
-75,-77.052,38.100
-80,-77.641,43.844
-77,-77.513,42.525
-79,-77.810,45.646
-77,-77.648,43.918
-75,-77.119,38.714
-75,-76.695,34.998
-80,-77.356,40.964
-77,-77.285,40.276
-80,-77.828,45.835
-77,-77.662,44.063
-75,-77.130,38.817
-79,-77.504,42.432
-77,-77.403,41.426
-76,-77.122,38.749
-75,-76.698,35.024
-79,-77.158,39.082
-77,-77.127,38.788
-75,-76.701,35.052
-78,-76.961,37.288
-75,-76.569,33.963
-79,-77.055,38.132
-77,-77.044,38.032
-77,-77.035,37.953
-77,-77.028,37.889
-77,-77.023,37.838
-76,-76.818,36.040
-76,-76.654,34.662
-75,-76.324,32.036
-80,-77.059,38.166
-77,-77.047,38.059
-78,-77.238,39.826
-79,-77.590,43.313
-80,-78.072,48.581
-77,-77.858,46.163
-75,-77.286,40.289
-81,-78.029,48.084
-77,-77.823,45.784
-78,-77.859,46.172
-78,-77.887,46.484
-76,-77.509,42.489
-78,-77.608,43.493
-77,-77.486,42.253
-77,-77.389,41.286
-80,-77.911,46.753
-80,-78.329,51.643
-77,-78.063,48.476
-77,-77.850,46.083
-78,-77.880,46.413
-76,-77.504,42.437
-77,-77.403,41.430
-76,-77.123,38.752
-77,-77.098,38.526
-83,-78.279,51.029
-80,-78.623,55.388
-77,-78.298,51.269
-78,-78.239,50.546
-78,-78.191,49.975
-79,-78.353,51.938
-78,-78.282,51.073
-78,-78.226,50.391
-78,-78.181,49.852
-78,-78.144,49.425
-78,-78.116,49.086
-79,-78.292,51.198
-79,-78.434,52.952
-77,-78.147,49.457
-76,-77.718,44.650
-77,-77.574,43.149
-78,-77.659,44.033
-78,-77.727,44.753
-80,-78.182,49.869
-77,-77.946,47.139
-77,-77.756,45.063
-80,-78.205,50.145
-76,-77.764,45.146
-77,-77.611,43.532
-75,-77.089,38.442
-77,-77.071,38.279
-76,-76.857,36.375
-75,-76.486,33.296
-81,-77.388,41.283
-75,-76.911,36.844
-83,-78.129,49.239
-79,-78.303,51.325
-77,-78.042,48.237
-79,-78.234,50.488
-73,-77.187,39.350
-73,-76.350,32.236
-75,-76.080,30.229
-75,-75.864,28.714
avg(rssi),avg(rssiKalman),avg(distance)
-77.29565217391304,-77.47429565217388,42.97931304347827
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.0386436797366176,0.8135947605097528,9.367228418792289
