tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,201,1.953,4.343,5.493,null
1,401,1.953,4.343,5.493,null
2,602,1.953,4.343,5.493,null
3,801,1.788,4.820,5.493,null
4,1003,1.788,5.239,5.493,null
5,1202,1.788,5.239,5.493,null
6,1403,1.788,5.239,5.493,null
7,1603,1.716,6.546,5.493,null
8,1803,1.716,6.546,5.493,null
9,2003,1.716,6.546,5.493,null
10,2204,1.716,5.876,5.493,null
11,2403,1.716,5.876,5.493,null
12,2602,1.716,5.876,5.493,null
13,2802,1.710,5.980,4.801,null
14,3003,1.710,5.980,4.801,null
15,3204,1.710,5.980,4.801,null
16,3403,1.608,6.909,3.870,null
17,3603,1.608,6.909,3.870,null
18,3803,1.608,6.909,3.870,null
19,4002,1.623,6.909,3.870,null
20,4204,1.684,6.134,3.346,null
21,4403,1.684,6.134,3.346,null
22,4602,1.685,6.134,3.229,null
23,4803,1.636,6.134,3.229,null
24,5003,1.636,6.134,3.229,null
25,5202,1.636,6.134,3.229,null
26,5403,1.552,7.051,3.229,null
27,5603,1.552,7.051,3.229,null
28,5802,1.552,7.051,3.229,null
29,6002,1.578,7.051,3.138,null
30,6203,1.578,7.051,3.138,null
31,6402,1.578,7.051,3.138,null
32,6603,1.578,7.051,3.138,null
33,6803,1.578,7.051,3.138,null
34,7003,1.578,7.051,3.138,null
35,7202,1.578,7.051,2.754,null
36,7403,1.508,7.051,2.754,null
37,7603,1.508,7.051,2.754,null
38,7803,1.508,7.051,2.754,null
39,8003,1.588,6.235,2.690,null
40,8203,1.588,6.235,2.690,null
41,8402,1.588,6.235,2.690,null
42,8602,1.561,6.110,2.712,null
43,8802,1.561,6.110,2.712,null
44,9002,1.561,6.110,2.712,null
45,9202,1.402,7.028,2.451,null
46,9403,1.402,7.028,2.451,null
47,9603,1.402,7.028,2.451,null
48,9802,1.455,6.383,2.450,null
49,10003,1.543,6.383,2.450,null
50,10203,1.543,6.383,2.450,null
51,10403,1.543,6.383,2.450,null
52,10603,1.543,6.226,2.516,null
53,10802,1.543,6.226,2.516,null
54,11003,1.481,7.135,2.308,null
55,11202,1.481,7.956,2.097,null
56,11403,1.481,7.956,2.097,null
57,11602,1.481,7.956,2.097,null
58,11803,1.520,6.868,2.163,null
59,12003,1.520,6.868,2.163,null
60,12203,1.520,6.868,2.163,null
61,12402,1.507,6.601,2.323,null
62,12603,1.507,6.601,2.323,null
63,12802,1.507,6.601,2.323,null
64,13002,1.453,7.477,2.165,null
65,13203,1.453,7.477,2.165,null
66,13402,1.453,7.477,2.165,null
67,13602,1.497,7.477,2.165,null
68,13803,1.497,7.477,2.165,null
69,14002,1.497,7.477,2.165,null
70,14203,1.497,7.477,2.165,null
71,14403,1.497,7.066,2.279,null
72,14603,1.497,7.066,2.279,null
73,14803,1.497,7.066,2.279,null
74,15002,1.497,7.692,2.279,null
75,15202,1.497,7.692,2.279,null
76,15403,1.497,7.692,2.279,null
77,15602,1.533,7.692,2.339,null
78,15803,1.533,7.692,2.339,null
79,16003,1.533,7.692,2.339,null
80,16202,1.517,7.228,2.491,null
81,16402,1.517,7.228,2.491,null
82,16602,1.517,7.228,2.491,null
83,16802,1.461,7.228,2.289,null
84,17002,1.461,7.228,2.140,null
85,17202,1.461,7.228,2.140,null
86,17402,1.461,6.360,2.140,null
87,17604,1.504,6.360,2.246,null
88,17803,1.504,6.360,2.246,null
89,18002,1.504,6.360,2.246,null
90,18202,1.522,6.208,2.347,null
91,18403,1.522,6.208,2.347,null
92,18603,1.522,6.208,2.347,null
93,18802,1.465,7.118,2.060,null
94,19002,1.465,7.118,2.060,null
95,19202,1.465,7.118,2.060,null
96,19402,1.507,6.283,2.021,null
97,19603,1.541,6.283,2.021,null
98,19802,1.541,6.283,2.021,null
99,20002,1.524,6.283,2.157,null
100,20202,1.555,6.147,2.157,null
101,20403,1.555,6.147,2.157,null
102,20602,1.555,6.147,2.157,null
103,20802,1.490,7.063,2.040,null
104,21003,1.490,7.063,2.040,null
105,21202,1.490,6.244,2.040,null
106,21402,1.527,5.657,2.060,null
107,21603,1.527,5.657,2.060,null
108,21803,1.527,5.657,2.060,null
109,22002,1.513,5.657,2.301,null
110,22203,1.513,5.657,2.301,null
111,22402,1.513,5.657,2.301,null
112,22602,1.458,6.273,2.149,null
113,22802,1.458,6.273,2.149,null
114,23002,1.458,6.273,2.149,null
115,23202,1.458,6.273,2.205,null
116,23403,1.458,6.273,2.252,null
117,23603,1.458,6.273,2.252,null
118,23803,1.458,6.273,2.352,null
119,24002,1.501,6.140,2.436,null
120,24203,1.501,6.140,2.436,null
121,24403,1.501,6.140,2.436,null
122,24603,1.449,7.564,2.010,null
123,24803,1.449,7.564,2.010,null
124,25004,1.449,7.564,2.010,null
125,25202,1.449,6.596,2.158,null
126,25402,1.449,6.596,2.158,null
127,25602,1.449,6.596,2.158,null
128,25802,1.493,6.596,2.158,null
129,26003,1.486,6.596,2.158,null
130,26203,1.486,6.596,2.158,null
131,26401,1.437,6.596,2.041,null
132,26602,1.437,7.280,2.041,null
133,26803,1.437,7.280,2.041,null
134,27002,1.484,7.280,2.041,null
135,27203,1.484,6.397,2.087,null
136,27403,1.484,6.397,2.087,null
137,27602,1.484,6.401,2.087,null
138,27803,1.554,6.240,2.213,null
139,28003,1.554,6.240,2.213,null
140,28202,1.554,6.240,2.213,null
141,28402,1.534,6.240,2.083,null
142,28602,1.534,6.240,2.083,null
143,28803,1.534,6.240,2.083,null
144,29002,1.609,5.477,2.210,null
145,29202,1.609,5.477,2.317,null
146,29403,1.609,5.477,2.317,null
147,29602,1.578,5.477,2.343,null
148,29803,1.578,5.508,2.343,null
149,30002,1.578,5.508,2.343,null
150,30202,1.578,5.508,2.180,null
151,30403,1.508,6.302,2.058,null
152,30603,1.508,6.302,2.058,null
153,30802,1.508,6.302,2.058,null
154,31003,1.542,5.700,2.074,null
155,31203,1.542,5.700,2.074,null
156,31403,1.542,5.700,2.074,null
157,31602,1.542,5.687,2.546,null
158,31803,1.542,5.687,2.546,null
159,32002,1.542,5.687,2.546,null
