rssi,rssiKarman,distance
-61,-61.000,0.604
-58,-60.400,0.553
-67,-61.720,0.671
-57,-60.776,0.584
-56,-59.821,0.508
-66,-61.057,0.609
-66,-62.045,0.704
-62,-62.036,0.703
-55,-60.629,0.572
-63,-61.103,0.613
-60,-60.883,0.593
-58,-60.306,0.545
-56,-59.445,0.480
-62,-59.956,0.518
-62,-60.365,0.550
-61,-60.492,0.560
-55,-59.393,0.477
-60,-59.515,0.485
-58,-59.212,0.464
-62,-59.769,0.504
-58,-59.416,0.478
-59,-59.332,0.473
-55,-58.466,0.416
-62,-59.173,0.462
-62,-59.738,0.502
-58,-59.391,0.477
-55,-58.512,0.419
-62,-59.210,0.464
-58,-58.968,0.448
-55,-58.174,0.399
-62,-58.939,0.446
-62,-59.552,0.488
-55,-58.641,0.427
-55,-57.913,0.384
-62,-58.730,0.433
-62,-59.384,0.476
-62,-59.907,0.514
-58,-59.526,0.486
-55,-58.621,0.426
-62,-59.297,0.470
-58,-59.037,0.453
-58,-58.830,0.439
-55,-58.064,0.392
-62,-58.851,0.440
-62,-59.481,0.483
-59,-59.385,0.476
-58,-59.108,0.457
-55,-58.286,0.405
-62,-59.029,0.452
-62,-59.623,0.493
-59,-59.499,0.484
-55,-58.599,0.424
-62,-59.279,0.469
-59,-59.223,0.465
-55,-58.379,0.411
-62,-59.103,0.457
-58,-58.882,0.442
-55,-58.106,0.395
-62,-58.885,0.443
-58,-58.708,0.431
-59,-58.766,0.435
-58,-58.613,0.425
-54,-57.690,0.371
-59,-57.952,0.386
-55,-57.362,0.354
-59,-57.689,0.371
-55,-57.152,0.343
-55,-56.721,0.322
-62,-57.777,0.376
-59,-58.022,0.390
-58,-58.017,0.390
-55,-57.414,0.357
-62,-58.331,0.408
-59,-58.465,0.416
-59,-58.572,0.423
-55,-57.858,0.381
-59,-58.086,0.394
-55,-57.469,0.359
-62,-58.375,0.411
-58,-58.300,0.406
-55,-57.640,0.369
-59,-57.912,0.384
-58,-57.930,0.385
-55,-57.344,0.353
-62,-58.275,0.405
-62,-59.020,0.451
-59,-59.016,0.451
-59,-59.013,0.451
-62,-59.610,0.492
-59,-59.488,0.483
-55,-58.591,0.424
-62,-59.272,0.468
-59,-59.218,0.465
-55,-58.374,0.411
-62,-59.099,0.457
-59,-59.080,0.455
-59,-59.064,0.454
-62,-59.651,0.495
-58,-59.321,0.472
-59,-59.257,0.467
-55,-58.405,0.412
-62,-59.124,0.458
-62,-59.699,0.499
-58,-59.360,0.474
-54,-58.288,0.405
-54,-57.430,0.357
-62,-58.344,0.409
-58,-58.275,0.405
-56,-57.820,0.379
-62,-58.656,0.428
-58,-58.525,0.420
avg(rssi),avg(rssiKalman),avg(distance)
-58.9009009009009,-58.99010810810811,0.4545225225225225
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.992347461863631,1.005500058026361,0.07098659267483422
