rssi,rssiKarman,distance
-80,-80.000,14.015
-69,-77.800,10.525
-76,-77.440,10.043
-74,-76.752,9.183
-75,-76.402,8.773
-75,-76.121,8.459
-70,-74.897,7.213
-77,-75.318,7.619
-75,-75.254,7.556
-71,-74.403,6.764
-75,-74.523,6.870
-70,-73.618,6.107
-77,-74.294,6.669
-76,-74.636,6.972
-70,-73.708,6.179
-71,-73.167,5.758
-75,-73.533,6.040
-75,-73.827,6.275
-70,-73.061,5.680
-75,-73.449,5.974
-74,-73.559,6.060
-70,-72.847,5.524
-77,-73.678,6.155
-76,-74.142,6.538
-75,-74.314,6.686
-70,-73.451,5.976
-70,-72.761,5.462
-75,-73.209,5.790
-75,-73.567,6.066
-74,-73.654,6.135
-70,-72.923,5.578
-71,-72.538,5.306
-74,-72.831,5.512
-75,-73.265,5.832
-70,-72.612,5.357
-74,-72.889,5.554
-75,-73.311,5.868
-75,-73.649,6.132
-76,-74.119,6.519
-70,-73.295,5.856
-70,-72.636,5.374
-75,-73.109,5.715
-75,-73.487,6.004
-75,-73.790,6.245
-70,-73.032,5.658
-70,-72.425,5.229
-75,-72.940,5.591
-71,-72.552,5.316
-74,-72.842,5.520
-74,-73.073,5.689
-75,-73.459,5.982
-70,-72.767,5.466
-77,-73.614,6.103
-74,-73.691,6.165
-70,-72.953,5.600
-75,-73.362,5.907
-75,-73.690,6.164
-74,-73.752,6.214
-71,-73.201,5.784
-75,-73.561,6.062
-74,-73.649,6.131
-70,-72.919,5.576
-74,-73.135,5.735
-74,-73.308,5.865
-70,-72.647,5.381
-74,-72.917,5.574
-70,-72.334,5.167
-74,-72.667,5.396
-73,-72.734,5.443
-72,-72.587,5.340
-76,-73.270,5.836
-75,-73.616,6.105
-75,-73.893,6.329
-70,-73.114,5.719
-70,-72.491,5.274
-75,-72.993,5.630
-76,-73.594,6.088
-75,-73.875,6.315
-70,-73.100,5.709
-70,-72.480,5.266
-75,-72.984,5.623
-70,-72.387,5.203
-75,-72.910,5.569
-74,-73.128,5.729
-69,-72.302,5.146
-75,-72.842,5.520
-69,-72.074,4.995
-69,-71.459,4.611
-76,-72.367,5.189
-75,-72.894,5.557
-75,-73.315,5.871
-70,-72.652,5.385
-70,-72.122,5.026
-75,-72.697,5.417
-75,-73.158,5.752
-70,-72.526,5.298
-76,-73.221,5.799
-74,-73.377,5.918
-71,-72.901,5.563
-76,-73.521,6.030
-76,-74.017,6.432
-73,-73.814,6.264
-74,-73.851,6.295
-70,-73.081,5.694
-74,-73.265,5.832
-72,-73.012,5.643
-75,-73.409,5.943
-70,-72.727,5.438
-70,-72.182,5.066
-74,-72.546,5.311
-74,-72.836,5.516
-70,-72.269,5.123
-74,-72.615,5.360
-74,-72.892,5.556
-70,-72.314,5.153
-75,-72.851,5.527
-76,-73.481,5.999
-73,-73.385,5.924
-74,-73.508,6.020
-70,-72.806,5.494
-71,-72.445,5.242
-75,-72.956,5.603
-75,-73.365,5.909
-74,-73.492,6.007
-70,-72.793,5.485
-76,-73.435,5.963
-73,-73.348,5.896
avg(rssi),avg(rssiKalman),avg(distance)
-73.18897637795276,-73.39848818897637,6.008999999999999
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.471036262793491,1.1241327496505369,1.119388788510283
