tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,201,null,null,null,null
1,400,null,4.343,null,null
2,600,null,4.343,null,null
3,802,null,4.343,null,null
4,1003,null,4.343,null,null
5,1201,null,4.343,null,null
6,1402,null,4.343,null,null
7,1603,0.699,4.343,null,null
8,1801,0.699,4.232,2.139,null
9,2001,0.699,4.232,2.139,null
10,2201,0.834,4.232,2.726,null
11,2402,0.834,4.366,3.136,null
12,2601,0.834,4.366,3.136,null
13,2801,0.834,4.366,3.136,null
14,3001,0.825,4.716,2.985,null
15,3202,0.825,4.716,2.985,null
16,3402,0.825,4.716,2.985,null
17,3602,0.825,4.520,2.985,null
18,3802,0.825,4.520,2.985,null
19,4002,0.825,4.520,2.985,null
20,4201,0.924,4.723,3.372,null
21,4402,0.924,4.767,3.372,null
22,4602,0.924,4.767,3.372,null
23,4801,0.900,4.929,3.249,null
24,5002,0.900,4.929,3.070,null
25,5202,0.900,4.929,3.070,null
26,5401,0.900,4.562,3.070,null
27,5602,0.856,4.288,2.856,null
28,5802,0.856,4.288,2.856,null
29,6001,0.856,4.288,2.856,null
30,6202,0.980,4.413,3.255,null
31,6403,0.980,4.413,3.255,null
32,6602,0.980,4.413,3.255,null
33,6801,0.916,4.756,3.075,null
34,7002,0.916,4.756,3.075,null
35,7201,0.916,4.756,3.075,null
36,7401,0.868,4.302,2.860,null
37,7602,0.868,4.302,2.860,null
38,7802,0.868,4.302,2.860,null
39,8001,0.962,4.310,2.860,null
40,8202,1.045,4.310,3.259,null
41,8402,1.045,4.310,3.259,null
42,8601,1.045,4.310,2.995,null
43,8802,0.904,4.547,2.877,null
44,9002,0.904,4.547,2.877,null
45,9201,0.904,4.547,2.877,null
46,9401,0.859,4.277,2.411,null
47,9603,0.859,4.277,2.411,null
48,9802,0.859,4.277,2.411,null
49,10002,0.985,4.180,2.943,null
50,10202,0.985,4.180,2.943,null
51,10402,0.985,4.180,2.943,null
52,10601,0.985,4.437,2.943,null
53,10802,0.985,4.437,2.943,null
54,11002,0.985,4.437,2.943,null
55,11203,0.985,4.194,2.943,null
56,11402,0.985,4.194,2.943,null
57,11602,0.985,4.194,2.943,null
58,11801,0.985,4.115,2.943,null
59,12001,1.065,4.053,3.246,null
60,12201,1.065,4.053,3.246,null
61,12402,1.065,4.329,3.246,null
62,12602,1.008,4.684,2.986,null
63,12801,1.008,4.684,2.986,null
64,13001,1.008,4.684,2.986,null
65,13201,0.937,4.150,2.469,null
66,13401,0.937,4.150,2.469,null
67,13602,0.937,4.150,2.469,null
68,13801,1.023,4.026,2.745,null
69,14002,1.023,4.026,2.988,null
70,14201,1.023,4.026,2.988,null
71,14401,0.977,4.306,2.988,null
72,14601,0.941,4.306,2.871,null
73,14801,0.941,4.306,2.871,null
74,15001,0.886,4.306,2.635,null
75,15202,0.886,4.094,2.460,null
76,15402,0.886,4.094,2.460,null
77,15602,0.886,4.094,2.460,null
78,15801,1.005,4.037,2.738,null
79,16001,1.005,4.037,2.738,null
80,16202,1.005,4.037,2.738,null
81,16401,0.930,4.037,2.606,null
82,16602,0.930,4.037,2.606,null
83,16801,0.930,4.037,2.606,null
84,17001,0.878,4.037,2.438,null
85,17201,0.878,4.037,2.438,null
86,17401,0.878,4.037,2.438,null
87,17600,0.944,3.991,2.718,null
88,17802,0.999,3.991,2.718,null
89,18002,0.999,3.991,2.718,null
90,18201,0.999,4.276,2.718,null
91,18402,0.930,4.638,2.617,null
92,18601,0.930,4.638,2.617,null
93,18801,0.930,4.638,2.617,null
94,19002,0.853,4.345,2.447,null
95,19201,0.853,4.345,2.447,null
96,19402,0.853,4.345,2.447,null
97,19602,0.922,4.146,2.726,null
98,19802,0.922,4.146,2.726,null
99,20002,0.922,4.146,2.726,null
100,20201,0.898,4.146,2.498,null
101,20402,0.898,4.146,2.498,null
102,20601,0.898,4.146,2.498,null
103,20801,0.854,3.972,2.498,null
104,21003,0.821,3.839,2.357,null
105,21202,0.821,3.839,2.357,null
106,21401,0.894,3.839,2.645,null
107,21601,0.894,3.833,2.901,null
108,21801,0.894,3.833,2.901,null
109,22001,0.894,3.833,2.901,null
110,22201,0.876,4.615,2.804,null
111,22401,0.876,4.615,2.804,null
112,22602,0.876,4.615,2.804,null
113,22801,0.838,4.111,2.586,null
114,23002,0.838,4.111,2.586,null
115,23202,0.838,4.111,2.586,null
116,23401,0.908,4.050,2.849,null
117,23602,0.908,4.050,2.849,null
118,23801,0.908,4.050,2.849,null
119,24001,0.862,4.441,2.764,null
120,24202,0.851,4.441,2.764,null
121,24402,0.851,4.441,2.764,null
122,24601,0.851,4.441,2.556,null
123,24802,0.795,4.197,2.556,null
124,25003,0.795,4.197,2.556,null
125,25201,0.871,4.197,2.556,null
126,25402,0.937,4.117,2.556,null
127,25602,0.937,4.117,2.556,null
128,25802,0.937,4.117,2.556,null
129,26001,0.910,4.499,2.397,null
130,26201,0.910,4.499,2.397,null
131,26402,0.910,4.499,2.397,null
132,26601,0.828,4.241,2.281,null
133,26802,0.828,4.241,2.281,null
134,27002,0.828,4.241,2.281,null
135,27201,0.828,4.152,2.577,null
136,27401,0.900,4.082,2.841,null
137,27602,0.900,4.082,2.841,null
138,27801,0.900,4.468,2.684,null
139,28001,0.881,4.804,2.684,null
140,28201,0.881,4.804,2.684,null
141,28401,0.881,4.804,2.684,null
142,28602,0.841,4.469,2.473,null
143,28802,0.841,4.469,2.473,null
144,29001,0.841,4.469,2.473,null
145,29200,0.939,4.561,3.297,null
146,29401,0.939,4.561,3.297,null
147,29600,0.939,4.561,3.297,null
148,29800,0.885,4.758,3.297,null
149,30001,0.885,4.758,3.297,null
150,30201,0.885,4.758,3.297,null
151,30401,0.820,4.435,2.943,null
152,30600,0.820,4.435,2.943,null
153,30801,0.820,4.435,2.943,null
154,31001,0.820,4.435,3.334,null
155,31200,0.820,4.435,3.684,null
156,31401,0.820,4.435,3.684,null
157,31601,0.820,4.435,3.684,null
158,31801,0.794,4.653,3.305,null
159,32001,0.794,4.653,3.305,null
160,32201,0.794,4.653,3.305,null
161,32401,0.758,4.133,3.029,null
162,32600,0.758,4.133,3.029,null
163,32800,0.758,4.133,3.029,null
164,33001,0.758,4.284,3.753,null
165,33201,0.758,4.284,3.753,null
166,33400,0.758,4.284,3.753,null
167,33600,0.758,4.645,3.354,null
168,33801,0.746,4.704,3.354,null
169,34001,0.746,4.704,3.354,null
170,34200,0.746,4.394,3.354,null
171,34401,0.736,4.394,2.984,null
172,34601,0.736,4.394,2.984,null
173,34801,0.736,4.394,2.984,null
174,35001,0.844,4.491,3.282,null
175,35201,0.844,4.491,3.282,null
176,35401,0.844,4.491,3.282,null
177,35601,0.813,4.873,3.013,null
178,35801,0.813,4.873,3.013,null
179,36002,0.813,4.873,3.013,null
180,36201,0.766,4.521,2.738,null
181,36401,0.766,4.521,2.738,null
182,36601,0.766,4.521,2.738,null
183,36801,0.871,4.370,2.982,null
184,37001,0.871,4.370,2.982,null
185,37201,0.871,4.370,2.982,null
186,37401,0.858,4.719,2.867,null
187,37600,0.858,4.889,2.704,null
188,37800,0.858,4.889,2.704,null
189,38000,0.858,4.889,2.511,null
190,38201,0.824,4.889,2.368,null
191,38401,0.824,4.889,2.368,null
192,38602,0.824,4.889,2.368,null
193,38801,0.896,4.775,2.957,null
194,39001,0.896,4.775,2.957,null
195,39201,0.896,4.775,2.957,null
196,39401,0.844,4.809,2.957,null
197,39602,0.844,4.809,2.957,null
198,39802,0.844,4.809,2.957,null
199,40001,0.844,4.809,2.698,null
200,40202,0.813,4.473,2.698,null
201,40401,0.813,4.473,2.698,null
202,40601,0.813,4.473,2.698,null
203,40801,0.913,4.808,3.027,null
204,41001,0.913,4.808,3.027,null
205,41202,0.913,4.808,3.027,null
206,41401,0.866,4.963,2.824,null
207,41601,0.866,4.963,2.824,null
208,41801,0.866,4.963,2.824,null
209,42002,0.806,4.587,2.824,null
210,42201,0.806,4.587,2.824,null
211,42401,0.806,4.587,2.824,null
212,42600,0.881,4.537,3.057,null
213,42800,0.881,4.537,3.057,null
214,43001,0.881,4.537,3.057,null
215,43201,0.866,4.616,2.846,null
216,43401,0.866,4.616,2.846,null
