rssi,rssiKarman,distance
-70,-70.000,3.667
-68,-69.600,3.475
-67,-69.080,3.239
-69,-69.064,3.232
-67,-68.651,3.058
-69,-68.721,3.086
-71,-69.177,3.282
-70,-69.341,3.356
-67,-68.873,3.150
-68,-68.699,3.077
-70,-68.959,3.187
-67,-68.567,3.023
-68,-68.454,2.977
-68,-68.363,2.941
-69,-68.490,2.992
-70,-68.792,3.116
-68,-68.634,3.050
-68,-68.507,2.999
-70,-68.806,3.122
-68,-68.645,3.055
-67,-68.316,2.922
-68,-68.252,2.898
-70,-68.602,3.037
-68,-68.482,2.989
-68,-68.385,2.950
-67,-68.108,2.842
-67,-67.887,2.758
-71,-68.509,3.000
-67,-68.207,2.880
-69,-68.366,2.942
-67,-68.093,2.836
-67,-67.874,2.754
-68,-67.899,2.763
-68,-67.919,2.771
-70,-68.336,2.930
-68,-68.268,2.904
-67,-68.015,2.806
-67,-67.812,2.731
-68,-67.849,2.745
-70,-68.280,2.908
-70,-68.624,3.046
-67,-68.299,2.916
-67,-68.039,2.816
-67,-67.831,2.738
-70,-68.265,2.903
-67,-68.012,2.805
-71,-68.610,3.041
-71,-69.088,3.243
-68,-68.870,3.149
-68,-68.696,3.076
-70,-68.957,3.186
-70,-69.166,3.277
-68,-68.932,3.176
-67,-68.546,3.015
-68,-68.437,2.971
-71,-68.949,3.183
-67,-68.560,3.020
-68,-68.448,2.975
-71,-68.958,3.187
-67,-68.566,3.023
-67,-68.253,2.898
-70,-68.603,3.038
-70,-68.882,3.154
-68,-68.706,3.080
-69,-68.765,3.105
-67,-68.412,2.960
-68,-68.329,2.928
-68,-68.263,2.902
-69,-68.411,2.960
-69,-68.529,3.008
-67,-68.223,2.886
-68,-68.178,2.869
-69,-68.343,2.933
-71,-68.874,3.151
-70,-69.099,3.248
-70,-69.279,3.328
-68,-69.024,3.215
-71,-69.419,3.391
-67,-68.935,3.177
-67,-68.548,3.015
-68,-68.438,2.971
-72,-69.151,3.271
-69,-69.121,3.257
-68,-68.896,3.160
-68,-68.717,3.085
-68,-68.574,3.026
-69,-68.659,3.061
-70,-68.927,3.173
-68,-68.742,3.095
-68,-68.593,3.034
-70,-68.875,3.151
-70,-69.100,3.248
-67,-68.680,3.069
-68,-68.544,3.014
-68,-68.435,2.970
-70,-68.748,3.098
-68,-68.598,3.036
-68,-68.479,2.987
-67,-68.183,2.871
-68,-68.146,2.857
-68,-68.117,2.845
-68,-68.094,2.836
-67,-67.875,2.754
-67,-67.700,2.690
-68,-67.760,2.712
-68,-67.808,2.729
-69,-68.046,2.818
-67,-67.837,2.740
-67,-67.670,2.679
-69,-67.936,2.777
avg(rssi),avg(rssiKalman),avg(distance)
-68.45454545454545,-68.52962727272725,3.0132363636363637
stdev(rssi),stdev(rssiKalman),stdev(distance)
1.304790917673392,0.43876514444913484,0.17988116922380254
