rssi,rssiKarman,distance
-71,-71.000,9.272
-73,-71.400,9.773
-65,-70.120,8.259
-88,-73.696,13.217
-67,-72.357,11.083
-76,-73.085,12.197
-79,-74.268,14.250
-61,-71.615,10.052
-81,-73.492,12.867
-62,-71.193,9.511
-63,-69.555,7.667
-79,-71.444,9.829
-64,-69.955,8.081
-64,-68.764,6.910
-78,-70.611,8.810
-71,-70.689,8.900
-65,-69.551,7.663
-75,-70.641,8.844
-74,-71.313,9.661
-64,-69.850,7.971
-71,-70.080,8.215
-82,-72.464,11.240
-64,-70.771,8.997
-64,-69.417,7.529
-71,-69.734,7.849
-73,-70.387,8.554
-73,-70.910,9.162
-65,-69.728,7.843
-74,-70.582,8.776
-65,-69.466,7.578
-62,-67.973,6.227
-62,-66.778,5.322
-63,-66.022,4.818
-73,-67.418,5.789
-62,-66.334,5.020
-64,-65.867,4.721
-70,-66.694,5.263
-70,-67.355,5.741
-62,-66.284,4.987
-64,-65.827,4.696
-70,-66.662,5.241
-64,-66.129,4.887
-69,-66.704,5.270
-69,-67.163,5.598
-63,-66.330,5.017
-64,-65.864,4.719
-63,-65.291,4.377
-63,-64.833,4.121
-72,-66.266,4.975
-62,-65.413,4.447
-66,-65.531,4.516
-68,-66.024,4.820
-61,-65.020,4.223
-67,-65.416,4.449
-69,-66.133,4.889
-64,-65.706,4.622
-65,-65.565,4.537
-67,-65.852,4.711
-61,-64.881,4.147
-64,-64.705,4.052
-67,-65.164,4.304
-61,-64.331,3.858
-61,-63.665,3.534
-62,-63.332,3.383
-66,-63.866,3.628
-65,-64.093,3.738
-71,-65.474,4.483
-62,-64.779,4.092
-65,-64.823,4.115
-68,-65.459,4.474
-62,-64.767,4.085
-61,-64.014,3.700
-71,-65.411,4.446
-66,-65.529,4.515
-62,-64.823,4.115
-64,-64.658,4.027
-73,-66.327,5.015
-62,-65.461,4.476
-64,-65.169,4.307
-65,-65.135,4.288
-69,-65.908,4.746
-69,-66.527,5.149
-62,-65.621,4.571
-64,-65.297,4.380
-68,-65.838,4.703
-62,-65.070,4.251
-63,-64.656,4.026
-64,-64.525,3.957
-67,-65.020,4.223
-61,-64.216,3.799
-62,-63.773,3.584
-64,-63.818,3.606
-68,-64.655,4.025
-72,-66.124,4.883
-62,-65.299,4.381
-62,-64.639,4.017
-64,-64.511,3.950
-64,-64.409,3.897
-69,-65.327,4.397
-69,-66.062,4.843
-62,-65.249,4.353
-65,-65.200,4.324
-62,-64.560,3.975
-63,-64.248,3.815
-65,-64.398,3.892
-66,-64.719,4.059
-70,-65.775,4.664
-62,-65.020,4.223
-62,-64.416,3.901
-66,-64.733,4.067
-75,-66.786,5.327
-62,-65.829,4.697
avg(rssi),avg(rssiKalman),avg(distance)
-66.67857142857143,-66.86326785714287,5.768124999999998
stdev(rssi),stdev(rssiKalman),stdev(distance)
5.223939204884234,2.682976555266499,2.407250840559621
