rssi,rssiKarman,distance
-63,-63.000,1.090
-73,-65.000,1.446
-73,-66.600,1.814
-74,-68.080,2.237
-71,-68.664,2.429
-77,-70.331,3.076
-70,-70.265,3.047
-74,-71.012,3.387
-76,-72.010,3.901
-70,-71.608,3.685
-69,-71.086,3.423
-76,-72.069,3.933
-77,-73.055,4.523
-70,-72.444,4.148
-80,-73.955,5.137
-79,-74.964,5.925
-70,-73.971,5.149
-83,-75.777,6.648
-82,-77.022,7.928
-66,-74.817,5.804
-72,-74.254,5.359
-71,-73.603,4.887
-74,-73.682,4.942
-69,-72.746,4.329
-73,-72.797,4.360
-76,-73.437,4.774
-70,-72.750,4.331
-71,-72.400,4.122
-77,-73.320,4.695
-69,-72.456,4.155
-72,-72.365,4.102
-80,-73.892,5.091
-74,-73.913,5.107
-71,-73.331,4.702
-71,-72.865,4.402
-75,-73.292,4.677
-75,-73.633,4.908
-68,-72.507,4.185
-68,-71.605,3.684
-77,-72.684,4.291
-68,-71.747,3.758
-80,-73.398,4.747
-69,-72.518,4.192
-76,-73.215,4.626
-80,-74.572,5.605
-79,-75.457,6.354
-68,-73.966,5.145
-68,-72.773,4.345
-74,-73.018,4.499
-75,-73.415,4.759
-75,-73.732,4.977
-67,-72.385,4.114
-74,-72.708,4.306
-79,-73.967,5.145
-69,-72.973,4.470
-79,-74.179,5.302
-74,-74.143,5.275
-69,-73.114,4.561
-80,-74.491,5.542
-77,-74.993,5.950
-77,-75.395,6.298
-69,-74.116,5.255
-79,-75.093,6.034
-79,-75.874,6.740
-78,-76.299,7.158
-68,-74.639,5.659
-81,-75.911,6.776
-81,-76.929,7.825
-67,-74.943,5.908
-75,-74.955,5.917
-67,-73.364,4.724
-67,-72.091,3.946
-77,-73.073,4.534
-67,-71.858,3.818
-67,-70.887,3.327
-80,-72.709,4.307
-83,-74.767,5.763
-67,-73.214,4.625
-76,-73.771,5.005
-85,-76.017,6.877
-67,-74.214,5.328
-76,-74.571,5.605
-67,-73.057,4.524
-76,-73.645,4.917
-83,-75.516,6.407
-67,-73.813,5.035
-75,-74.050,5.207
-83,-75.840,6.708
-67,-74.072,5.223
-76,-74.458,5.516
-67,-72.966,4.466
-76,-73.573,4.866
-77,-74.258,5.362
-67,-72.807,4.366
-67,-71.645,3.705
-75,-72.316,4.074
-67,-71.253,3.504
-79,-72.802,4.364
-68,-71.842,3.809
-68,-71.074,3.417
-75,-71.859,3.818
-74,-72.287,4.057
-75,-72.830,4.381
avg(rssi),avg(rssiKalman),avg(distance)
-73.47572815533981,-73.0939708737864,4.724854368932038
stdev(rssi),stdev(rssiKalman),stdev(distance)
5.045125803456483,2.1124994971278115,1.1801994681480055
