tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,201,null,null,null,null
1,402,null,null,null,null
2,601,null,null,null,null
3,803,1.629,4.487,4.212,null
4,1002,1.629,4.487,4.212,null
5,1204,1.629,4.487,4.212,null
6,1402,1.745,4.487,4.558,null
7,1603,1.745,4.487,4.558,null
8,1804,1.745,4.487,4.558,null
9,2004,1.745,3.578,4.257,null
10,2203,1.745,3.578,4.257,null
11,2403,1.745,3.578,4.257,null
12,2602,1.644,3.639,3.925,null
13,2802,1.644,3.639,3.925,null
14,3004,1.644,3.639,3.925,null
15,3202,1.639,4.498,3.245,null
16,3404,1.639,4.498,3.245,null
17,3603,1.639,4.498,3.245,null
18,3802,1.713,4.370,3.244,null
19,4002,1.713,4.370,3.244,null
20,4203,1.713,4.370,3.244,null
21,4402,1.713,4.370,3.244,null
22,4604,1.713,3.604,3.509,null
23,4803,1.713,3.604,3.509,null
24,5002,1.658,3.604,3.363,null
25,5204,1.658,3.765,3.251,null
26,5403,1.658,3.765,3.251,null
27,5604,1.658,3.765,3.251,null
28,5802,1.690,3.791,3.335,null
29,6003,1.690,3.791,3.335,null
30,6203,1.690,3.791,3.335,null
31,6402,1.640,3.791,3.683,null
32,6603,1.640,3.791,3.683,null
33,6804,1.640,3.791,3.683,null
34,7002,1.601,3.216,3.231,null
35,7203,1.601,2.820,3.231,null
36,7403,1.601,2.820,3.231,null
37,7602,1.607,3.008,2.987,null
38,7803,1.607,3.168,2.987,null
39,8003,1.607,3.168,2.987,null
40,8202,1.607,3.168,2.662,null
41,8403,1.315,2.559,2.558,null
42,8603,1.315,2.559,2.558,null
43,8803,1.315,2.559,2.558,null
44,9003,1.504,2.349,2.753,null
45,9204,1.504,2.349,2.753,null
46,9403,1.504,2.349,2.753,null
47,9604,1.680,2.750,2.770,null
48,9802,1.680,2.750,2.770,null
49,10002,1.680,2.750,2.770,null
50,10202,1.469,2.222,2.542,null
51,10402,1.469,2.222,2.542,null
52,10602,1.469,2.222,2.542,null
53,10802,1.469,2.097,2.542,null
54,11002,1.500,2.097,2.599,null
55,11202,1.500,2.097,2.599,null
56,11403,1.500,2.097,2.599,null
57,11603,1.596,2.584,2.510,null
58,11803,1.596,2.584,2.510,null
59,12003,1.596,2.584,2.510,null
60,12202,1.430,1.800,2.441,null
61,12403,1.430,1.800,2.441,null
62,12602,1.430,1.800,2.441,null
63,12802,1.502,1.751,3.024,null
64,13003,1.502,1.751,3.024,null
65,13203,1.502,1.751,3.024,null
66,13402,1.492,2.169,3.497,null
67,13603,1.492,2.169,3.927,null
68,13803,1.492,2.169,3.927,null
69,14002,1.418,1.944,3.313,null
70,14202,1.418,1.833,3.313,null
71,14403,1.418,1.833,3.313,null
72,14602,1.418,1.833,4.290,null
73,14803,1.425,1.850,4.748,null
74,15002,1.425,1.850,4.748,null
75,15202,1.425,1.850,4.748,null
76,15402,1.496,2.337,4.338,null
77,15603,1.496,2.337,4.338,null
78,15802,1.496,2.337,4.338,null
79,16001,1.421,1.966,3.587,null
80,16202,1.421,1.966,3.587,null
81,16403,1.421,1.966,3.587,null
82,16602,1.407,1.957,3.704,null
83,16802,1.407,1.957,3.704,null
84,17001,1.407,1.957,3.704,null
85,17201,1.407,2.183,4.006,null
86,17402,1.416,2.383,4.006,null
