rssi,rssiKarman,distance
-55,-55.000,1.158
-54,-54.800,1.132
-59,-55.640,1.245
-55,-55.512,1.227
-55,-55.410,1.213
-55,-55.328,1.202
-58,-55.862,1.277
-58,-56.290,1.341
-56,-56.232,1.332
-55,-55.985,1.295
-58,-56.388,1.356
-56,-56.311,1.344
-58,-56.649,1.397
-56,-56.519,1.376
-58,-56.815,1.424
-59,-57.252,1.496
-57,-57.202,1.488
-56,-56.961,1.448
-56,-56.769,1.416
-58,-57.015,1.456
-56,-56.812,1.423
-57,-56.850,1.429
-55,-56.480,1.370
-56,-56.384,1.355
-56,-56.307,1.344
-56,-56.246,1.334
-57,-56.397,1.357
-57,-56.517,1.376
-58,-56.814,1.423
-58,-57.051,1.462
-59,-57.441,1.529
-56,-57.153,1.479
-58,-57.322,1.508
-58,-57.458,1.532
-57,-57.366,1.516
-57,-57.293,1.503
-56,-57.034,1.460
-59,-57.427,1.526
-59,-57.742,1.582
-59,-57.994,1.628
-53,-56.995,1.453
-56,-56.796,1.421
-58,-57.037,1.460
-55,-56.629,1.394
-56,-56.503,1.374
-55,-56.203,1.328
-59,-56.762,1.415
-60,-57.410,1.523
-56,-57.128,1.475
-59,-57.502,1.540
-59,-57.802,1.593
-59,-58.041,1.637
-58,-58.033,1.636
-58,-58.027,1.634
-60,-58.421,1.709
-60,-58.737,1.772
-59,-58.790,1.783
-57,-58.432,1.712
-57,-58.145,1.657
-57,-57.916,1.614
-58,-57.933,1.617
-57,-57.746,1.583
-58,-57.797,1.592
-60,-58.238,1.674
-57,-57.990,1.628
-58,-57.992,1.628
-58,-57.994,1.628
-58,-57.995,1.628
-58,-57.996,1.629
-58,-57.997,1.629
-58,-57.997,1.629
-58,-57.998,1.629
-60,-58.398,1.705
-57,-58.119,1.652
-58,-58.095,1.647
-58,-58.076,1.644
-58,-58.061,1.641
-58,-58.049,1.638
-58,-58.039,1.637
-58,-58.031,1.635
-57,-57.825,1.597
-58,-57.860,1.604
-58,-57.888,1.609
-60,-58.310,1.688
-58,-58.248,1.676
-58,-58.199,1.667
-58,-58.159,1.659
-58,-58.127,1.653
-58,-58.102,1.648
-58,-58.081,1.645
-58,-58.065,1.642
-58,-58.052,1.639
-60,-58.442,1.713
-58,-58.353,1.696
-59,-58.483,1.721
-58,-58.386,1.703
-60,-58.709,1.766
-58,-58.567,1.738
-58,-58.454,1.716
-58,-58.363,1.698
-59,-58.490,1.723
-58,-58.392,1.704
-58,-58.314,1.689
-59,-58.451,1.715
-58,-58.361,1.698
-57,-58.089,1.646
avg(rssi),avg(rssiKalman),avg(distance)
-57.575471698113205,-57.45894339622639,1.5399528301886802
stdev(rssi),stdev(rssiKalman),stdev(distance)
1.4071791212875764,0.9082213680594542,0.15277127941057753
