rssi,rssiKarman,distance
-63,-63,3.320
-63,-63.000,3.320
-66,-63.600,3.530
-65,-63.880,3.632
-66,-64.304,3.792
-64,-64.243,3.769
-63,-63.995,3.674
-66,-64.396,3.827
-66,-64.717,3.955
-66,-64.973,4.059
-66,-65.179,4.145
-67,-65.543,4.302
-63,-65.034,4.085
-64,-64.827,4.000
-64,-64.662,3.933
-67,-65.130,4.125
-67,-65.504,4.285
-66,-65.603,4.328
-65,-65.482,4.275
-65,-65.386,4.234
-67,-65.709,4.375
-63,-65.167,4.140
-70,-66.134,4.569
-73,-67.507,5.254
-64,-66.805,4.892
-64,-66.244,4.620
-66,-66.196,4.597
-68,-66.556,4.770
-68,-66.845,4.912
-69,-67.276,5.132
-63,-66.421,4.704
-66,-66.337,4.664
-66,-66.269,4.632
-62,-65.415,4.246
-63,-64.932,4.043
-66,-65.146,4.131
-67,-65.517,4.290
-62,-64.813,3.994
-62,-64.251,3.771
-67,-64.801,3.989
-68,-65.440,4.257
-64,-65.152,4.134
-63,-64.722,3.957
-67,-65.178,4.145
-67,-65.542,4.301
-67,-65.834,4.431
-62,-65.067,4.098
-61,-64.254,3.772
-66,-64.603,3.909
-67,-65.082,4.105
-64,-64.866,4.015
-63,-64.493,3.865
-67,-64.994,4.068
-66,-65.195,4.152
-67,-65.556,4.308
-63,-65.045,4.089
-63,-64.636,3.922
-66,-64.909,4.033
-66,-65.127,4.123
-66,-65.302,4.197
-66,-65.441,4.258
-68,-65.953,4.485
-62,-65.162,4.138
-66,-65.330,4.210
-66,-65.464,4.267
-63,-64.971,4.059
-66,-65.177,4.144
-66,-65.342,4.215
-67,-65.673,4.359
-66,-65.739,4.388
-62,-64.991,4.067
-64,-64.793,3.985
-67,-65.234,4.169
-66,-65.387,4.234
-65,-65.310,4.201
-66,-65.448,4.260
-64,-65.158,4.137
-68,-65.727,4.383
-66,-65.781,4.408
-60,-64.625,3.918
-61,-63.900,3.639
-65,-64.120,3.722
-67,-64.696,3.946
-67,-65.157,4.136
-62,-64.525,3.878
-62,-64.020,3.684
-67,-64.616,3.914
-67,-65.093,4.109
-65,-65.074,4.101
-67,-65.460,4.265
-74,-67.168,5.076
-69,-67.534,5.269
-64,-66.827,4.903
-66,-66.662,4.821
-67,-66.729,4.854
-70,-67.384,5.189
-66,-67.107,5.045
-67,-67.085,5.034
-70,-67.668,5.341
-63,-66.735,4.857
-68,-66.988,4.984
-63,-66.190,4.595
-67,-66.352,4.671
-67,-66.482,4.733
-64,-65.985,4.500
-65,-65.788,4.411
-67,-66.031,4.521
-70,-66.825,4.902
-64,-66.260,4.628
-70,-67.008,4.994
-70,-67.606,5.308
-64,-66.885,4.932
-68,-67.108,5.045
-63,-66.286,4.640
-71,-67.229,5.108
-68,-67.383,5.189
-69,-67.707,5.362
-69,-67.965,5.505
-69,-68.172,5.623
-62,-66.938,4.958
-63,-66.150,4.576
-67,-66.320,4.656
-67,-66.456,4.721
-64,-65.965,4.491
-69,-66.572,4.777
-70,-67.258,5.123
-68,-67.406,5.201
-67,-67.325,5.158
-62,-66.260,4.628
-62,-65.408,4.243
-68,-65.926,4.473
-70,-66.741,4.860
-67,-66.793,4.886
-68,-67.034,5.007
-63,-66.227,4.612
-67,-66.382,4.686
-66,-66.306,4.649
-65,-66.044,4.527
-69,-66.636,4.808
-67,-66.708,4.844
-64,-66.167,4.584
-64,-65.733,4.386
-67,-65.987,4.501
-69,-66.589,4.786
-68,-66.872,4.925
-64,-66.297,4.645
-69,-66.838,4.908
-67,-66.870,4.924
-66,-66.696,4.838
-70,-67.357,5.175
-67,-67.286,5.137
-68,-67.428,5.213
-64,-66.743,4.861
-68,-66.994,4.987
-66,-66.795,4.887
-67,-66.836,4.907
-63,-66.069,4.539
-68,-66.455,4.721
-62,-65.564,4.311
-68,-66.051,4.530
-66,-66.041,4.526
-63,-65.433,4.254
-63,-64.946,4.048
-67,-65.357,4.221
-66,-65.486,4.277
-65,-65.388,4.235
-67,-65.711,4.376
-62,-64.969,4.057
-63,-64.575,3.898
-67,-65.060,4.095
-67,-65.448,4.260
-67,-65.758,4.397
-63,-65.207,4.157
-66,-65.365,4.225
-69,-66.092,4.549
-69,-66.674,4.827
-70,-67.339,5.165
-66,-67.071,5.026
-69,-67.457,5.228
-66,-67.166,5.075
-64,-66.532,4.758
-68,-66.826,4.902
-68,-67.061,5.021
-65,-66.649,4.815
-67,-66.719,4.849
-68,-66.975,4.977
-70,-67.580,5.294
-64,-66.864,4.921
-65,-66.491,4.738
-66,-66.393,4.691
-66,-66.314,4.653
-63,-65.652,4.350
-66,-65.721,4.381
-67,-65.977,4.496
-62,-65.182,4.146
-65,-65.145,4.131
-67,-65.516,4.290
-70,-66.413,4.700
-64,-65.930,4.475
-65,-65.744,4.391
-67,-65.995,4.505
-62,-65.196,4.153
-64,-64.957,4.053
-65,-64.966,4.056
-67,-65.373,4.228
avg(rssi),avg(rssiKalman),avg(distance)
-65.91707317073171,-65.87077073170731,4.470409756097561
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.410940757486475,0.9895006827155738,0.44821973912241403
