rssi,rssiKarman,distance
-65,-65,4.070
-69,-69.000,6.117
-63,-67.800,5.414
-67,-67.640,5.326
-69,-67.912,5.476
-70,-68.330,5.714
-63,-67.264,5.126
-65,-66.811,4.895
-64,-66.249,4.622
-71,-67.199,5.092
-62,-66.159,4.580
-64,-65.727,4.383
-72,-66.982,4.981
-66,-66.786,4.882
-63,-66.028,4.520
-63,-65.423,4.250
-63,-64.938,4.045
-66,-65.151,4.133
-66,-65.320,4.205
-68,-65.856,4.441
-67,-66.085,4.546
-62,-65.268,4.183
-66,-65.414,4.246
-67,-65.732,4.385
-69,-66.385,4.687
-61,-65.308,4.200
-67,-65.647,4.347
-68,-66.117,4.561
-64,-65.694,4.368
-67,-65.955,4.486
-66,-65.964,4.490
-68,-66.371,4.680
-68,-66.697,4.838
-62,-65.758,4.397
-62,-65.006,4.073
-67,-65.405,4.242
-65,-65.324,4.207
-69,-66.059,4.534
-65,-65.847,4.437
-64,-65.478,4.273
-73,-66.982,4.981
-66,-66.786,4.882
-74,-68.229,5.655
-75,-69.583,6.491
-60,-67.666,5.340
-60,-66.133,4.568
-67,-66.306,4.650
-65,-66.045,4.528
-65,-65.836,4.432
-67,-66.069,4.539
-66,-66.055,4.532
-66,-66.044,4.527
-61,-65.035,4.085
-65,-65.028,4.082
-68,-65.623,4.337
-69,-66.298,4.646
-64,-65.838,4.433
-64,-65.471,4.270
-62,-64.777,3.979
-66,-65.021,4.079
-67,-65.417,4.247
-66,-65.534,4.298
-68,-66.027,4.519
-64,-65.622,4.336
-67,-65.897,4.460
-64,-65.518,4.291
-73,-67.014,4.997
-61,-65.811,4.421
-66,-65.849,4.438
-70,-66.679,4.830
-62,-65.743,4.391
-65,-65.595,4.325
-65,-65.476,4.273
-70,-66.381,4.685
-71,-67.305,5.147
-62,-66.244,4.620
-67,-66.395,4.692
-71,-67.316,5.153
-63,-66.453,4.719
-66,-66.362,4.676
-62,-65.490,4.279
-66,-65.592,4.323
-66,-65.673,4.359
-69,-66.339,4.665
-62,-65.471,4.270
-72,-66.777,4.878
-71,-67.621,5.316
-62,-66.497,4.741
-65,-66.198,4.598
-61,-65.158,4.137
-71,-66.327,4.659
-62,-65.461,4.266
-71,-66.569,4.776
-62,-65.655,4.351
-67,-65.924,4.472
-66,-65.939,4.479
-71,-66.951,4.965
-71,-67.761,5.392
-63,-66.809,4.894
-63,-66.047,4.529
-66,-66.038,4.524
-67,-66.230,4.614
-70,-66.984,4.982
-61,-65.787,4.410
-69,-66.430,4.708
-61,-65.344,4.216
-66,-65.475,4.272
-69,-66.180,4.590
-70,-66.944,4.962
-61,-65.755,4.396
-62,-65.004,4.072
-65,-65.003,4.072
-71,-66.203,4.601
-62,-65.362,4.223
-67,-65.690,4.367
-66,-65.752,4.394
-62,-65.001,4.071
-65,-65.001,4.071
-65,-65.001,4.071
-72,-66.401,4.695
-61,-65.321,4.206
-67,-65.656,4.352
-71,-66.725,4.852
-66,-66.580,4.781
-72,-67.664,5.339
-66,-67.331,5.161
-72,-68.265,5.676
-61,-66.812,4.895
-66,-66.650,4.815
-49,-63.120,3.361
-62,-62.896,3.285
-66,-63.517,3.500
-71,-65.013,4.076
-69,-65.811,4.421
-64,-65.449,4.261
-64,-65.159,4.137
-66,-65.327,4.208
-70,-66.262,4.629
-70,-67.009,4.995
-62,-66.007,4.510
-66,-66.006,4.510
-66,-66.005,4.509
-62,-65.204,4.156
-66,-65.363,4.224
-70,-66.290,4.642
-62,-65.432,4.254
-70,-66.346,4.668
-70,-67.077,5.029
-62,-66.061,4.535
-65,-65.849,4.438
-65,-65.679,4.362
-71,-66.743,4.861
-61,-65.595,4.325
-66,-65.676,4.360
-71,-66.741,4.860
-71,-67.593,5.300
-61,-66.274,4.634
-65,-66.019,4.516
-69,-66.615,4.798
-70,-67.292,5.141
-62,-66.234,4.615
-65,-65.987,4.501
-70,-66.790,4.884
-63,-66.032,4.521
-65,-65.825,4.427
-65,-65.660,4.354
-71,-66.728,4.854
-61,-65.583,4.319
-62,-64.866,4.015
-65,-64.893,4.026
-65,-64.914,4.035
-69,-65.731,4.385
-64,-65.385,4.233
-64,-65.108,4.116
-66,-65.286,4.191
-70,-66.229,4.613
-61,-65.183,4.147
-67,-65.547,4.303
-66,-65.637,4.343
-70,-66.510,4.747
-64,-66.008,4.510
-64,-65.606,4.330
-69,-66.285,4.640
-63,-65.628,4.339
-67,-65.902,4.462
-73,-67.322,5.156
-69,-67.658,5.336
-62,-66.526,4.755
-64,-66.021,4.516
-66,-66.017,4.514
-70,-66.813,4.896
-70,-67.451,5.224
-61,-66.161,4.581
-64,-65.728,4.384
avg(rssi),avg(rssiKalman),avg(distance)
-66.00515463917526,-66.07259793814436,4.559381443298967
stdev(rssi),stdev(rssiKalman),stdev(distance)
3.600540369926182,0.8950434610169222,0.42622502510620236
