rssi,rssiKarman,distance
-71,-71,7.499
-67,-67.000,4.990
-67,-67.000,4.990
-71,-67.800,5.414
-71,-68.440,5.778
-71,-68.952,6.087
-70,-69.162,6.219
-68,-68.929,6.073
-68,-68.743,5.959
-72,-69.395,6.368
-73,-70.116,6.853
-73,-70.693,7.268
-73,-71.154,7.618
-75,-71.923,8.238
-74,-72.339,8.594
-69,-71.671,8.029
-68,-70.937,7.451
-66,-69.949,6.738
-69,-69.760,6.609
-67,-69.208,6.248
-68,-68.966,6.096
-75,-70.173,6.893
-68,-69.738,6.595
-67,-69.191,6.237
-47,-64.753,3.969
-74,-66.602,4.792
-75,-68.282,5.686
-72,-69.025,6.133
-69,-69.020,6.130
-68,-68.816,6.004
-73,-69.653,6.538
-81,-71.922,8.238
-70,-71.538,7.921
-71,-71.430,7.835
-68,-70.744,7.306
-68,-70.195,6.909
-67,-69.556,6.474
-71,-69.845,6.667
-71,-70.076,6.826
-67,-69.461,6.411
-68,-69.169,6.223
-70,-69.335,6.329
-68,-69.068,6.160
-70,-69.254,6.278
-68,-69.003,6.119
-71,-69.403,6.373
-67,-68.922,6.069
-68,-68.738,5.956
-72,-69.390,6.365
-71,-69.712,6.577
-68,-69.370,6.352
-68,-69.096,6.177
-69,-69.077,6.165
-72,-69.661,6.543
-68,-69.329,6.326
-70,-69.463,6.413
-68,-69.171,6.224
-74,-70.136,6.868
-68,-69.709,6.575
-68,-69.367,6.350
-73,-70.094,6.838
-69,-69.875,6.687
-67,-69.300,6.307
-75,-70.440,7.083
-72,-70.752,7.312
-72,-71.002,7.500
-67,-70.201,6.913
-71,-70.361,7.027
-68,-69.889,6.697
-68,-69.511,6.444
-70,-69.609,6.509
-68,-69.287,6.299
-46,-64.630,3.920
-80,-67.704,5.361
-69,-67.963,5.504
-68,-67.970,5.508
-68,-67.976,5.512
-66,-67.581,5.294
-75,-69.065,6.158
-72,-69.652,6.537
-74,-70.521,7.142
-67,-69.817,6.648
-73,-70.454,7.093
-70,-70.363,7.028
-70,-70.290,6.976
-70,-70.232,6.935
-71,-70.386,7.044
-71,-70.509,7.133
-69,-70.207,6.917
-70,-70.166,6.888
-71,-70.332,7.006
-71,-70.466,7.102
-68,-69.973,6.754
-70,-69.978,6.758
-66,-69.183,6.232
-67,-68.746,5.961
-67,-68.397,5.753
-67,-68.117,5.591
-65,-67.494,5.247
-68,-67.595,5.302
-67,-67.476,5.238
-68,-67.581,5.294
-68,-67.665,5.339
-64,-66.932,4.955
-71,-67.745,5.384
-67,-67.596,5.302
-73,-68.677,5.919
-71,-69.142,6.206
-68,-68.913,6.063
-70,-69.131,6.199
-68,-68.905,6.058
-69,-68.924,6.070
-68,-68.739,5.957
-69,-68.791,5.988
-69,-68.833,6.014
-68,-68.666,5.913
-69,-68.733,5.953
-68,-68.586,5.865
-70,-68.869,6.036
-68,-68.695,5.930
-67,-68.356,5.729
-70,-68.685,5.924
-70,-68.948,6.085
-70,-69.158,6.217
-67,-68.727,5.949
-70,-68.981,6.106
-67,-68.585,5.864
-76,-70.068,6.820
-71,-70.254,6.951
-71,-70.404,7.057
-66,-69.523,6.452
-76,-70.818,7.362
-68,-70.255,6.951
-66,-69.404,6.374
-77,-70.923,7.441
-73,-71.338,7.762
-68,-70.671,7.252
-65,-69.537,6.461
-79,-71.429,7.834
-67,-70.543,7.158
-74,-71.235,7.681
-69,-70.788,7.339
-66,-69.830,6.657
-69,-69.664,6.545
-68,-69.331,6.327
-77,-70.865,7.397
-68,-70.292,6.978
-68,-69.834,6.659
-68,-69.467,6.415
-77,-70.974,7.479
-69,-70.579,7.184
-66,-69.663,6.545
-74,-70.530,7.149
-72,-70.824,7.366
-73,-71.259,7.700
-69,-70.808,7.354
-68,-70.246,6.945
-67,-69.597,6.501
-76,-70.877,7.406
-76,-71.902,8.221
-70,-71.522,7.908
-74,-72.017,8.318
-69,-71.414,7.822
-71,-71.331,7.756
-68,-70.665,7.247
-76,-71.732,8.079
-79,-73.185,9.369
-68,-72.148,8.430
-67,-71.119,7.590
-72,-71.295,7.728
-67,-70.436,7.081
-73,-70.949,7.460
-74,-71.559,7.938
-67,-70.647,7.234
-67,-69.918,6.717
-72,-70.334,7.008
-70,-70.267,6.960
-68,-69.814,6.646
-68,-69.451,6.405
-77,-70.961,7.469
-71,-70.969,7.475
-70,-70.775,7.329
-68,-70.220,6.926
-76,-71.376,7.792
-70,-71.101,7.577
-67,-70.281,6.969
-76,-71.425,7.830
-72,-71.540,7.923
-72,-71.632,7.997
-66,-70.505,7.131
-71,-70.604,7.203
-67,-69.883,6.693
-80,-71.907,8.225
-71,-71.725,8.074
-67,-70.780,7.333
-68,-70.224,6.929
-77,-71.579,7.955
-71,-71.464,7.862
-69,-70.971,7.477
-66,-69.977,6.757
-67,-69.381,6.359
-79,-71.305,7.736
-69,-70.844,7.381
-67,-70.075,6.825
-71,-70.260,6.955
-72,-70.608,7.206
-67,-69.887,6.695
-68,-69.509,6.443
-67,-69.007,6.122
-77,-70.606,7.204
-70,-70.485,7.116
-68,-69.988,6.765
-68,-69.590,6.496
-69,-69.472,6.419
-69,-69.378,6.357
-67,-68.902,6.057
-66,-68.322,5.709
-67,-68.057,5.557
-70,-68.446,5.782
-73,-69.357,6.344
-71,-69.685,6.559
-68,-69.348,6.338
-68,-69.079,6.166
-73,-69.863,6.679
-70,-69.890,6.698
-70,-69.912,6.713
-70,-69.930,6.725
avg(rssi),avg(rssiKalman),avg(distance)
-69.83259911894272,-69.78095594713658,6.675563876651986
stdev(rssi),stdev(rssiKalman),stdev(distance)
3.8778932734379716,1.2429511095028685,0.8197438834575274
