tick,time,Beacon #1,Beacon #2,Beacon #3
0,202,null,null,null
1,401,2.709,null,null
2,601,2.709,1.470,1.995
3,803,2.709,1.470,1.995
4,1001,2.709,1.470,1.995
5,1202,2.654,1.470,2.121
6,1403,2.654,1.470,2.121
7,1602,2.654,1.470,2.121
8,1802,2.833,1.470,2.403
9,2002,2.833,1.470,2.403
10,2203,2.833,1.470,2.403
11,2401,2.807,1.328,2.315
12,2602,2.807,1.355,2.315
13,2802,2.807,1.355,2.315
14,3001,2.731,1.270,2.341
15,3203,2.731,1.205,2.341
16,3403,2.731,1.205,2.341
17,3602,2.783,1.180,2.341
18,3803,2.883,1.184,2.314
19,4003,2.883,1.184,2.314
20,4205,2.883,1.184,2.314
21,4402,2.877,1.234,2.246
22,4602,2.877,1.234,2.246
23,4802,2.877,1.234,2.246
24,5002,2.877,1.202,2.635
25,5201,2.877,1.202,2.635
26,5403,2.877,1.202,2.635
27,5602,3.437,1.246,2.596
28,5803,3.437,1.246,2.596
29,6003,3.437,1.246,2.596
30,6202,3.437,1.246,2.596
31,6403,3.437,1.246,2.596
32,6603,3.437,1.246,2.596
33,6802,3.437,1.246,2.783
34,7002,3.344,1.211,2.943
35,7202,3.344,1.211,2.943
36,7402,3.344,1.211,2.836
37,7602,3.623,1.211,2.810
38,7802,3.623,1.211,2.810
39,8002,3.623,1.211,2.810
40,8202,3.349,1.234,2.624
41,8402,3.349,1.234,2.624
42,8602,3.349,1.234,2.624
43,8802,3.349,1.202,2.807
44,9002,3.412,1.177,2.807
45,9203,3.412,1.177,2.807
46,9402,3.682,1.182,2.731
47,9602,3.682,1.182,2.731
48,9802,3.682,1.182,2.731
49,10002,3.463,1.182,2.731
50,10202,3.297,1.258,2.513
51,10402,3.297,1.258,2.513
52,10602,3.369,1.258,2.513
53,10802,3.292,1.221,2.513
54,11003,3.292,1.221,2.513
55,11202,3.292,1.221,2.513
56,11402,3.434,1.216,2.500
57,11602,3.434,1.216,2.500
58,11802,3.434,1.216,2.500
59,12001,3.040,1.238,2.222
60,12203,3.040,1.281,2.222
61,12403,3.040,1.281,2.222
62,12602,3.040,1.214,2.222
63,12803,3.031,1.163,2.457
64,13004,3.031,1.163,2.457
65,13202,3.031,1.170,2.457
66,13403,3.215,1.170,2.457
67,13602,3.215,1.170,2.457
68,13802,3.215,1.170,2.457
69,14003,3.044,1.170,2.310
70,14202,3.044,1.170,2.310
71,14403,3.044,1.170,2.310
72,14602,2.914,1.129,2.310
73,14802,2.914,1.129,2.310
74,15002,2.914,1.129,2.310
75,15201,3.115,1.119,2.336
76,15402,3.115,1.119,2.336
77,15603,3.115,1.119,2.336
78,15802,2.968,1.158,2.218
79,16003,2.968,1.158,2.218
80,16203,2.968,1.158,2.218
81,16402,2.914,1.158,2.218
82,16602,2.914,1.090,2.760
83,16803,2.914,1.090,2.760
84,17002,2.914,1.090,2.760
85,17203,3.116,1.111,2.750
86,17402,3.116,1.111,2.750
87,17603,3.116,1.111,2.750
88,17802,2.856,1.229,2.410
89,18002,2.856,1.229,2.410
90,18203,2.856,1.229,2.410
91,18402,2.769,1.174,2.565
92,18603,2.593,1.155,2.565
93,18802,2.593,1.155,2.565
94,19002,2.896,1.140,2.565
95,19203,2.896,1.129,2.593
96,19402,2.896,1.129,2.593
97,19602,2.858,1.129,2.461
98,19803,2.858,1.166,2.461
